"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-1.9955657779456,0.0724939049162414,-27.5273594414765,0,-2.1376512206801,-1.85348033521109
"ch_central.slope.difference",-0.196350156046443,0.0634148586284433,-3.09627996171823,0.00195965244035845,-0.320640995042891,-0.0720593170499953
"ch_curvature.median",0.242945007056129,0.0762076544128321,3.18793445262135,0.00143293015212009,0.0935807490607028,0.392309265051554
"ch_flow.accumulation.max",0.331968098576888,0.0924073664544343,3.59244193741394,0.000327593661815451,0.150852988420002,0.513083208733774
"ch_slope.median",0.105611192367344,0.0750353410344881,1.40748600474545,0.15928332434799,-0.0414553736279334,0.252677758362621
"ch_valley_width",-0.0198070211350385,0.103357968866392,-0.191635162264484,0.848027997445257,-0.222384917628378,0.182770875358301
"hs_curvature.median",-0.0565138977926898,0.0437558403840334,-1.29157381727061,0.196504776214649,-0.142273769058679,0.029245973473299
"hs_drainage_density",-0.106521959652386,0.125641247083762,-0.847826347834406,0.39653468728076,-0.352774278909257,0.139730359604485
"hs_eastness.median",0.048557784864278,0.0737419659681004,0.658482374680428,0.510228218942991,-0.095973812582377,0.193089382310933
"hs_extended.dnbr.median",0.048367305151229,0.0928472188300199,0.520934345268623,0.602412508703996,-0.133609899820319,0.230344510122777
"hs_flow.accumulation.max",-0.0701246385424934,0.076976476089358,-0.910987903123668,0.362301747502957,-0.220995759334444,0.0807464822494568
"hs_hillslope.length",0.170400960604681,0.137040500908967,1.24343503909019,0.213707565109506,-0.0981934856002228,0.438995406809584
"hs_ndvi.min",0.0171032149369916,0.0903185857839961,0.1893653979248,0.849806442242733,-0.159917960334232,0.194124390208215
"hs_ndvi.range",0.186564502566312,0.104584961570348,1.78385591738082,0.0744470806090911,-0.0184182554360764,0.3915472605687
"hs_northness.median",0.110340747053526,0.107053379393614,1.0307077429833,0.302677892631224,-0.0994800209812587,0.320161515088311
"hs_slope.median",-0.0558693081625656,0.0819568753902282,-0.681691534682726,0.495434021401473,-0.21650183221285,0.104763215887719
