"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-3.80259444368492,0.160141987424658,-23.7451433246008,0,-4.11646697144992,-3.48872191591993
"ch_central.slope.difference",0.139238577261115,0.15200508832184,0.916012607198418,0.3596602825313,-0.158685921316522,0.437163075838751
"ch_curvature.median",-0.244494616129649,0.262133954151642,-0.932708686751089,0.35097039855005,-0.758267725391941,0.269278493132644
"ch_stream.power",0.322226481918753,0.243364282353025,1.32405001589892,0.185486434322397,-0.154758746616613,0.799211710454119
"ch_valley_width",-0.352608047107572,0.355814419944182,-0.990988637174643,0.321691128730423,-1.04999149537818,0.344775401163036
"hs_curvature.median",0.00674453209251992,0.0722354281171633,0.0933687564165956,0.925610610831065,-0.134834305424952,0.148323369609992
"hs_drainage_density",-0.00180484261604574,0.103564244307096,-0.0174272754860635,0.986095749766187,-0.204787031544061,0.201177346311969
"hs_extended.dnbr.median",-0.126309263542604,0.187068032288306,-0.675204961518698,0.499545554854653,-0.492955869486459,0.240337342401251
"hs_flow.accumulation.max",0.0964271346748387,0.254766476442826,0.378492241291718,0.705064956403995,-0.402905983621272,0.595760252970949
"hs_hillslope.length",0.489159913831102,0.254445400388106,1.92245532080747,0.0545484903636293,-0.00954390696145907,0.987863734623663
"hs_ndvi.min",-0.447105485192639,0.166776988903988,-2.68085836140161,0.00734335902649796,-0.773982376894491,-0.120228593490787
"hs_ndvi.range",0.751311519692994,0.277288227777299,2.70949663357654,0.00673853889768017,0.20783657991255,1.29478645947344
"hs_northness.median",0.263009962868696,0.18803528544104,1.39872663926774,0.161894972602308,-0.105532424418451,0.631552350155842
"hs_slope.median",0.371180100586153,0.239395184744949,1.55049108853884,0.121023690768476,-0.0980258395862592,0.840386040758566
