"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.118507706200023,0.0314794586921412,3.76460432051864,0.000166813016696077,0.0568091009106098,0.180206311489436
"ch_central.slope.difference",0.0197751885966421,0.0277919595373542,0.711543515672686,0.476747495027109,-0.0346960511563667,0.0742464283496508
"ch_curvature.median",0.0193884315147092,0.0552470274772855,0.350940718442827,0.725632822934721,-0.0888937525936652,0.127670615623084
"ch_flow.accumulation.max",-0.115820390629575,0.0388899247776897,-2.97815928654145,0.00289985237467194,-0.192043242555319,-0.0395975387038314
"ch_slope.median",0.0399699946031762,0.0397205136260011,1.00628091014945,0.314280460745729,-0.0378807815512184,0.117820770757571
"ch_valley_width",0.0581374058529278,0.0481088804269846,1.2084547662913,0.226872384871531,-0.0361542671205058,0.152429078826361
"hs_curvature.median",-0.00544100366510145,0.00853115965287861,-0.637780077561381,0.523616849944709,-0.0221617693311047,0.0112797620009019
"hs_drainage_density",-0.00629844468040405,0.0341117666291294,-0.184641409777515,0.853510304034315,-0.073156278722533,0.0605593893617249
"hs_eastness.median",-0.0336273163083374,0.0375868986082571,-0.894655253651339,0.370971405387728,-0.10729628387108,0.0400416512544052
"hs_extended.dnbr.median",-0.0340523597685934,0.0251952400465023,-1.35153940608399,0.176522705671404,-0.0834341228415792,0.0153294033043924
"hs_flow.accumulation.max",-0.0200947797493066,0.0429305324195934,-0.468076648873224,0.639729777461963,-0.104237077128839,0.0640475176302256
"hs_hillslope.length",0.0161078507017826,0.0450961842019468,0.357188772993509,0.720950490140705,-0.0722790461742173,0.104494747577783
"hs_ndvi.min",-0.110319030321237,0.0452933716829508,-2.43565506876942,0.0148648516761842,-0.199092407558207,-0.0215456530842666
"hs_northness.median",-0.0847751354226321,0.0549403276324598,-1.54304022338129,0.122821016805302,-0.192456198881084,0.0229059280358198
"hs_slope.median",0.0595913087564212,0.0418771345002176,1.42300349504839,0.154735142074602,-0.0224863666397451,0.141668984152587
