"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-2.3400189089824,0.0507718786993146,-46.0888777199019,0,-2.4395299626605,-2.24050785530431
"ch_central.slope.difference",0.0781195296564705,0.0717253809903192,1.08914764310578,0.276088783007707,-0.062459633861969,0.21869869317491
"ch_curvature.median",-0.154539478041482,0.0878081329612721,-1.75996770264597,0.0784132828349162,-0.32664025619528,0.0175613001123157
"ch_slope.median",-0.0871813212744436,0.0663186290025577,-1.31458268341285,0.188650193029399,-0.21716344562353,0.042800803074643
"ch_stream.power",-0.118289466283577,0.0762519022402714,-1.55129856184892,0.120830151329996,-0.267740448427178,0.0311615158600239
"ch_stream.power.central.diff",-0.0910311712766628,0.0657863905357264,-1.38373865073547,0.166438494152712,-0.219970127399573,0.0379077848462476
"ch_valley_width",0.212876067474597,0.0851202891430817,2.5008851546165,0.0123883344515852,0.0460433664005211,0.379708768548673
"hs_curvature.median",0.000134455235005604,0.0269486176874342,0.00498931843425492,0.996019116368607,-0.0526838648655046,0.0529527753355158
"hs_drainage_density",-0.0282226982475291,0.0442352762685349,-0.638013382717454,0.523464968567018,-0.114922246580037,0.0584768500849787
"hs_eastness.median",-0.0544126249197083,0.0407790723181892,-1.33432718859173,0.182096650860569,-0.134338137986313,0.0255128881468968
"hs_extended.dnbr.median",-0.084114223254551,0.0643439306046685,-1.30725963527705,0.191124548047029,-0.210226009863446,0.0419975633543438
"hs_flow.accumulation.max",0.0822493266152867,0.0707868942581324,1.16192873662963,0.245264413204448,-0.0564904367080978,0.220989089938671
"hs_hillslope.length",0.133596764426216,0.0636183503563257,2.09997215705755,0.0357312904627021,0.0089070889719669,0.258286439880465
"hs_ndvi.min",0.189490563890869,0.0659240558411847,2.87437660612636,0.00404825923016272,0.0602817887273398,0.318699339054398
"hs_ndvi.range",0.125608725410439,0.0858289922309581,1.46347664286255,0.143337000292086,-0.0426130081916073,0.293830459012485
"hs_northness.median",-0.0527325137423311,0.0638973487611016,-0.825269197623309,0.409218775263127,-0.177969016021685,0.0725039885370231
"hs_slope.median",0.0940785801951897,0.0716441437612428,1.3131370584693,0.189136768405117,-0.0463413612800561,0.234498521670435
