"rid","fromnode","tonode"
1,1,2
2,2,3
3,3,4
4,4,5
5,5,6
6,6,7
7,7,8
8,8,9
9,9,10
10,10,11
11,11,12
12,12,13
13,13,14
14,15,4
15,16,2
16,17,18
17,18,7
18,19,3
19,20,21
20,21,22
21,22,5
22,23,18
23,24,25
24,25,26
25,26,27
26,27,28
27,28,29
28,29,30
29,30,31
30,31,22
31,32,25
32,33,34
33,34,6
34,35,34
35,36,29
36,37,38
37,38,39
38,39,27
39,40,39
40,41,31
41,42,40
42,43,44
43,44,45
44,45,46
45,46,47
46,47,48
47,48,49
48,49,50
49,50,51
50,51,52
51,52,53
52,53,54
53,54,55
54,55,56
55,56,57
56,57,58
57,58,59
58,59,60
59,60,61
60,61,62
61,62,63
62,63,64
63,65,66
64,66,42
65,67,8
66,68,28
67,69,70
68,70,50
69,71,9
70,72,44
71,73,74
72,74,48
73,75,76
74,76,37
75,77,10
76,78,79
77,79,80
78,80,70
79,81,79
80,82,83
81,83,80
82,84,82
83,85,12
84,86,87
85,87,88
86,88,89
87,89,90
88,90,91
89,91,92
90,92,93
91,93,94
92,94,95
93,95,96
94,96,97
95,98,99
96,99,90
97,100,99
98,101,102
99,102,83
100,103,11
101,104,105
102,105,106
103,106,51
104,107,87
105,108,109
106,109,13
107,110,107
108,111,109
109,112,89
110,113,93
111,114,115
112,115,116
113,116,117
114,117,118
115,118,53
116,119,120
117,120,121
118,121,122
119,122,55
120,123,124
121,124,125
122,125,126
123,126,127
124,127,128
125,128,129
126,129,130
127,130,131
128,131,132
129,133,88
130,134,117
131,135,122
132,136,118
133,137,116
134,138,115
135,139,140
136,140,141
137,141,142
138,142,143
139,143,144
140,144,129
141,145,146
142,146,91
143,147,146
144,148,149
145,149,150
146,150,151
147,151,125
148,152,92
149,153,124
150,154,155
151,155,57
152,156,157
153,157,158
154,158,126
155,159,160
156,160,148
157,161,155
158,162,149
159,163,164
160,164,165
161,165,166
162,166,127
163,167,94
164,168,164
165,169,170
166,170,95
167,171,139
168,172,157
169,173,174
170,174,175
171,175,176
172,176,177
173,177,178
174,178,179
175,179,180
176,180,181
177,181,182
178,182,183
179,183,184
180,184,185
181,186,165
182,187,158
183,188,156
184,189,170
185,190,191
186,191,192
187,192,193
188,193,194
189,194,195
190,195,196
191,196,197
192,197,198
193,198,199
194,199,200
195,200,201
196,201,202
197,202,203
198,204,175
199,205,56
200,206,207
201,207,191
202,208,209
203,209,59
204,210,209
205,211,62
206,212,207
207,213,96
208,214,177
209,215,216
210,216,179
211,217,178
212,218,192
213,219,216
214,220,141
215,221,58
216,222,61
217,223,176
218,224,63
219,225,60
220,226,144
221,227,193
222,228,180
223,229,128
224,230,231
225,231,232
226,232,196
227,233,194
228,234,181
229,235,231
230,236,130
231,237,238
232,238,195
233,239,240
234,240,241
235,241,201
236,242,238
237,243,232
238,244,184
239,245,197
240,246,240
241,247,241
242,248,183
243,249,250
244,250,202
245,251,250
246,252,200
