"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-2.7251098898718,0.13984439188982,-19.4867298791564,0,-2.99919986141575,-2.45101991832785
"ch_central.slope.difference",-0.193595720110359,0.157079970327337,-1.23246598345369,0.217775065952773,-0.50146680464456,0.114275364423843
"ch_curvature.median",0.30628479417767,0.282995331261106,1.08229627963394,0.279120898589808,-0.248375862887081,0.86094545124242
"ch_stream.power",-0.223279000503517,0.141797967106364,-1.57462765552932,0.115342415445015,-0.501197909112985,0.0546399081059504
"ch_stream.power.central.diff",0.00379068065312626,0.00125861897011572,3.01177778432636,0.00259722648039373,0.00132383280144055,0.00625752850481196
"ch_valley_width",0.108475117266203,0.294176541816186,0.368741561092872,0.712320367082343,-0.468100309790063,0.685050544322469
"hs_curvature.median",-0.186642849125015,0.0923529763099936,-2.02097275672553,0.0432825853341561,-0.367651356557683,-0.00563434169234664
"hs_eastness.median",-0.048088971023293,0.195463260862785,-0.246025625537126,0.805662395739428,-0.431189922615109,0.335011980568523
"hs_extended.dnbr.median",-0.0618899999684174,0.153487214601756,-0.403225767885615,0.686782145078642,-0.36271941267523,0.238939412738395
"hs_flow.accumulation.max",0.331554496120919,0.215822244743945,1.5362387529343,0.124479834710215,-0.091449330639802,0.754558322881639
"hs_hillslope.length",-0.280642345028597,0.215879748380046,-1.29999384905035,0.193603077338811,-0.703758876845056,0.142474186787861
"hs_northness.median",-0.161989712572964,0.197478711617409,-0.820289494731967,0.412051093712219,-0.549040875056458,0.225061449910529
"hs_slope.median",0.716662524405783,0.127326191885401,5.62855539613413,1.81725141601419e-08,0.467107774021761,0.966217274789804
