"pointid","xcoord","ycoord"
1,454199.5,4498688.5
2,454165.5,4498763.5
3,454217.5,4498872.5
4,454244.5,4498940.5
5,454250.5,4498989.5
6,454263.5,4498994.5
7,454290.5,4499013.5
8,454489.5,4499160.5
9,454773.5,4499427.5
10,454820.5,4499454.5
11,454863.5,4499498.5
12,454903.5,4499537.5
13,454936.5,4499558.5
14,455093.5,4499671.5
15,453930.5,4498745.5
16,454164.5,4498749.5
17,454363.5,4498755.5
18,454354.5,4498906.5
19,454221.5,4498797.5
20,453845.5,4498863.5
21,453880.5,4498915.5
22,454016.5,4499039.5
23,454381.5,4498865.5
24,453348.5,4499031.5
25,453560.5,4499137.5
26,453656.5,4499158.5
27,453721.5,4499156.5
28,453758.5,4499151.5
29,453878.5,4499083.5
30,453881.5,4499081.5
31,453907.5,4499070.5
32,453294.5,4499116.5
33,454137.5,4499183.5
34,454156.5,4499148.5
35,454148.5,4499188.5
36,453893.5,4499235.5
37,453621.5,4499229.5
38,453673.5,4499186.5
39,453672.5,4499180.5
40,453584.5,4499230.5
41,453946.5,4499269.5
42,453505.5,4499277.5
43,452891.5,4499298.5
44,452974.5,4499478.5
45,453033.5,4499531.5
46,453073.5,4499550.5
47,453091.5,4499566.5
48,453134.5,4499604.5
49,453135.5,4499623.5
50,453196.5,4499796.5
51,453198.5,4499807.5
52,453232.5,4499829.5
53,453245.5,4499866.5
54,453246.5,4499872.5
55,453469.5,4500088.5
56,453725.5,4500283.5
57,453728.5,4500284.5
58,454022.5,4500383.5
59,454051.5,4500389.5
60,454175.5,4500482.5
61,454184.5,4500488.5
62,454350.5,4500572.5
63,454625.5,4500644.5
64,454698.5,4500706.5
65,453375.5,4499306.5
66,453427.5,4499300.5
67,454313.5,4499319.5
68,453672.5,4499343.5
69,452811.5,4499409.5
70,452982.5,4499547.5
71,454563.5,4499420.5
72,452917.5,4499434.5
73,453185.5,4499523.5
74,453136.5,4499595.5
75,453540.5,4499471.5
76,453542.5,4499445.5
77,454522.5,4499490.5
78,452739.5,4499504.5
79,452741.5,4499506.5
80,452942.5,4499535.5
81,452733.5,4499504.5
82,452786.5,4499526.5
83,452846.5,4499552.5
84,452575.5,4499534.5
85,454835.5,4499547.5
86,454000.5,4499555.5
87,454123.5,4499783.5
88,454178.5,4499786.5
89,454302.5,4499748.5
90,454351.5,4499755.5
91,454486.5,4499946.5
92,454588.5,4499994.5
93,454653.5,4500036.5
94,454705.5,4500126.5
95,454822.5,4500304.5
96,454826.5,4500313.5
97,454923.5,4500410.5
98,454235.5,4499560.5
99,454279.5,4499638.5
100,454163.5,4499561.5
101,452574.5,4499568.5
102,452677.5,4499584.5
103,454442.5,4499572.5
104,452644.5,4499625.5
105,453168.5,4499797.5
106,453192.5,4499803.5
107,453919.5,4499714.5
108,454671.5,4499660.5
109,454833.5,4499614.5
110,453847.5,4499690.5
111,454777.5,4499711.5
112,454213.5,4499721.5
113,454508.5,4499748.5
114,452496.5,4499748.5
115,452765.5,4499846.5
116,452855.5,4499850.5
117,452889.5,4499836.5
118,452960.5,4499832.5
119,453494.5,4499763.5
120,453537.5,4499816.5
121,453584.5,4499914.5
122,453597.5,4499968.5
123,452103.5,4499895.5
124,452167.5,4500116.5
125,452269.5,4500242.5
126,452291.5,4500343.5
127,452278.5,4500446.5
128,452251.5,4500498.5
129,452198.5,4500592.5
130,452181.5,4500642.5
131,452223.5,4500767.5
132,452592.5,4501254.5
133,454056.5,4499812.5
134,452882.5,4499836.5
135,453665.5,4499841.5
136,452908.5,4499862.5
137,452837.5,4499866.5
138,452719.5,4499869.5
139,451725.5,4500190.5
140,451726.5,4500271.5
141,451835.5,4500372.5
142,451856.5,4500369.5
143,452047.5,4500417.5
144,452087.5,4500441.5
145,454317.5,4499936.5
146,454330.5,4499940.5
147,454016.5,4499938.5
148,452303.5,4500116.5
149,452277.5,4500153.5
150,452277.5,4500171.5
151,452274.5,4500207.5
152,454502.5,4500023.5
153,452069.5,4500025.5
154,453734.5,4500046.5
155,453724.5,4500137.5
156,452108.5,4500239.5
157,452136.5,4500253.5
158,452160.5,4500262.5
159,452307.5,4500064.5
160,452310.5,4500092.5
161,453706.5,4500070.5
162,452270.5,4500084.5
163,452488.5,4500099.5
164,452488.5,4500195.5
165,452406.5,4500308.5
166,452295.5,4500443.5
167,454561.5,4500100.5
168,452511.5,4500141.5
169,454440.5,4500160.5
170,454587.5,4500211.5
171,451713.5,4500163.5
172,451973.5,4500195.5
173,453076.5,4500198.5
174,453092.5,4500222.5
175,453178.5,4500338.5
176,453242.5,4500376.5
177,453276.5,4500382.5
178,453283.5,4500385.5
179,453303.5,4500408.5
180,453346.5,4500493.5
181,453530.5,4500729.5
182,453789.5,4500860.5
183,453921.5,4500865.5
184,453948.5,4500869.5
185,454242.213191937,4500902.36944967
186,452521.5,4500212.5
187,452129.5,4500210.5
188,452021.5,4500213.5
189,454478.5,4500219.5
190,452768.5,4500228.5
191,452794.5,4500334.5
192,452777.5,4500394.5
193,452759.5,4500588.5
194,452783.5,4500685.5
195,452784.5,4500695.5
196,452874.5,4500786.5
197,452903.5,4500823.5
198,452945.5,4500850.5
199,453038.5,4500903.5
200,453162.5,4501019.5
201,453212.5,4501021.5
202,453280.5,4500998.5
203,453487.5,4501061.5
204,452972.5,4500250.5
205,453722.5,4500283.5
206,452808.5,4500290.5
207,452807.5,4500309.5
208,454025.5,4500291.5
209,454020.5,4500303.5
210,454018.5,4500297.5
211,454298.5,4500299.5
212,452808.5,4500301.5
213,454760.5,4500314.5
214,453223.5,4500316.5
215,453328.5,4500328.5
216,453310.5,4500386.5
217,453273.5,4500351.5
218,452748.5,4500352.5
219,453326.5,4500362.5
220,451830.5,4500373.5
221,454013.5,4500387.5
222,454206.5,4500391.5
223,453131.5,4500391.5
224,454456.5,4500418.5
225,454178.5,4500422.5
226,451990.5,4500465.5
227,452615.5,4500476.5
228,453267.5,4500497.5
229,452253.5,4500498.5
230,452888.5,4500603.5
231,452840.5,4500690.5
232,452873.5,4500771.5
233,452681.5,4500608.5
234,453519.5,4500609.5
235,452803.5,4500609.5
236,452083.5,4500614.5
237,452677.5,4500682.5
238,452695.5,4500693.5
239,453040.5,4500685.5
240,453088.5,4500839.5
241,453165.5,4500910.5
242,452596.5,4500686.5
243,452883.5,4500747.5
244,453917.5,4500806.5
245,452871.5,4500815.5
246,453075.5,4500830.5
247,453121.5,4500846.5
248,453920.5,4500854.5
249,453270.5,4500901.5
250,453270.5,4500979.5
251,453266.5,4500974.5
252,453095.5,4501039.5
