"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.0559636083960077,0.00757439468134431,7.38852551925315,1.48547840694846e-13,0.0411180676158812,0.0708091491761343
"ch_stream.power",-0.00242411965368704,0.0120917340176633,-0.200477421199138,0.841107214817816,-0.0261234828389449,0.0212752435315708
"ch_stream.power.central.diff",5.04167502863541e-05,0.00662280091326994,0.00761260242404921,0.993926080724051,-0.0129300345165017,0.0130308680170744
"ch_valley_width",0.0149697456303057,0.0115437998153188,1.29677799942794,0.194707582624835,-0.00765568625245929,0.0375951775130707
"hs_curvature.median",-0.00408199749257703,0.00342789360977742,-1.19081802332893,0.233725031815777,-0.0108005455105758,0.00263655052542172
"hs_drainage_density",0.00133346929598874,0.00332678766432296,0.400827894815498,0.688546839924517,-0.00518691471029639,0.00785385330227388
"hs_eastness.median",-0.00224259979329746,0.00838542026542986,-0.267440357466985,0.789130129886485,-0.0186777215087723,0.0141925219221774
"hs_extended.dnbr.median",0.00224273223761902,0.00874766700613131,0.256380613945074,0.797656955557998,-0.0149023800431477,0.0193878445183857
"hs_flow.accumulation.max",0.0137234289971775,0.00954951848107292,1.43708073075907,0.150695055756055,-0.00499328329542505,0.0324401412897801
"hs_hillslope.length",0.00380617691934387,0.00955091720761739,0.398514282618662,0.690251132299308,-0.0149132768269101,0.0225256306655978
"hs_ndvi.min",0.011599964927958,0.00877398203408513,1.32208669711136,0.186139283026677,-0.0055967238598503,0.0287966537157664
"hs_northness.median",-0.0185254892804006,0.00873453851965343,-2.1209465432795,0.0339263012536615,-0.0356448702004991,-0.00140610836030206
"hs_slope.median",0.0146302608518602,0.00859804507930754,1.70157991926212,0.0888341444777523,-0.00222159784103442,0.0314821195447548
