"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.0332247924070463,0.0126328422186014,2.6300330386557,0.00853765704802312,0.00846487663621051,0.0579847081778822
"ch_curvature.median",-0.0487909147922363,0.0186674744139996,-2.61368590684371,0.0089571338564729,-0.0853784923259985,-0.0122033372584742
"ch_slope.median",-0.0314099871220544,0.0132088913381536,-2.37794272948005,0.0174095296177976,-0.0572989384205385,-0.00552103582357025
"ch_stream.power",-0.0123075116439773,0.0170705189023427,-0.720980522876093,0.47092149830107,-0.0457651138899791,0.0211500906020246
"ch_stream.power.central.diff",0.0112375735553058,0.00810288716871658,1.38686042657629,0.165484326957355,-0.00464379346617039,0.0271189405767821
"ch_valley_width",0.040725709702428,0.0165064759104931,2.46725648304729,0.0136152794862123,0.00837361140618353,0.0730778079986725
"hs_curvature.median",0.0100057018965485,0.00856081138146425,1.16877962271342,0.242492432377203,-0.006773180089562,0.026784583882659
"hs_drainage_density",0.0112107605133681,0.0156309693805921,0.71721466790714,0.473241650078907,-0.0194253765160409,0.041846897542777
"hs_eastness.median",-0.0239374821964383,0.0201907377882965,-1.18556748383477,0.235793149666221,-0.0635106010827914,0.0156356366899148
"hs_extended.dnbr.median",0.0194401588792093,0.0177780145672246,1.09349437225961,0.274176798579395,-0.0154041093891792,0.0542844271475979
"hs_flow.accumulation.max",-0.000721178148065815,0.0180098248655714,-0.0400435958399828,0.968058369693447,-0.0360197862524597,0.0345774299563281
"hs_hillslope.length",0.007049126706734,0.0166232205668922,0.424053009365313,0.671527154350844,-0.0255317869114402,0.0396300403249082
"hs_ndvi.range",0.0038110771987499,0.0160069625650903,0.238088718159527,0.81181228478015,-0.0275619929307081,0.0351841473282078
"hs_northness.median",-0.0275510169700876,0.0133011629021301,-2.07132392654746,0.0383285347609483,-0.0536208172107629,-0.00148121672941233
"hs_slope.median",0.00721974760980864,0.0126428650215239,0.571053127397736,0.56796363035638,-0.0175598124937793,0.0319993077133966
