"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-2.89807026482805,0.144305279898009,-20.082912190575,0,-3.18090341620712,-2.61523711344899
"ch_central.slope.difference",-0.0894561822803896,0.0876240637462358,-1.02090885147098,0.307297625087299,-0.261196191402054,0.0822838268412744
"ch_curvature.median",0.0720919203507984,0.15273979044518,0.471991745835692,0.636932680241364,-0.22727256792795,0.371456408629547
"ch_slope.median",-0.210635256230209,0.202442155961111,-1.04047131502923,0.298120984188176,-0.607414590866626,0.186144078406209
"ch_stream.power",0.051170807262435,0.210599807121669,0.242976515324501,0.80802359041852,-0.361597229847118,0.463938844371988
"ch_valley_width",0.170504875367435,0.13221458303424,1.2896071783797,0.197187082090727,-0.0886309456106553,0.429640696345525
"hs_curvature.median",-0.160469938117856,0.0522158650927008,-3.07320271019101,0.00211774578865698,-0.262811153121152,-0.0581287231145603
"hs_drainage_density",0.353869411252718,0.115694516615965,3.05865326727064,0.00222334316264639,0.127112325476656,0.580626497028779
"hs_eastness.median",-0.00543826997943836,0.136982346954346,-0.0397005168939824,0.968331889581478,-0.273918736527726,0.263042196568849
"hs_extended.dnbr.median",-0.332517922233806,0.112473869060223,-2.95640156253326,0.003112515667135,-0.552962654793717,-0.112073189673894
"hs_flow.accumulation.max",0.168336208944684,0.102231252600867,1.64662179775792,0.0996358071957211,-0.0320333642474327,0.3687057821368
"hs_hillslope.length",-0.487273135050911,0.158083947950443,-3.08236947121073,0.00205359771960523,-0.797111979567684,-0.177434290534139
"hs_ndvi.min",0.287468104286921,0.0924404927290486,3.10976386862753,0.00187236961747939,0.106288067824849,0.468648140748993
"hs_ndvi.range",-0.0900105427934036,0.163469291918449,-0.550626614558947,0.581889660431897,-0.410404467531827,0.23038338194502
"hs_northness.median",-0.00815841804654044,0.129468611043844,-0.0630146410065188,0.949754845654585,-0.261912232820899,0.245595396727818
"hs_slope.median",0.255419187296427,0.140488952997811,1.81807310714606,0.0690529597103755,-0.0199341008050233,0.530772475397878
"ws_dnbr.extended_mean",1.02784842306055,0.272076359175919,3.77779394789667,0.000158223701384408,0.494588558030962,1.56110828809013
"ws_flow.accum_max",0.182719961989993,0.240798498467058,0.758808560490214,0.4479670840251,-0.289236422536764,0.65467634651675
"ws_Kw",0.120149790597559,0.225771179748287,0.532175057646925,0.594604756309627,-0.322353590456202,0.56265317165132
"ws_ndvi.mean_mean",0.0371785050222589,0.0822367608091334,0.452091067990239,0.651203378062236,-0.124002584368877,0.198359594413395
"ws_RV.Clay",0.10492609986381,0.100395419810772,1.04512835407808,0.295963650991299,-0.0918453071780826,0.301697506905703
"ws_slope.eastness_mean",0.575242999187348,0.174166815287851,3.30282779895025,0.000957151454944016,0.233882313921119,0.916603684453576
