"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-1.56759886798176,0.204793488849055,-7.65453470611641,1.93178806284777e-14,-1.96898673039421,-1.1662110055693
"ch_central.slope.difference",-0.01788784374302,0.0577615641753371,-0.309684199145315,0.756801119723175,-0.13109842921738,0.0953227417313397
"ch_curvature.median",0.287095865583263,0.104580602359372,2.74521143602434,0.00604719229689699,0.0821216514773885,0.492070079689137
"ch_slope.median",0.0417450479919201,0.143916762328065,0.290063834932309,0.771767402470851,-0.240326622942698,0.323816718926538
"ch_stream.power",0.13926331964773,0.138432930099416,1.00599849723413,0.314416292950351,-0.132060237621476,0.410586876916935
"ch_valley_width",0.166809356288292,0.0853564651020887,1.95426739015941,0.0506696032451979,-0.000486241159452089,0.334104953736036
"hs_curvature.median",-0.0754035460868555,0.0332440837045493,-2.26817940771028,0.0233182740220785,-0.140560752846807,-0.0102463393269041
"hs_drainage_density",0.0507999152654783,0.0766768647924034,0.662519462722101,0.507638365772831,-0.0994839781750796,0.201083808706036
"hs_eastness.median",-0.112923026870151,0.0945641932328422,-1.19414149277523,0.232422624796013,-0.298265439833608,0.0724193860933055
"hs_extended.dnbr.median",-0.044983615343754,0.0771676611878604,-0.58293350674765,0.55993806331768,-0.19622945204315,0.106262221355642
"hs_flow.accumulation.max",0.136763264217944,0.0682298966589924,2.00444777018315,0.0450221164970817,0.00303512409742954,0.270491404338459
"hs_hillslope.length",0.0411454493872138,0.100405355912396,0.409793372209281,0.68195752853342,-0.155645432056008,0.237936330830436
"hs_ndvi.min",-0.0171670583213905,0.0658527580506492,-0.260688524361983,0.794332716382416,-0.146236092383293,0.111901975740512
"hs_ndvi.range",-0.00246547836740155,0.110994128728002,-0.0222126917491587,0.982278293537304,-0.220009973169687,0.215079016434884
"hs_northness.median",0.0337382773593008,0.0835198857344726,0.403955022957788,0.686245793654,-0.129957690673166,0.197434245391768
"hs_slope.median",0.0631918772462202,0.093868309945033,0.67319713418963,0.500821884170191,-0.120786629535688,0.247170384028128
"ws_dnbr.extended_mean",0.456828615845449,0.265768729795986,1.7188952823612,0.0856334413402924,-0.0640685227716398,0.977725754462538
"ws_flow.accum_max",0.0206485468370936,0.165937923945522,0.124435369240081,0.900970570358883,-0.304583807765476,0.345880901439663
"ws_Kw",0.852767589433076,0.175029222191762,4.87214408402491,1.10393610186499e-06,0.509716617695163,1.19581856117099
"ws_ndvi.mean_mean",0.010535287868313,0.0985329903529084,0.106921426322083,0.914851314882958,-0.18258582451242,0.203656400249046
"ws_RV.Clay",0.309006424867063,0.0749927072338805,4.12048632813536,3.78073502924625e-05,0.1620234195855,0.455989430148625
"ws_slope.eastness_mean",0.838502745806676,0.127248136073186,6.58950906223427,4.4128256604381e-11,0.58910098200338,1.08790450960997
