"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-1.28087276551016,0.15250866265617,-8.39868859382687,0,-1.57978425164663,-0.981961279373702
"ch_curvature.median",0.204720513328048,0.136696307657483,1.49763016160621,0.134229365879602,-0.0631993265002252,0.472640353156322
"ch_flow.accumulation.max",0.904693199760086,0.192727587100154,4.69415517193159,2.67710771950647e-06,0.526954070216477,1.28243232930369
"ch_slope.median",0.320446941005463,0.163229184005096,1.96317186144519,0.0496262077704224,0.000523619129613795,0.640370262881313
"ch_stream.power.central.diff",0.0911982143317571,0.051438287304973,1.77296366403203,0.0762347280583744,-0.00961897621241378,0.192015404875928
"ch_valley_width",-0.396407452335456,0.180271830173241,-2.19894285177284,0.0278819861056854,-0.74973374690213,-0.0430811577687829
"hs_curvature.median",-0.0566205891127411,0.0555754597324704,-1.01880559126819,0.308295270760243,-0.165546488612639,0.0523053103871569
"hs_drainage_density",-0.0421110640548819,0.215814502000164,-0.195126201736201,0.845294150788505,-0.465099715316651,0.380877587206887
"hs_eastness.median",0.0335076139825213,0.164390222182772,0.203829726230717,0.838486562290702,-0.28869130090625,0.355706528871292
"hs_extended.dnbr.median",0.0489511985143234,0.132049682604326,0.37070288658702,0.710858840103958,-0.2098614235601,0.307763820588747
"hs_flow.accumulation.max",-0.100468233707584,0.103668238072,-0.969132258597921,0.332479204461393,-0.303654246669428,0.102717779254259
"hs_ndvi.min",0.299403997303343,0.177850175399962,1.68346191748207,0.0922857056356137,-0.049175941124715,0.6479839357314
"hs_ndvi.range",0.142814614032711,0.14698561132754,0.971623091150504,0.331238090627736,-0.145271890414869,0.430901118480291
"hs_slope.median",0.00523058037595594,0.148453157094757,0.035233877664301,0.971893248524031,-0.285732260921035,0.296193421672947
