"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.000705889992820829,0.000116605233249555,6.05367334852036,1.41579570289707e-09,0.00047734793524281,0.000934432050398848
"ch_curvature.median",0.000331500909655839,0.000159720782797444,2.0755026606415,0.0379399725314138,1.84539277903034e-05,0.000644547891521374
"ch_flow.accumulation.max",0.000484312973079871,0.000197835250382617,2.44806207257403,0.0143626909437808,9.65630074574779e-05,0.000872062938702264
"ch_slope.median",0.000164002742519399,0.000151310072700876,1.08388516106007,0.278415719743484,-0.000132559550472454,0.000460565035511253
"ch_stream.power.central.diff",-0.00013679306928009,8.86678746495343e-05,-1.54275795851399,0.12288951351602,-0.000310578910178889,3.69927716187096e-05
"ch_valley_width",-0.000441618274670362,0.000190294946458695,-2.32070416418662,0.0203028158328131,-0.000814589516169382,-6.86470331713432e-05
"hs_curvature.median",-3.12473309371308e-05,7.12643399717321e-05,-0.438470782856131,0.661045045329914,-0.000170922870663744,0.000108428208789482
"hs_drainage_density",-0.000133462314379504,0.000191074049266439,-0.698484775362667,0.484874075801032,-0.000507960569321957,0.000241035940562949
"hs_eastness.median",4.70704532935462e-05,0.000169259504148542,0.278096367647616,0.780938384004997,-0.000284672078878704,0.000378812985465797
"hs_extended.dnbr.median",8.82797307138704e-05,0.000147380985979116,0.598989958761571,0.549179580578116,-0.0002005816938112,0.00037714115523894
"hs_flow.accumulation.max",1.59387396590549e-05,9.23573092745265e-05,0.172576916589004,0.862983997522455,-0.000165078260228044,0.000196955739546154
"hs_ndvi.min",8.59846897092928e-05,0.000158829766724463,0.541363822931622,0.58825683758022,-0.000225315932743552,0.000397285312162138
"hs_ndvi.range",0.000156714355506057,0.000143824685366561,1.08962070806305,0.275880257282164,-0.000125176847900207,0.000438605558912321
"hs_slope.median",-5.18666970215656e-05,0.000141462219962049,-0.366646989107623,0.713882353223399,-0.000329127553320265,0.000225394159277134
