"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.00170585598880934,0.000351558404261012,4.85226911982122,1.22056839102491e-06,0.00101681417799538,0.00239489779962329
"ch_central.slope.difference",0.000441344183964212,0.000172351061986508,2.56072796347934,0.0104453110451823,0.000103542309773427,0.000779146058154998
"ch_curvature.median",0.000917515679724903,0.000271153911567299,3.38374495289986,0.000715043921159397,0.000386063778785839,0.00144896758066397
"ch_slope.median",0.000585033382327063,0.000526872571949817,1.11038876091425,0.266831539205848,-0.000447617883136566,0.00161768464779069
"ch_stream.power",0.000764480705168089,0.00046999821132352,1.62656088204102,0.103830393062832,-0.000156698861824257,0.00168566027216043
"hs_curvature.median",-0.00118731002094991,0.000179775012553124,-6.60442184977768,3.99071886647562e-11,-0.00153966257087427,-0.000834957471025551
"hs_drainage_density",0.000877268606699688,0.000217158653588851,4.03975891451524,5.35061722606311e-05,0.000451645466734331,0.00130289174666505
"hs_extended.dnbr.median",-0.000713994919003783,0.000231887199641652,-3.07906137168054,0.00207653899961824,-0.00116848547877727,-0.000259504359230297
"hs_flow.accumulation.max",-0.000627565219907367,0.000254275716761201,-2.46805014612046,0.0135851286888138,-0.00112593646690243,-0.000129193972912306
"hs_hillslope.length",-0.0017180634101407,0.000464360194638843,-3.69985074081754,0.000215726306687092,-0.00262819266748684,-0.000807934152794558
"hs_ndvi.mean",0.00257862998089562,0.000541545377521155,4.76161387010433,1.92050882197314e-06,0.00151722054496001,0.00364003941683123
"hs_ndvi.min",-0.00203451411616065,0.00022222235509004,-9.1553080487168,0,-0.0024700619286968,-0.0015989663036245
"hs_northness.median",0.000305389510315744,0.000240067100917719,1.27210062998351,0.203337367387531,-0.000165133361355927,0.000775912381987415
"hs_slope.median",1.21146858433012e-05,0.000350382648686042,0.034575587257908,0.972418168403395,-0.000674622686389092,0.000698852058075694
