"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-3.50746877035469,0.124357691311262,-28.2046790461528,0,-3.75120536652532,-3.26373217418407
"ch_central.slope.difference",-0.117150438221846,0.0972716985974537,-1.20436303581639,0.228449292491018,-0.30779946418789,0.0734985877441986
"ch_curvature.median",-0.0139700478510224,0.272628773018205,-0.0512420156404017,0.95913267216285,-0.54831262411605,0.520372528414005
"ch_slope.median",-0.0901317199625603,0.195710231118111,-0.460536577202067,0.645131123350608,-0.473716724360068,0.293453284434947
"ch_stream.power",0.0564480548471763,0.214241938170559,0.263478081505395,0.792182115313883,-0.363458427945177,0.476354537639529
"ch_valley_width",-0.148901290309062,0.247086226395907,-0.60262885746807,0.546755618545302,-0.63318139512095,0.335378814502825
"hs_curvature.median",0.0325210715103956,0.13167732944193,0.24697547898507,0.804927201262785,-0.225561751776203,0.290603894796994
"hs_drainage_density",0.153669496296768,0.189002300694439,0.813056220649962,0.416185825338788,-0.216768206059542,0.524107198653079
"hs_extended.dnbr.median",0.30453154858419,0.240912145562759,1.26407719242556,0.206202321943347,-0.167647580157089,0.776710677325469
"hs_flow.accumulation.max",0.161844612228018,0.165046169417003,0.980602050927361,0.326789022561419,-0.161639935615605,0.485329160071641
"hs_hillslope.length",-0.211177939699147,0.163257357114067,-1.29352785952303,0.195828554924303,-0.531156479853912,0.108800600455619
"hs_ndvi.min",0.145791309622094,0.140208726677029,1.03981623025452,0.298425287143653,-0.129012744983103,0.420595364227291
"hs_ndvi.range",-0.777538363888275,0.230551295248646,-3.37251787308206,0.000744842520395084,-1.22941059916468,-0.32566612861187
"hs_northness.median",0.0842879008575871,0.181160583873729,0.465266224336838,0.641740819123801,-0.27078031895317,0.439356120668344
"hs_slope.median",-0.0218733745911998,0.186918237956156,-0.117021082749189,0.906843346644727,-0.388226389038952,0.344479639856553
