"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.000899637076983143,5.26557159696774e-05,17.0852690997728,0,0.000796433770102405,0.00100284038386388
"ch_central.slope.difference",-3.60122852274288e-05,3.94176912726715e-05,-0.913607166343513,0.360923299448799,-0.000113269540475584,4.12449700207261e-05
"ch_curvature.median",0.000162422422205619,0.000115157928055117,1.41043196025444,0.158412173813729,-6.32829693166656e-05,0.000388127813727903
"ch_slope.median",-3.82649617884564e-05,8.51905299325563e-05,-0.449169195434634,0.65330960739551,-0.000205235332280148,0.000128705408703235
"ch_stream.power",0.000182854707951493,6.91946670289492e-05,2.64261273018326,0.00822690736382614,4.72356526525118e-05,0.000318473763250475
"ch_valley_width",9.40436535804909e-05,9.59910637861393e-05,0.97971258855942,0.327228010377798,-9.40953742780292e-05,0.000282182681439011
"hs_curvature.median",-5.12709916154568e-06,5.39557855125347e-05,-0.095024085236505,0.92429569622763,-0.000110878495523682,0.00010062429720059
"hs_drainage_density",-8.4153418166395e-05,7.25266696597656e-05,-1.16030997371274,0.245922625233393,-0.000226303078618169,5.79962422853794e-05
"hs_extended.dnbr.median",6.75034559131901e-05,8.54033234453378e-05,0.790407834144716,0.429289628475597,-9.98839821996971e-05,0.000234890894026077
"hs_flow.accumulation.max",8.51655580569348e-05,5.39926106110041e-05,1.57735581023336,0.114713677301827,-2.06580141719284e-05,0.000190989130285798
"hs_hillslope.length",9.71379042122832e-05,5.8387260499918e-05,1.663683196995,0.0961757559225662,-1.72990235235142e-05,0.000211574831948081
"hs_ndvi.min",2.71406518554249e-05,5.77737721443959e-05,0.469774620005621,0.638516048976096,-8.60938607986144e-05,0.000140375164509464
"hs_ndvi.range",-0.000169011861148086,0.000105909163695161,-1.59581905145198,0.110529198510536,-0.000376590007623359,3.85662853271879e-05
"hs_northness.median",0.00012272801007024,6.89276196352879e-05,1.78053457698992,0.0749885158193908,-1.23676419550004e-05,0.00025782366209548
"hs_slope.median",-6.80284698110483e-06,9.23047552828203e-05,-0.0736998539269296,0.941249215023934,-0.000187716842937216,0.000174111148975006
