"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-1.57533103323124,0.117620355214036,-13.3933538150312,0,-1.80586269329956,-1.34479937316292
"ch_stream.power",-0.238211987810548,0.226446033444541,-1.05195919834422,0.292818269785998,-0.6820380578038,0.205614082182704
"ch_stream.power.central.diff",-0.0288466902758586,0.112399449793951,-0.256644408213208,0.797453290082382,-0.24914556375412,0.191452183202403
"ch_valley_width",0.330617767799392,0.256798662013649,1.28745907477438,0.197934325254809,-0.172698361025434,0.833933896624218
"hs_curvature.median",-0.0878613608334221,0.070543348387018,-1.24549461915804,0.212949992202735,-0.226123783020839,0.0504010613539949
"hs_drainage_density",-0.663663660314435,0.30782795535976,-2.15595643202323,0.0310870673140764,-1.26699536625417,-0.060331954374701
"hs_eastness.median",-0.0595581518963028,0.248000739423676,-0.240153122263703,0.810211553318906,-0.54563066930601,0.426514365513405
"hs_extended.dnbr.median",-0.335185439898666,0.137205736672897,-2.44294041945024,0.0145681421282182,-0.604103742249832,-0.0662671375475011
"hs_flow.accumulation.max",0.250735040904113,0.157775117825602,1.58919254417079,0.112016929241805,-0.0584985076906291,0.559968589498856
"hs_hillslope.length",0.190488941460658,0.237299231254943,0.802737288499709,0.422126595634263,-0.274609005358071,0.655586888279387
"hs_northness.median",-0.16217896469825,0.240957223497008,-0.673061227816912,0.500908339115307,-0.634446444567153,0.310088515170653
"hs_slope.median",0.217997032902455,0.144302102775283,1.51069893445652,0.130865174030259,-0.0648298914304961,0.500823957235407
