"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-1.29641316449515,0.144856031966438,-8.94966641634587,0,-1.58032577009276,-1.01250055889755
"ch_stream.power",0.0534045240672191,0.278968367958772,0.191435769072971,0.848184198570389,-0.493363429957891,0.600172478092329
"ch_stream.power.central.diff",-0.192556262644336,0.125752599153041,-1.53123087666756,0.125712342251726,-0.439026827946599,0.0539143026579267
"ch_valley_width",0.635108827888779,0.324842353456315,1.95512937623815,0.0505678017317757,-0.00157048553882899,1.27178814131639
"hs_curvature.median",-0.178544110279677,0.0816247912880364,-2.18737600993837,0.0287150860057599,-0.338525761449827,-0.018562459109527
"hs_drainage_density",-0.480715248169086,0.386883118768673,-1.24253353234706,0.21403977641243,-1.23899222718222,0.277561730844044
"hs_eastness.median",-0.351590677968927,0.303157281191515,-1.1597632640953,0.246145204650916,-0.945768030755378,0.242586674817524
"hs_extended.dnbr.median",-0.0463730392233254,0.164864218034883,-0.281280193944289,0.778495500264658,-0.369500968911055,0.276754890464404
"hs_flow.accumulation.max",0.153339774403705,0.208993777623242,0.733704975083679,0.463128565703197,-0.256280502730822,0.562960051538232
"hs_hillslope.length",0.121649564319415,0.293339219078097,0.414706102722074,0.678357064305181,-0.453284740326761,0.69658386896559
"hs_northness.median",-0.182020659532809,0.275533995598964,-0.660610532421333,0.508862112783609,-0.722057367423196,0.358016048357578
"hs_slope.median",0.294729439821344,0.166685168843755,1.76818034781254,0.0770307584959586,-0.0319674878693944,0.621426367512082
