"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-2.40487370867975,0.116618360097116,-20.6217417795709,0,-2.63344149440622,-2.17630592295328
"ch_curvature.median",-0.07495799587088,0.17698138860392,-0.4235360365413,0.671904211983575,-0.421835143468451,0.271919151726691
"ch_slope.median",-0.0574362549764843,0.157324574470264,-0.365081266991384,0.715050744017559,-0.365786754821291,0.250914244868323
"ch_stream.power",-0.297632170276737,0.228023017016075,-1.30527248596029,0.191800079446467,-0.744549071274409,0.149284730720934
"ch_stream.power.central.diff",-0.196893940828457,0.123872288065268,-1.58949143431269,0.111949486379088,-0.439679164118953,0.0458912824620383
"ch_valley_width",-0.11873471933342,0.178477496662086,-0.66526436976098,0.505881415612723,-0.468544184841976,0.231074746175136
"hs_curvature.median",0.00626503360443231,0.0906675310378934,0.0690989765874834,0.944910835648019,-0.171440061797006,0.183970129005871
"hs_drainage_density",0.0142121358356575,0.189051535883524,0.0751759871679314,0.940074689744042,-0.35632206571803,0.384746337389345
"hs_eastness.median",-0.0724438435551937,0.207025443286682,-0.349927247613115,0.726393297605647,-0.47820625628053,0.333318569170142
"hs_extended.dnbr.median",-0.461161322242514,0.153761907829054,-2.9991909488741,0.0027069759561984,-0.762529123781628,-0.1597935207034
"hs_flow.accumulation.max",-0.231187969706006,0.0810085790548837,-2.8538701999621,0.00431901739165785,-0.389961867092344,-0.0724140723196686
"hs_ndvi.range",0.0447635957512795,0.157761340413761,0.283742491245815,0.776607729086962,-0.264442949612455,0.353970141115014
"hs_northness.median",-0.0343631183760246,0.135616392510583,-0.253384695904982,0.799970952766957,-0.300166363410014,0.231440126657965
"hs_slope.median",-0.274499781024915,0.162749765297339,-1.68663703153988,0.0916731667735773,-0.593483459500045,0.0444838974502155
