"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-1.5355829088876,0.16058249120791,-9.56257993842833,0,-1.85031880820283,-1.22084700957238
"ch_curvature.median",-0.0702336249274822,0.0912809729751941,-0.76942239590904,0.441642597558158,-0.249141044432637,0.108673794577672
"ch_flow.accumulation.max",0.479733364652709,0.170837094572861,2.80813347857603,0.0049829568546329,0.144898812066439,0.814567917238979
"ch_slope.median",0.166958857158993,0.0824138104377126,2.02586018377561,0.0427791144420815,0.00543075687236483,0.32848695744562
"ch_stream.power.central.diff",0.079134162708763,0.0452961172452404,1.74704075142507,0.080630269531716,-0.00964459573141185,0.167912921148938
"ch_valley_width",0.192400026886899,0.165895465633254,1.15976664071241,0.246143829510802,-0.132749110952781,0.517549164726579
"hs_curvature.median",-0.00473264714859934,0.0222925035790494,-0.212297696031194,0.831874792767908,-0.0484251512887663,0.0389598569915677
"hs_drainage_density",0.00220622995316226,0.0131665044550913,0.167563832958652,0.866926425948248,-0.0235996445811028,0.0280121044874273
"hs_extended.dnbr.median",-0.0181216346036775,0.050523387976188,-0.35867813560362,0.719835886750364,-0.11714565541395,0.0809023862065949
"hs_flow.accumulation.max",0.115111267678601,0.0823961649192946,1.39704642553874,0.162399610765938,-0.0463822480274391,0.276604783384641
"hs_hillslope.length",-0.115865180225617,0.0621240123962868,-1.86506273108243,0.0621726117471806,-0.237626007097459,0.00589564664622484
"hs_slope.northness.median",0.1812686705182,0.126388688886532,1.43421592640254,0.151510653512523,-0.0664486077526409,0.428985948789041
