"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-2.26209195560355,0.0577577299063955,-39.1651811674314,0,-2.37529502604887,-2.14888888515822
"ch_curvature.median",0.0392598296434556,0.0657557359790635,0.597055588518633,0.550470267721664,-0.0896190446524335,0.168138703939345
"ch_flow.accumulation.max",-0.136640154887201,0.120564724619197,-1.13333444188404,0.257073833332615,-0.372942672946817,0.0996623631724149
"ch_slope.median",0.0722469366958011,0.0711052719908659,1.01605597831173,0.309602730488849,-0.0671168355172207,0.211610708908823
"ch_stream.power",0.0103605654800511,0.0568993043795371,0.182085977904803,0.855515252789837,-0.101160021849224,0.121881152809326
"ch_stream.power.central.diff",0.0478729252389191,0.0368609414046713,1.29874396623121,0.194031810187365,-0.024373192350478,0.120119042828316
"ch_valley_width",-0.174675430459008,0.0895963954167877,-1.94958100319155,0.0512260794322357,-0.350281138620521,0.000930277702505811
"hs_curvature.median",-0.0262554971399971,0.0145940974071535,-1.79904905438877,0.0720109213996145,-0.0548594024448873,0.00234840816489315
"hs_drainage_density",0.000277044475549781,0.00711998667616381,0.0389108137627935,0.968961494963432,-0.0136778729801363,0.0142319619312359
"hs_extended.dnbr.median",0.0373976950873648,0.0445527392462087,0.839402822814025,0.401243300351316,-0.0499240692478085,0.124719459422538
"hs_flow.accumulation.max",-0.0550410842041768,0.0597824984845476,-0.920688924006808,0.357212860511821,-0.172212628139711,0.0621304597313569
"hs_hillslope.length",0.0301183670207514,0.0534636908924385,0.563342457619421,0.573201712112971,-0.0746685416090101,0.134905275650513
"hs_ndvi.mean.mean",-0.109519587541304,0.0590560354756793,-1.85450287441674,0.0636672493026451,-0.225267290143355,0.00622811506074719
"hs_slope.median",-0.0604394256621172,0.0484755152731435,-1.2468031607619,0.212469681267765,-0.1554496897295,0.0345708384052655
