"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-2.7137338997539,0.0721907701873561,-37.591147631629,0,-2.85522520933733,-2.57224259017048
"ch_curvature.median",0.0580093400043614,0.0952651565545886,0.608925047754695,0.542574120870978,-0.128706935824202,0.244725615832925
"ch_slope.median",-0.0277518021801115,0.0803608325063709,-0.345339903962685,0.729838850750565,-0.185256139660254,0.129752535300031
"ch_stream.power",-0.0588053793389922,0.106762237913188,-0.550806919079465,0.581766040552346,-0.268055520557738,0.150444761879754
"ch_stream.power.central.diff",-0.00178572740471948,0.0573190155644599,-0.0311541883114039,0.975146574594231,-0.114128933540352,0.110557478730913
"ch_valley_width",0.343759287127384,0.091768723440236,3.74593079472503,0.000179726136721126,0.163895894277305,0.523622679977464
"hs_curvature.median",-0.0297838923848858,0.0261887700575146,-1.13727724973245,0.255422402185085,-0.0811129384970155,0.0215451537272438
"hs_drainage_density",-0.00793090835884014,0.0398114039710343,-0.199211973649823,0.842096933520717,-0.0859598263160423,0.070098009598362
"hs_extended.dnbr.median",0.118165612334481,0.0805840671026868,1.46636446363405,0.142549022134832,-0.0397762569145438,0.276107481583506
"hs_flow.accumulation.max",0.0201598552068652,0.107573220170094,0.187405891308159,0.851342403840331,-0.190679782027516,0.230999492441246
"hs_hillslope.length",0.173991340160675,0.0780936095260757,2.22798435386161,0.0258815583738423,0.0209306780668325,0.327052002254517
"hs_ndvi.mean.mean",0.21304225874993,0.113551327843217,1.8761758474906,0.0606311374191784,-0.00951425421947452,0.435598771719335
"hs_slope.northness.median",0.0952189164901497,0.0768007078640293,1.2398182144197,0.215042639589433,-0.0553077049105298,0.245745537890829
