"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-2.83108347200342,0.388196095564241,-7.29292103746809,3.03312930327593e-13,-3.5919338382484,-2.07023310575844
"ch_curvature.median",-0.0172939333957747,0.0861589247668685,-0.200721323328595,0.840916485425948,-0.186162322885533,0.151574456093984
"ch_slope.median",-0.0402356303200595,0.129884945187968,-0.309779014510349,0.756729011125232,-0.294805445022437,0.214334184382318
"ch_stream.power",0.147823388327621,0.229560821991116,0.643939967828403,0.519614363036757,-0.302107555036376,0.597754331691618
"ch_stream.power.central.diff",-0.00489768427980665,0.0483076174261825,-0.10138534129303,0.919244572465356,-0.0995788746140638,0.0897835060544505
"ch_valley_width",-0.0477061889485777,0.117049850359718,-0.407571550087137,0.683588254728355,-0.277119680049427,0.181707302152272
"hs_curvature.median",0.018862932907148,0.0249432639981358,0.756233542994123,0.449509185046755,-0.0300249661860728,0.0677508320003688
"hs_drainage_density",0.0298509142299753,0.0346815425404914,0.860714721530158,0.389395183003806,-0.0381236600776815,0.0978254885376322
"hs_extended.dnbr.median",0.0759840476632697,0.091013125777233,0.834869113816077,0.403791406621713,-0.102398400980521,0.25436649630706
"hs_flow.accumulation.max",-0.107769260933104,0.0970484531671953,-1.11046861043152,0.266797147117654,-0.297980733896129,0.0824422120299211
"hs_hillslope.length",-0.136522006297348,0.0722583118682218,-1.88936058382217,0.0588435286836251,-0.278145695142726,0.00510168254802981
"hs_ndvi.mean.mean",-0.253372125544215,0.11279085465684,-2.24638891437684,0.0246791077739807,-0.474438138457113,-0.0323061126313163
"hs_slope.northness.median",-0.120562229274264,0.073600629639397,-1.63805975390364,0.101409229436873,-0.264816812606953,0.0236923540584254
