"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep","prefix"
"(Intercept)",1.58058876667025,0.067117481805424,23.5495838662784,0,1.4490409195986,1.7121366137419,1,"Bennett"
"ch_central.slope.difference",0.262800108055371,0.0513007121882219,5.12273800588108,3.01130627988755e-07,0.162252559785201,0.363347656325541,1,"Bennett"
"ch_change.in.slope.over.width",-0.0331123574555164,0.0147410562574111,-2.24626762677669,0.0246868708440724,-0.062004296814121,-0.00422041809691193,1,"Bennett"
"ch_channel.width.over.valley.width",-0.243174195327976,0.0996402151633254,-2.44052258347071,0.0146660289262774,-0.438465428459916,-0.0478829621960367,1,"Bennett"
"ch_curvature.median",-0.49739206022141,0.0814185911060706,-6.10907230725004,1.00211927644978e-09,-0.656969566461302,-0.337814553981519,1,"Bennett"
"ch_slope.over.width",0.143867590034092,0.0650775818875671,2.21070890867839,0.0270560012235024,0.0163178733335044,0.27141730673468,1,"Bennett"
"ch_slope.over.width.central.diff",0.000293256360621144,0.000893841094301051,0.328085565198207,0.742846967796068,-0.00145863999211079,0.00204515271335307,1,"Bennett"
"ch_stream.power.central.diff",-0.00204184784603775,0.0156307066863679,-0.130630552220555,0.896067572639138,-0.0326774700042282,0.0285937743121527,1,"Bennett"
"hs_bare.earth.mean",-0.00852451956205212,0.00811833923162341,-1.05003244122228,0.293703197690576,-0.0244361720703126,0.00738713294620833,1,"Bennett"
"hs_curvature.median",-0.0126950346862751,0.0199665146077235,-0.635816262161467,0.524896186734752,-0.0518286842142061,0.0264386148416559,1,"Bennett"
"hs_dnbr.median",-0.0327688398020092,0.0402754864129071,-0.813617481017131,0.415864120287202,-0.111707342631139,0.0461696630271211,1,"Bennett"
"hs_drainage_density",-0.000569578393641696,0.00124708507602667,-0.456727776308916,0.647866723504944,-0.00301382022831136,0.00187466344102797,1,"Bennett"
"hs_eastness.median",-0.0444724828062397,0.0509620202283486,-0.872659337423618,0.382848787532538,-0.144356207033205,0.0554112414207252,1,"Bennett"
"hs_flow.accumulation.max",-0.129504971584888,0.0726567976049037,-1.78242058353736,0.0746806713395693,-0.271909678122515,0.0128997349527392,1,"Bennett"
"hs_hillslope.length",0.174236388255231,0.053748477740066,3.24169903188438,0.00118819432504313,0.0688913076608491,0.279581468849613,1,"Bennett"
"hs_ndvi.min",-0.00453467513204696,0.065637061277119,-0.0690871139538318,0.944920278094933,-0.133180951286249,0.124111601022155,1,"Bennett"
"hs_ndvi.range",0.146919824443789,0.0761645394789947,1.92897935770106,0.0537334248995927,-0.00235992983412009,0.296199578721697,1,"Bennett"
"hs_northness.median",-0.110646723359293,0.0644275254869224,-1.71738278822694,0.0859092543880042,-0.236922352926698,0.0156289062081112,1,"Bennett"
"hs_slope.median",0.473064132462943,0.0673028882141603,7.02888308385274,2.08189021577709e-12,0.341152895507664,0.604975369418222,1,"Bennett"
"ws_accum_precip.mean",-0.289479973827111,0.0670656563664161,-4.3163668188905,1.58618308592207e-05,-0.420926244904826,-0.158033702749396,1,"Bennett"
"ws_bare.earth.mean",0.00268703107135867,0.0148946057578938,0.180402967022783,0.856836225193517,-0.026505859778036,0.0318799219207534,1,"Bennett"
"ws_eastness.mean",0.254784489836283,0.0519971704530552,4.89996835628414,9.58520920635308e-07,0.152871908450305,0.356697071222262,1,"Bennett"
"ws_Kw",-0.0600362057687691,0.0612347240789179,-0.980427472677036,0.326875154226544,-0.180054059566696,0.0599816480291576,1,"Bennett"
"ws_mi60.max",-0.27693728325667,0.0484299912496165,-5.71830132756555,1.07594217979567e-08,-0.371858321877508,-0.182016244635831,1,"Bennett"
"ws_ndvi.range",-0.91662501302843,0.0980689763581204,-9.3467378478712,0,-1.10883667469106,-0.724413351365804,1,"Bennett"
"(Intercept)",1.62313455304799,0.0607954683453504,26.6982819151541,0,1.50397762466786,1.74229148142812,2,"Bennett"
