"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep"
"(Intercept)",1.83123842254042,0.161201711896844,11.3599192030433,0,1.5152888729764,2.14718797210443,1
"ch_central.slope.difference",0.168647448648495,0.0733869227352314,2.2980585963108,0.0215584543328218,0.0248117231512181,0.312483174145772,1
"ch_channel.width.over.valley.width",-0.975679121434701,0.284039831664095,-3.4350080962889,0.000592536125539889,-1.53238696167115,-0.418971281198255,1
"ch_slope.median",0.42084652392369,0.12948731892739,3.25009836800836,0.00115365096175202,0.167056042371353,0.674637005476027,1
"ch_valley_width",-0.572276329720709,0.214930029534337,-2.66261690355968,0.00775356316947562,-0.993531446804141,-0.151021212637277,1
"hs_area",0.23244511608909,0.100133257109993,2.32135778659188,0.0202675418326306,0.0361875384988135,0.428702693679366,1
"hs_bare.earth.mean",0.161118584851836,0.115169463770837,1.39896965373068,0.161822083324959,-0.0646094162577948,0.386846585961468,1
"hs_curvature.median",-0.048919758914777,0.0630643360998594,-0.775711946563822,0.437919084489409,-0.172523586379431,0.0746840685498765,1
"hs_dnbr.median",0.00458756372292423,0.103298674344488,0.0444106737287382,0.964577053639287,-0.197874117643004,0.207049245088852,1
"hs_drainage_density",-0.00171223336961502,0.00909988278182168,-0.18815993685495,0.850751277253043,-0.0195476758855217,0.0161232091462916,1
"hs_flow.accumulation.max",-0.32729404232041,0.159257808834774,-2.05512084283396,0.0398673342296705,-0.639433611893332,-0.0151544727474887,1
"hs_ndvi.min",-0.148012413906096,0.159978331894661,-0.925202883122669,0.354860384084233,-0.461564182726427,0.165539354914236,1
"hs_northness.median",-0.00831499392237215,0.127986660646412,-0.0649676605388115,0.948199748988464,-0.259164239290889,0.242534251446145,1
"(Intercept)",1.74633808154165,0.226012733480043,7.72672430730921,1.11022302462516e-14,1.30336126387331,2.18931489920999,2
"ch_central.slope.difference",0.012265011498428,0.0772367331288181,0.158797647202038,0.873828302551329,-0.139116203717587,0.163646226714443,2
"ch_channel.width.over.valley.width",-0.868570168291062,0.314128818479725,-2.76501268649798,0.00569205820231167,-1.48425133901744,-0.252888997564681,2
"ch_slope.median",0.34237665445807,0.131321282652374,2.60716806554798,0.00912945380670127,0.0849916700558117,0.599761638860327,2
"ch_valley_width",-0.582820636084735,0.217334546546687,-2.68167507350027,0.00732545725170031,-1.00878851991259,-0.156852752256885,2
"hs_area",0.26285527889771,0.117256406243824,2.24171358579016,0.0249798892602011,0.0330369457032178,0.492673612092202,2
"hs_bare.earth.mean",-0.195129917309516,0.126389417511219,-1.54387860274927,0.122617744616511,-0.442848623658501,0.0525887890394702,2
"hs_curvature.median",-0.0877629086329549,0.0500166407587262,-1.75467419046217,0.0793150531646116,-0.185793723147736,0.0102679058818266,2
"hs_dnbr.median",-0.0818718852668732,0.109522405378964,-0.747535492702009,0.454740386678707,-0.296531855309839,0.132788084776092,2
"hs_drainage_density",0.00050099932903045,0.00847163771186204,0.059138427075198,0.952841851806881,-0.0161031054762904,0.0171051041343513,2
"hs_flow.accumulation.max",-0.19262663628435,0.164552386973079,-1.17060979684156,0.241755657612127,-0.515143388321683,0.129890115752983,2
"hs_ndvi.min",-0.158647565044234,0.173928226984156,-0.912143864139348,0.361692990131772,-0.499540625828088,0.18224549573962,2
"hs_northness.median",0.125502802968512,0.131991772470254,0.950838075886857,0.341686580605248,-0.133196317328791,0.384201923265816,2
"(Intercept)",1.8481170699711,0.233721117157111,7.9073602439131,2.66453525910038e-15,1.39003209791669,2.3062020420255,3
"ch_central.slope.difference",0.116833592144016,0.0692000017627559,1.68834666427562,0.0913447024079563,-0.0187959190410939,0.252463103329125,3
"ch_channel.width.over.valley.width",-1.20763362772018,0.31403376134736,-3.84555349252523,0.000120280619705815,-1.82312848989065,-0.592138765549704,3
"ch_slope.median",0.292902298740327,0.115566747098835,2.53448596671006,0.0112612437519113,0.0663956366161629,0.519408960864492,3
"ch_valley_width",-0.307475195259461,0.214291436153174,-1.43484593121901,0.151331006005511,-0.727478692315046,0.112528301796125,3
"hs_area",0.171990557398683,0.12256678841017,1.40323948787102,0.160545436014003,-0.0682359335859914,0.412217048383357,3
"hs_bare.earth.mean",0.0766998304226452,0.13276078605516,0.577729559320155,0.563446719159744,-0.183506528804696,0.336906189649987,3
"hs_curvature.median",-0.149922845939583,0.0702841020496751,-2.13309755076079,0.0329167246685302,-0.287677154642684,-0.0121685372364823,3
"hs_dnbr.median",0.00786387266602634,0.111613625443398,0.0704562067111983,0.943830555867097,-0.210894813386978,0.22662255871903,3
"hs_drainage_density",-0.00652103945063123,0.0104254677668719,-0.625491306140964,0.531648652614694,-0.0269545807956834,0.0139125018944209,3
"hs_flow.accumulation.max",-0.129593809427798,0.147629798303843,-0.877829617846363,0.380036188815266,-0.418942897148242,0.159755278292646,3
"hs_ndvi.min",-0.126023666976828,0.180930531071216,-0.69653068628436,0.486096546762434,-0.480640991580116,0.228593657626461,3
"hs_northness.median",0.138270526414729,0.143555419716909,0.963185692935862,0.335454343636199,-0.143092926015943,0.419633978845402,3
"(Intercept)",1.86051750676948,0.278848817295373,6.6721369838148,2.52105003539782e-11,1.31398386773896,2.4070511458,4
"ch_central.slope.difference",0.174316067156112,0.0701583654973304,2.48460844149434,0.0129694000303655,0.0368081975671471,0.311823936745077,4
"ch_channel.width.over.valley.width",-0.412451053149267,0.349173960012272,-1.1812193931494,0.23751557913058,-1.09681943911255,0.271917332814015,4
"ch_slope.median",0.328365128155597,0.12518823627783,2.62297111868287,0.00871666613392841,0.0830006937629584,0.573729562548235,4
"ch_valley_width",-0.194089537973474,0.238744956980827,-0.812957644961107,0.416242342434914,-0.662021055146461,0.273841979199512,4
"hs_area",0.153736351035354,0.12649330000122,1.21537149425204,0.224224435061934,-0.0941859612526565,0.401658663323365,4
"hs_bare.earth.mean",-0.0401052106925135,0.140342258454051,-0.285767174721961,0.775056450922718,-0.315170982771465,0.234960561386438,4
"hs_curvature.median",-0.0520119858890876,0.0649992431780897,-0.800193715280367,0.423598570503002,-0.179408161540504,0.0753841897623289,4
"hs_dnbr.median",0.00740609348283605,0.133553646924684,0.0554540714789512,0.955776719260784,-0.254354244493524,0.269166431459196,4
"hs_drainage_density",-0.000272303155647772,0.00965110992843339,-0.0282146983784251,0.977490914280755,-0.0191881310262142,0.0186435247149186,4
"hs_flow.accumulation.max",-0.011761523734652,0.164464100684661,-0.0715142312862743,0.942988498629312,-0.334105237826357,0.310582190357053,4
"hs_ndvi.min",-0.266903295009777,0.211846520007116,-1.25988991936621,0.20770907574055,-0.682114844473868,0.148308254454313,4
"hs_northness.median",-0.033843085911562,0.144452885227753,-0.234284596380356,0.814764043494616,-0.316965538420856,0.249279366597732,4
"(Intercept)",1.86197258359923,0.168898408476654,11.024216275292,0,1.53093778593886,2.19300738125961,5
"ch_central.slope.difference",0.159249077368997,0.0781014324832165,2.03900328464806,0.0414496997339502,0.00617308256090598,0.312325072177088,5
"ch_channel.width.over.valley.width",-1.07282072754619,0.304386826048946,-3.52453074750901,0.000424233576611366,-1.66940794397058,-0.476233511121793,5
"ch_slope.median",0.345494206000352,0.143306905701761,2.410869206257,0.0159145544935486,0.0646178320890224,0.626370579911682,5
"ch_valley_width",-0.575329956436937,0.23567932109989,-2.44115586277122,0.014640334547805,-1.03725293769357,-0.113406975180301,5
"hs_area",0.151149321033214,0.121614548294735,1.242855588847,0.213921053684141,-0.0872108136205731,0.389509455687001,5
"hs_bare.earth.mean",0.0759001684297647,0.129399103099696,0.586558690219725,0.557500133638059,-0.177717413277424,0.329517750136954,5
"hs_curvature.median",0.00514696256746809,0.0631153027754,0.0815485681148341,0.935005701693558,-0.118556757745657,0.128850682880593,5
"hs_dnbr.median",0.154062310049705,0.132175774025643,1.16558659244027,0.243781631245015,-0.10499744666926,0.41312206676867,5
"hs_drainage_density",-0.00894311067051719,0.0106702613738309,-0.838134170963274,0.401955353398117,-0.0298564386688546,0.0119702173278202,5
"hs_flow.accumulation.max",-0.123203670879214,0.179919916810475,-0.684769496692216,0.493489386669737,-0.475840227929188,0.229432886170759,5
"hs_ndvi.min",-0.221141672075483,0.175225094775659,-1.2620433868711,0.20693317474719,-0.564576547023392,0.122293202872426,5
"hs_northness.median",-0.101727543507774,0.134582335196711,-0.755875898267663,0.449723605620506,-0.365504073448625,0.162048986433077,5
"(Intercept)",1.58106943688917,0.345474828574434,4.57651124226124,4.72794312500469e-06,0.903951215318133,2.25818765846021,6
"ch_central.slope.difference",0.0885312090628573,0.0823528666446574,1.07502279726167,0.282364521834868,-0.0728774435843012,0.249939861710016,6
"ch_channel.width.over.valley.width",0.187681397630233,0.327351407090747,0.573333101874235,0.566419176634366,-0.45391557055614,0.829278365816607,6
"ch_slope.median",0.30006190747743,0.13441633027665,2.2323322386488,0.0255930126637087,0.0366107412011559,0.563513073753705,6
"ch_valley_width",-0.0167295646352126,0.206286939580305,-0.0810985158306642,0.935363605997339,-0.421044536693601,0.387585407423176,6
