"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep","prefix"
"(Intercept)",3.97004415936968,0.151322045729226,26.2357288406848,0,3.67345839967347,4.26662991906588,1,"MM"
"ch_change.in.slope.over.width",0.0806016060218385,0.135280432029081,0.595811270062411,0.551301313949347,-0.184543168568179,0.345746380611856,1,"MM"
"ch_channel.width.over.valley.width",-0.247441247051673,0.32797722917362,-0.754446422012688,0.450581205648346,-0.890264803981207,0.395382309877861,1,"MM"
"ch_curvature.median",-0.220508378515363,0.179989186836032,-1.22512014411312,0.220529956392184,-0.573280702320636,0.13226394528991,1,"MM"
"ch_slope.over.width.central.diff",-0.0224034823058674,0.181971098111361,-0.123115607579381,0.902015552243893,-0.37906028083134,0.334253316219605,1,"MM"
"ch_stream.power",0.472921377224217,0.144978585388497,3.26200849564738,0.00110625828102795,0.188768571333198,0.757074183115236,1,"MM"
"hs_area",0.295396402730334,0.158106187655502,1.86834182210486,0.0617144406901113,-0.0144860308073813,0.605278836268049,1,"MM"
"hs_bare.earth.mean",-0.00207982580670659,0.0176203738577062,-0.118035282537265,0.906039701859095,-0.0366151239619417,0.0324554723485286,1,"MM"
"hs_curvature.median",0.0720479972975444,0.076186325328363,0.945681485319282,0.344311068654864,-0.0772744564604988,0.221370451055588,1,"MM"
"hs_dnbr.median",-0.0635328161026864,0.123763450948142,-0.513340696433128,0.607713021118647,-0.306104722563434,0.179039090358061,1,"MM"
"hs_drainage_density",-0.129916506373948,0.0921017676283842,-1.41057560261102,0.1583697896513,-0.310432653838058,0.0505996410901623,1,"MM"
"hs_flow.accumulation.max",0.294666520733902,0.260268114894735,1.13216527062134,0.257564957999397,-0.21544961078391,0.804782652251714,1,"MM"
"hs_ndvi.min",0.368445085729813,0.147291379003082,2.50147081399858,0.0123678636116933,0.0797592876505329,0.657130883809093,1,"MM"
"hs_ndvi.range",0.595434343525635,0.225239390138772,2.64356222576692,0.00820386846494414,0.153973250953876,1.03689543609739,1,"MM"
"hs_northness.median",0.166412734307373,0.140412065804491,1.18517403297153,0.235948644564334,-0.108789857664298,0.441615326279044,1,"MM"
"(Intercept)",3.86954776362324,0.162394482692772,23.8280740789937,0,3.55126042625739,4.18783510098909,2,"MM"
