"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep"
"(Intercept)",4.56058906428023,0.793002506577569,5.75103991028069,8.86961726287439e-09,3.0063327117382,6.11484541682225,1
"ch_central.slope.difference",1.16836337967098,0.593159869200835,1.96972762376038,0.0488695953177016,0.00579139896285508,2.33093536037911,1
"ch_channel.width.over.valley.width",-1.79491306232626,0.95456802919594,-1.88034064354551,0.0600616674538235,-3.66583202034368,0.0760058956911553,1
"ch_curvature.median",-0.585209207220674,0.974929124253823,-0.600258206121981,0.548334167566179,-2.49603517823734,1.32561676379599,1
"ch_slope.over.width",-1.60179198361176,0.769913881414071,-2.08048201529996,0.0374813435463457,-3.11079546238078,-0.0927885048427362,1
"ch_slope.over.width.central.diff",0.0417988486115679,0.156492456757486,0.267098168676225,0.78939357757372,-0.264920730485297,0.348518427708432,1
"ch_stream.power.central.diff",-0.0125881244950861,0.144357060561251,-0.0872013079661244,0.930511499712292,-0.295522764109205,0.270346515119033,1
"hs_area",-0.308907362690039,0.63673411781757,-0.485143412369406,0.627574619246804,-1.55688330134036,0.93906857596028,1
"hs_bare.earth.mean",-0.0756911161522369,0.15835658362638,-0.477978966323366,0.632665175761391,-0.386064316774747,0.234682084470273,1
"hs_curvature.median",0.148479589057362,0.273142129242439,0.543598270501777,0.586717950187827,-0.386869146918402,0.683828325033127,1
"hs_eastness.median",-2.27436945330182,0.741285067686442,-3.06814416267705,0.00215392680700499,-3.72726148824458,-0.821477418359055,1
"hs_extended.dnbr.median",-0.0745071306131793,0.79774383349413,-0.0933973131284975,0.925587925002141,-1.63805631315059,1.48904205192423,1
"hs_flow.accumulation.max",1.10810722046428,0.846603074681611,1.30888636434615,0.190572846176404,-0.551204315112547,2.76741875604111,1
"hs_ndvi.min",-0.441838698623124,0.857547068614515,-0.515235506940716,0.606388459899682,-2.12260006815547,1.23892267090922,1
"hs_northness.median",-1.28725517752377,0.818621307616278,-1.57246722696736,0.11584223395315,-2.89172345742875,0.317213102381223,1
