"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep"
"(Intercept)",-2.03106838891124,0.0553963878397833,-36.664274840184,0,-2.13964331395083,-1.92249346387166,1
"ch_change.in.slope.over.width",-0.0409903864385612,0.0471314316331441,-0.869703826474383,0.384462280592446,-0.133366294979335,0.0513855221022131,1
"ch_channel.width.over.valley.width",-0.460365093191754,0.0819811108590975,-5.61550201464081,1.95992373441811e-08,-0.62104511788817,-0.299685068495337,1
"ch_curvature.median",0.0319761022733671,0.0822448134196111,0.388791717603221,0.697430228163461,-0.129220769944287,0.193172974491021,1
"ch_slope.over.width",-0.00793649126497924,0.0597303260018309,-0.132872056729373,0.894294566420216,-0.125005779013404,0.109132796483446,1
"ch_slope.over.width.central.diff",0.000126034481780712,6.23955112630944e-05,2.01992866520927,0.0433907874232009,3.74152690808406e-06,0.000248327436653341,1
"hs_area",-0.019711344407851,0.0425135950759496,-0.463648025358408,0.642899940333848,-0.103036459610031,0.0636137707943296,1
"hs_curvature.median",-0.0118390097328729,0.0222358219531342,-0.532429597512771,0.594428490483909,-0.0554204199276609,0.0317424004619152,1
"hs_extended.dnbr.median",-0.175475565993584,0.0614601468941624,-2.85511139919275,0.0043021735761628,-0.295935240390684,-0.0550158915964844,1
"hs_flow.accumulation.max",0.114071483594098,0.0470279946040936,2.42560807779306,0.0152827644896221,0.0218983079049304,0.206244659283265,1
"hs_ndvi.min",0.142773442111698,0.0557860989062091,2.5593014193686,0.0104882758634355,0.0334346974175392,0.252112186805857,1
"hs_northness.median",0.0549318451624589,0.0633059710870408,0.867719809351505,0.385547738719872,-0.0691455781744751,0.179009268499393,1
"hs_slope.median",0.20556962451184,0.0636723697465612,3.22855306516909,0.00124418173312368,0.0807740729982621,0.330365176025417,1
"ws_aspect.eastness_mean",0.110538263405886,0.0527502806875695,2.09550095212923,0.0361264839016455,0.00714961308387106,0.213926913727901,1
"ws_bare.earth_mean",0.10231530066828,0.0230439275164266,4.44001139108538,8.99541163090767e-06,0.0571500326737322,0.147480568662827,1
"ws_flow.accum_max",0.543459949503966,0.0816545654520078,6.65559784067901,2.82149859032188e-11,0.383419942044762,0.703499956963169,1
"ws_mi60_mean",0.0336599388078575,0.0722744202821477,0.465724092652068,0.641413004790645,-0.107995321948663,0.175315199564378,1
"ws_ndvi.range_mean",-0.153313049304243,0.0797527150342667,-1.92235523566025,0.0545610741465794,-0.309625498440691,0.00299939983220629,1
"ws_RV.Silt",-0.0254346734616357,0.0397314024932903,-0.640165508024314,0.522065004258614,-0.10330679140375,0.0524374444804782,1
"(Intercept)",-1.46165547338222,0.500417615333457,-2.92087134544262,0.00349053937518606,-2.44245597666522,-0.480854970099228,2
"ch_change.in.slope.over.width",-0.137967904779872,0.0675736631383914,-2.04174079622282,0.0411772497081626,-0.270409850834561,-0.00552595872518313,2
"ch_channel.width.over.valley.width",-0.35254053646055,0.0930971262091156,-3.78680364062656,0.000152597593911397,-0.535007550894596,-0.170073522026503,2
"ch_curvature.median",0.205485998901345,0.0881199003471887,2.33189095870216,0.0197064282399066,0.0327741678995963,0.378197829903093,2
"ch_slope.over.width",0.161456479619085,0.0655179149891241,2.46431040496156,0.0137277168826346,0.033043725898245,0.289869233339925,2
"ch_slope.over.width.central.diff",0.041920987142144,0.0547208806242694,0.766087582361595,0.443624191150157,-0.0653299680837396,0.149171942368028,2
"hs_area",-0.0556441178270796,0.0534226184866432,-1.04158349783981,0.297604822801992,-0.160350526020724,0.0490622903665646,2
"hs_curvature.median",-0.0849382662774763,0.029430266852421,-2.88608549502463,0.00390066180934778,-0.142620529363624,-0.0272560031913282,2
"hs_extended.dnbr.median",-0.0988784240919903,0.0606043025920125,-1.63154132401521,0.10277614766803,-0.217660674480502,0.0199038262965217,2
"hs_flow.accumulation.max",0.211832602759673,0.0489481832838859,4.32769080582833,1.50680794277491e-05,0.115895926414591,0.307769279104754,2
"hs_ndvi.min",0.0697715557911065,0.050209131978944,1.38961884105796,0.164644651353514,-0.028636534582642,0.168179646164855,2
"hs_northness.median",-0.0325153054274848,0.0676200384065157,-0.480853104992494,0.630620904140057,-0.165048145337471,0.100017534482501,2
"hs_slope.median",0.210544162258434,0.0754154201183174,2.7917919429225,0.00524170482622255,0.0627326549475742,0.358355669569293,2
"ws_aspect.eastness_mean",0.0525644550232829,0.100498803652908,0.523035629407333,0.600949459136082,-0.14440958062578,0.249538490672346,2
"ws_bare.earth_mean",0.123678910468148,0.0970988787811199,1.27374190125248,0.20275490138016,-0.0666313948820673,0.313989215818363,2
"ws_flow.accum_max",1.28529552705659,0.158174833436197,8.12579029884064,4.44089209850063e-16,0.975278550261018,1.59531250385216,2
"ws_mi60_mean",0.306019316612111,0.160721780802745,1.9040313956432,0.0569060954303007,-0.0089895852924099,0.621028218516632,2
"ws_ndvi.range_mean",1.20581020360718,0.212215289374585,5.68201380381593,1.33117914469238e-08,0.789875879464252,1.62174452775012,2
"ws_RV.Silt",-0.0428903392416687,0.0504380125763851,-0.850357439772515,0.395126390726437,-0.141747027343162,0.0559663488598243,2
"(Intercept)",-1.48432775377176,0.40154298274294,-3.69656006346398,0.000218540572665349,-2.27133753819271,-0.697317969350808,3
"ch_change.in.slope.over.width",-0.0964420331908667,0.044770660191718,-2.15413471183763,0.0312296090632329,-0.184190914730715,-0.00869315165101837,3
"ch_channel.width.over.valley.width",-0.367504146815807,0.0876073361075619,-4.19490151332299,2.72990176957144e-05,-0.539211370368124,-0.195796923263491,3
"ch_curvature.median",0.116578299865309,0.0797159405857298,1.46242143050343,0.143625760343758,-0.0396620726764559,0.272818672407074,3
"ch_slope.over.width",0.0866271780048696,0.0680699508049656,1.27261995903412,0.203152932592614,-0.0467874740022763,0.220041830012015,3
"ch_slope.over.width.central.diff",8.18159552912421e-05,5.28532826288185e-05,1.54798247567374,0.12162651577326,-2.17745751259586e-05,0.000185406485708443,3
"hs_area",-0.0874258816493418,0.0506813093075712,-1.72501229435052,0.0845252569111508,-0.186759422581516,0.0119076592828324,3
"hs_curvature.median",-0.0898011658448542,0.0252988192318973,-3.54961885856044,0.000385789264043757,-0.139385940390762,-0.0402163912989462,3
"hs_extended.dnbr.median",-0.107797196889955,0.0634888363169644,-1.69789215149232,0.0895281188528858,-0.232233029491563,0.0166386357116542,3
"hs_flow.accumulation.max",0.0963789432837223,0.0467443345956086,2.06183153782184,0.0392237773538153,0.00476173099503983,0.187996155572405,3
"hs_ndvi.min",0.166033728546222,0.0465990619044673,3.56302727481097,0.000366602572564156,0.0747012455001134,0.25736621159233,3
"hs_northness.median",0.0404520289672237,0.070007007201503,0.577828285828439,0.563380056305488,-0.0967591838131584,0.177663241747606,3
"hs_slope.median",0.347405970845751,0.0743427415941153,4.67303146744927,2.96786274156524e-06,0.201696874809317,0.493115066882184,3
"ws_aspect.eastness_mean",0.125441900057832,0.0966933180891515,1.29731715217565,0.194522085131237,-0.0640735209425804,0.314957321058244,3
"ws_bare.earth_mean",0.0978001140226873,0.0919151551018383,1.06402599129957,0.287316925367558,-0.0823502796103286,0.277950507655703,3
"ws_flow.accum_max",1.11322828161808,0.15231528999681,7.30870998992542,2.69784194983913e-13,0.814695798929554,1.4117607643066,3
"ws_mi60_mean",0.0585504611357385,0.153153807600224,0.3822984361484,0.702240014529431,-0.241625485855877,0.358726408127354,3
"ws_ndvi.range_mean",1.17480985218835,0.213960773913228,5.49077212005598,4.00180406590067e-08,0.755454441214109,1.5941652631626,3
"ws_RV.Silt",-0.0723103143834709,0.0495677929630428,-1.45881650283249,0.144615619200635,-0.169461403384173,0.0248407746172308,3
"(Intercept)",-2.04864681961834,0.0641261574444429,-31.9471320481541,0,-2.17433177867639,-1.92296186056029,4
"ch_change.in.slope.over.width",0.00341417673000209,0.0404679928204332,0.0843673355669419,0.932764377109268,-0.0759016317246725,0.0827299851846767,4
"ch_channel.width.over.valley.width",-0.33870612897965,0.080974449563378,-4.18287658398403,2.87843667918786e-05,-0.497413133791826,-0.179999124167474,4
"ch_curvature.median",0.151753275571049,0.0654788384532786,2.31759266284679,0.0204714693415691,0.0234171104531063,0.280089440688991,4
"ch_slope.over.width",0.0415323322935074,0.0601362342418958,0.690637397187944,0.489793439799437,-0.0763325209864727,0.159397185573488,4
"ch_slope.over.width.central.diff",7.14364062372369e-05,5.10696992833036e-05,1.39880217114558,0.161872315066415,-2.86583650593291e-05,0.000171531177533803,4
"hs_area",-0.0566433488075285,0.0337740146652363,-1.67712809297237,0.0935174363738578,-0.122839201164719,0.0095525035496623,4
"hs_curvature.median",-0.0136962963724664,0.0187896604013349,-0.728927297243402,0.466046136001882,-0.0505233540408212,0.0231307612958884,4
"hs_extended.dnbr.median",-0.147938632624249,0.0539311244038993,-2.74310306449967,0.00608615798587264,-0.253641694101641,-0.0422355711468572,4
"hs_flow.accumulation.max",0.0814224925293678,0.0377992712265911,2.15407572387503,0.0312342339755038,0.00733728228338824,0.155507702775347,4
"hs_ndvi.min",0.0633703160729635,0.0524676279212041,1.20779838128251,0.227124824283388,-0.0394643450068446,0.166204977152772,4
"hs_northness.median",0.132444963442385,0.0501810036852754,2.63934464669244,0.00830664854012042,0.0340920035111738,0.230797923373597,4
"hs_slope.median",0.114896049080942,0.0665958769235968,1.72527271039254,0.0844783375297322,-0.0156294712081697,0.245421569370054,4
"ws_aspect.eastness_mean",0.113764889222138,0.061244929770938,1.85753971222809,0.063234406713879,-0.0062729673645858,0.233802745808861,4
"ws_bare.earth_mean",0.101249308065045,0.0274865831454745,3.68359019122807,0.000229971862064637,0.047376595041849,0.15512202108824,4
"ws_flow.accum_max",0.590217324477199,0.0951010519637738,6.20621236347655,5.42768274769401e-10,0.40382268773633,0.776611961218067,4
"ws_mi60_mean",0.0421354503234324,0.0806862033237879,0.522213818319668,0.60152146593309,-0.116006602240468,0.200277502887333,4
"ws_ndvi.range_mean",-0.0411919604415868,0.0971030631381802,-0.424208661501951,0.671413644595007,-0.231510466980939,0.149126546097765,4
"ws_RV.Silt",-0.0927115501986403,0.0443664993876436,-2.08967467522266,0.0366470334167135,-0.17966829111854,-0.00575480927874054,4
"(Intercept)",-2.02414813555008,0.0651563083322951,-31.0660346996179,0,-2.15185215324697,-1.8964441178532,5
"ch_change.in.slope.over.width",0.00567648748589122,0.0383971577545492,0.147836137304165,0.88247208923445,-0.0695805588217281,0.0809335337935105,5
"ch_channel.width.over.valley.width",-0.353498874442373,0.0805177786316959,-4.39032075213285,1.13183582348686e-05,-0.511310820675666,-0.195686928209081,5
"ch_curvature.median",0.155492678062063,0.0681322431545724,2.28221868035807,0.022476432759478,0.0219559352931755,0.289029420830951,5
"ch_slope.over.width",-0.0203960625778455,0.0550419114541292,-0.370555128610372,0.71096890843434,-0.128276226668181,0.0874841015124904,5
"ch_slope.over.width.central.diff",9.80800016062167e-05,5.79291392818184e-05,1.69310303626417,0.0904358564569752,-1.54590250415518e-05,0.000211619028253985,5
"hs_area",0.0344297044732509,0.0374635709863033,0.919018224019234,0.358086040147112,-0.0389975453921632,0.107856954338665,5
"hs_curvature.median",0.000239835095386418,0.0172924182496119,0.013869378586873,0.988934191727932,-0.033652681879456,0.0341323520702288,5
"hs_extended.dnbr.median",-0.176436900299465,0.0559417813625331,-3.15393782611351,0.00161083399856365,-0.286080777001044,-0.0667930235978863,5
"hs_flow.accumulation.max",0.146787080122192,0.0378294417673459,3.88023384074616,0.000104356086045643,0.0726427367029384,0.220931423541445,5
"hs_ndvi.min",0.163420968943233,0.0556813786169298,2.93493036635313,0.0033362254771534,0.0542874722445121,0.272554465641954,5
"hs_northness.median",0.0812989800925092,0.0556748340300239,1.460246474173,0.144222346863323,-0.0278216894515826,0.190419649636601,5
"hs_slope.median",0.104075355545472,0.0599074305342462,1.73726956101007,0.0823396017039288,-0.0133410507079862,0.221491761798929,5
"ws_aspect.eastness_mean",0.107683150346198,0.0639466787622072,1.68395219940396,0.0921909070477809,-0.0176500369586809,0.233016337651076,5
"ws_bare.earth_mean",0.0811204592518916,0.027889720365521,2.90861500899728,0.00363033618520547,0.0264576117965771,0.135783306707206,5
"ws_flow.accum_max",0.636247540459181,0.0984323465022934,6.46380547724072,1.02102104548862e-10,0.443323686400919,0.829171394517443,5
"ws_mi60_mean",0.0225477739292057,0.0856859591171586,0.263144325645887,0.792439340526337,-0.145393619921197,0.190489167779608,5
"ws_ndvi.range_mean",-0.0361796401741018,0.103294371976055,-0.350257613091339,0.726145372715034,-0.238632889052852,0.166273608704649,5
"ws_RV.Silt",-0.109977010675531,0.0485080039147906,-2.26719307742939,0.0233784335382285,-0.205050951310448,-0.0149030700406133,5
"(Intercept)",-1.4746952914645,0.384844243881643,-3.8319276302286,0.000127143143415998,-2.22897614913007,-0.720414433798932,6
"ch_change.in.slope.over.width",-0.0879305933009232,0.0456525097532798,-1.92608454115945,0.0540938185490139,-0.177407868221215,0.00154668161936884,6
"ch_channel.width.over.valley.width",-0.472607468855189,0.0881917512882841,-5.35886250076058,8.3747560442049e-08,-0.64546012511374,-0.299754812596638,6
"ch_curvature.median",-0.279535220611524,0.0889948856869922,-3.14102567190984,0.00168357274251907,-0.453961991366288,-0.10510844985676,6
"ch_slope.over.width",-0.226899684655204,0.0731683849705689,-3.10106181442261,0.00192828032188141,-0.370307084004481,-0.0834922853059275,6
"ch_slope.over.width.central.diff",8.93308076901736e-05,4.80803115573405e-05,1.85794985092053,0.0631761361997372,-4.90487132767869e-06,0.000183566486708026,6
"hs_area",0.0490169714669142,0.0481378315688268,1.01826297258177,0.308552999966195,-0.0453314447018415,0.14336538763567,6
"hs_curvature.median",-0.0294076710016021,0.022356615733335,-1.31539009984206,0.188378831057696,-0.0732258326551402,0.014410490651936,6
"hs_extended.dnbr.median",-0.0278535019700633,0.0611356554543949,-0.455601592279338,0.648676497935285,-0.147677184831927,0.0919701808918005,6
"hs_flow.accumulation.max",0.091881894622218,0.0462690431078288,1.98581791302858,0.0470535460086567,0.00119623653174229,0.182567552712694,6
"hs_ndvi.min",0.092300710334254,0.0559941517585989,1.64839911732531,0.09927079704388,-0.0174458104574698,0.202047231125978,6
"hs_northness.median",0.0308542353374185,0.0714630837264713,0.431750684808323,0.665922625311579,-0.109210834990636,0.170919305665473,6
"hs_slope.median",0.464119391394632,0.0611339058925183,7.59184914850062,3.15303338993544e-14,0.344299137611036,0.583939645178229,6
"ws_aspect.eastness_mean",-0.0839677144187866,0.0931540396960976,-0.901385647822896,0.367383309643813,-0.266546277237552,0.0986108483999791,6
"ws_bare.earth_mean",0.0635869648927956,0.0927354448163881,0.68568134890273,0.492914070577133,-0.118171167037627,0.245345096823218,6
"ws_flow.accum_max",1.07056213545906,0.157844809415307,6.78237149149638,1.18218768108136e-11,0.761191993858467,1.37993227705965,6
"ws_mi60_mean",0.231662457077462,0.172629104305318,1.34196639674232,0.179606891401412,-0.10668437004437,0.570009284199295,6
"ws_ndvi.range_mean",0.597760936830605,0.23427715619542,2.55151183554571,0.0107256681109251,0.138586148287117,1.05693572537409,6
"ws_RV.Silt",0.0528606658743715,0.053269151180495,0.992331672326834,0.321035757993943,-0.0515449519264179,0.157266283675161,6
"(Intercept)",-1.57411569942246,0.401776360211952,-3.91789028750237,8.93273433253405e-05,-2.36158289527748,-0.786648503567445,7
"ch_change.in.slope.over.width",0.0241234654439553,0.0541229265531776,0.445716205317412,0.655802257195335,-0.0819555213381794,0.13020245222609,7
"ch_channel.width.over.valley.width",-0.235096577046587,0.0789990537664283,-2.97594168332297,0.00292090399903233,-0.389931877241529,-0.0802612768516438,7
"ch_curvature.median",-0.000586392636073994,0.0839778048496715,-0.00698270974245747,0.994428648978836,-0.165179865642163,0.164007080370015,7
"ch_slope.over.width",-0.0611198084415658,0.062492198965291,-0.978039010525339,0.328055030375579,-0.183602267728247,0.0613626508451157,7
"ch_slope.over.width.central.diff",1.11533913285013e-05,5.36908448869115e-05,0.207733578266344,0.835436997886383,-9.40787309493717e-05,0.000116385513606374,7
"hs_area",0.0391090440794997,0.0480382982836421,0.814122179111765,0.415574961199908,-0.0550442904350311,0.133262378594031,7
"hs_curvature.median",-0.0351699492549048,0.0253667317731439,-1.38645961842588,0.165606602681596,-0.0848878299357547,0.0145479314259452,7
"hs_extended.dnbr.median",-0.0474991158030522,0.0572526312724843,-0.829640747461686,0.406741931358004,-0.159712211117273,0.0647139795111687,7
"hs_flow.accumulation.max",0.0640363623172346,0.0448242235581649,1.42861063135069,0.153116176783632,-0.0238175014917404,0.15189022612621,7
"hs_ndvi.min",0.0631045118111195,0.0485439184011699,1.29994680877674,0.193619200411614,-0.0320398199236247,0.158248843545864,7
"hs_northness.median",0.0326731511311531,0.0671456818296642,0.48660092862023,0.62654116535482,-0.0989299669723742,0.16427626923468,7
"hs_slope.median",0.419589464834871,0.0631887194150282,6.6402590322962,3.13131742757378e-11,0.295741850552209,0.543437079117533,7
"ws_aspect.eastness_mean",0.189998905279735,0.0849429672958363,2.23678205893153,0.0253005876984407,0.0235137486399319,0.356484061919537,7
"ws_bare.earth_mean",0.157549461199977,0.090427529390866,1.74227320221237,0.0814606502227775,-0.0196852396170573,0.334784162017012,7
"ws_flow.accum_max",1.32049436804364,0.144729185262448,9.12389830461007,0,1.03683037741742,1.60415835866987,7
"ws_mi60_mean",0.218076535313032,0.151595657223635,1.43854078215,0.150280674785332,-0.079045493057972,0.515198563684036,7
"ws_ndvi.range_mean",0.930359170147816,0.221968719395341,4.19139765585971,2.7724124509021e-05,0.49530847443847,1.36540986585716,7
"ws_RV.Silt",-0.0404559797820674,0.0479592865619764,-0.843548407038693,0.398921804924476,-0.134454454167777,0.0535424946036422,7
"(Intercept)",-2.02431248586916,0.0563358521489105,-35.9329345106624,0,-2.1347287271194,-1.91389624461892,8
"ch_change.in.slope.over.width",0.0110671675900436,0.0437106526842256,0.253191542802965,0.800120201514314,-0.0746041374117775,0.0967384725918647,8
"ch_channel.width.over.valley.width",-0.493268787625562,0.0758246675571063,-6.50538674968886,7.74937891634409e-11,-0.641882405177214,-0.344655170073911,8
"ch_curvature.median",-0.0684513503661246,0.0793591150817057,-0.862551835358159,0.388383921640461,-0.223992357771237,0.0870896570389879,8
"ch_slope.over.width",-0.128575701299596,0.0580242652815929,-2.21589537886633,0.0266986681041663,-0.242301171480915,-0.0148502311182757,8
"ch_slope.over.width.central.diff",9.47125476282837e-05,6.02681846972297e-05,1.57151817503867,0.116062336089127,-2.34109237918946e-05,0.000212836019048462,8
"hs_area",0.000659086617353304,0.0473987076041055,0.0139051600912472,0.988905644970874,-0.0922406732004383,0.0935588464351449,8
"hs_curvature.median",-0.0119214305987816,0.0203884919533711,-0.584713701535461,0.558740239590508,-0.0518821405264736,0.0280392793289104,8
"hs_extended.dnbr.median",-0.204340953759379,0.0593560036972831,-3.4426332810666,0.00057607991669606,-0.32067658327228,-0.0880053242464777,8
"hs_flow.accumulation.max",0.140652033471866,0.046166660802065,3.04661483044869,0.00231434060848401,0.0501670410133411,0.23113702593039,8
