"varcomp","proportion","bootstrap_rep"
"Covariates (PR-sq)",0,1
"tailup_de",1.81144099665601e-05,1
"taildown_de",0,1
"euclid_de",0.999981885589893,1
"nugget",0,1
"1 | as.factor(ch_watershed)",1.40582107298688e-13,1
"Covariates (PR-sq)",0.371976685495043,2
"tailup_de",5.99950471710512e-22,2
"taildown_de",0,2
"euclid_de",3.74635240879959e-09,2
"nugget",0,2
"1 | as.factor(ch_watershed)",0.628023310758605,2
"Covariates (PR-sq)",0.394663054828274,3
"tailup_de",1.3546571852429e-10,3
"taildown_de",0,3
"euclid_de",1.09800906480699e-06,3
"nugget",0,3
"1 | as.factor(ch_watershed)",0.605335847027195,3
"Covariates (PR-sq)",0,4
"tailup_de",2.37063231230952e-05,4
"taildown_de",0,4
"euclid_de",0.999961963042031,4
"nugget",0,4
"1 | as.factor(ch_watershed)",1.43306348460954e-05,4
"Covariates (PR-sq)",0.0351486434443357,5
"tailup_de",1.78223073337343e-14,5
"taildown_de",0,5
"euclid_de",0.964142547499584,5
"nugget",0,5
"1 | as.factor(ch_watershed)",0.000708809056062792,5
"Covariates (PR-sq)",0.428317666633715,6
"tailup_de",5.79039971257821e-17,6
"taildown_de",0,6
"euclid_de",6.0476451645014e-06,6
"nugget",0,6
"1 | as.factor(ch_watershed)",0.57167628572112,6
"Covariates (PR-sq)",0.395583017913121,7
"tailup_de",6.51151206907729e-10,7
"taildown_de",0,7
"euclid_de",1.97296804791085e-18,7
"nugget",0,7
"1 | as.factor(ch_watershed)",0.604416981435728,7
"Covariates (PR-sq)",0,8
"tailup_de",0.763421591619737,8
"taildown_de",0,8
"euclid_de",0.236486468166498,8
"nugget",0,8
"1 | as.factor(ch_watershed)",9.1940213764854e-05,8
"Covariates (PR-sq)",0.462076733243228,9
"tailup_de",0.000128238478631271,9
"taildown_de",0,9
"euclid_de",1.40825286708445e-07,9
"nugget",0,9
"1 | as.factor(ch_watershed)",0.537794887452854,9
"Covariates (PR-sq)",0.428415205926412,10
"tailup_de",0.00024302339198655,10
"taildown_de",0,10
"euclid_de",1.15177752779319e-08,10
"nugget",0,10
"1 | as.factor(ch_watershed)",0.571341759163826,10
