"varcomp","proportion","bootstrap_rep"
"Covariates (PR-sq)",0.207350959813029,1
"tailup_de",9.39232032029032e-06,1
"taildown_de",0,1
"euclid_de",0.719588923001996,1
"nugget",0,1
"1 | as.factor(ch_watershed)",0.073050724864655,1
"Covariates (PR-sq)",0.135544449207066,2
"tailup_de",0.0539692615047782,2
"taildown_de",0,2
"euclid_de",0.810483903371256,2
"nugget",0,2
"1 | as.factor(ch_watershed)",2.38591689900998e-06,2
"Covariates (PR-sq)",0.314744140450411,3
"tailup_de",1.2808689102286e-06,3
"taildown_de",0,3
"euclid_de",0.685254578680315,3
"nugget",0,3
"1 | as.factor(ch_watershed)",3.63709118138373e-13,3
"Covariates (PR-sq)",0.217607699111844,4
"tailup_de",3.41788588666381e-06,4
"taildown_de",0,4
"euclid_de",0.782388883001575,4
"nugget",0,4
"1 | as.factor(ch_watershed)",6.95060509652916e-13,4
"Covariates (PR-sq)",0,5
"tailup_de",0.723363397586856,5
"taildown_de",0,5
"euclid_de",0.214033483496644,5
"nugget",0,5
"1 | as.factor(ch_watershed)",0.0626031189164996,5
"Covariates (PR-sq)",0,6
"tailup_de",0.000422932077055831,6
"taildown_de",0,6
"euclid_de",0.995009151857278,6
"nugget",0,6
"1 | as.factor(ch_watershed)",0.00456791606566634,6
"Covariates (PR-sq)",0.271598391788764,7
"tailup_de",1.14699550098506e-09,7
"taildown_de",0,7
"euclid_de",1.45921637016668e-20,7
"nugget",0,7
"1 | as.factor(ch_watershed)",0.72840160706424,7
"Covariates (PR-sq)",0.262490409235846,8
"tailup_de",0.0400904551991905,8
"taildown_de",0,8
"euclid_de",2.55931609371694e-10,8
"nugget",0,8
"1 | as.factor(ch_watershed)",0.697419135309032,8
"Covariates (PR-sq)",0.243051750243927,9
"tailup_de",0.00230155023955962,9
"taildown_de",0,9
"euclid_de",1.97809642017222e-11,9
"nugget",0,9
"1 | as.factor(ch_watershed)",0.754646699496733,9
"Covariates (PR-sq)",0.260978443593745,10
"tailup_de",0.739015388156551,10
"taildown_de",0,10
"euclid_de",6.16821489835397e-06,10
"nugget",0,10
"1 | as.factor(ch_watershed)",3.48059240930484e-11,10
