"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep"
"(Intercept)",-1.65772197082145,0.158686956221068,-10.4464916984863,0,-1.96874268983103,-1.34670125181187,1
"ch_channel.width.over.valley.width",-0.249844178015423,0.108427568785072,-2.30424956323304,0.0212086384321022,-0.462358307765404,-0.0373300482654418,1
"ch_curvature.median",0.196546209926209,0.104274741947472,1.88488800121144,0.0594449604082605,-0.00782852878804374,0.400920948640461,1
"ch_stream.power",0.262454072707927,0.0992324234541381,2.64484191328074,0.00817290902492762,0.0679620966391888,0.456946048776666,1
"ch_stream.power.central.diff",-0.0121972054778326,0.0501191050691463,-0.243364390904523,0.807723126605255,-0.110428846350738,0.086034435395073,1
"hs_area",0.340812640696267,0.0824799024635777,4.13206891032354,3.59512596947997e-05,0.179155002419279,0.502470278973256,1
"hs_aspect.eastness.median",-0.165713430823164,0.0950384225581118,-1.7436466890203,0.0812207166698253,-0.351985316184562,0.0205584545382343,1
"hs_aspect.northness.median",-0.0252239805906408,0.0878202077267888,-0.287222966599137,0.773941602054418,-0.197348424849973,0.146900463668691,1
"hs_bare.earth.mean",-0.0199588251841581,0.0104048622625904,-1.91822098942319,0.0550829958828176,-0.0403519804829352,0.000434330114618988,1
"hs_curvature.median",-0.045993223923578,0.0241858552893179,-1.9016579473165,0.0572158869355359,-0.0933966292259385,0.00141018137878256,1
"hs_extended.dnbr.median",-0.0295946628699973,0.0875041659344873,-0.338208616172106,0.735205983285935,-0.201099676598809,0.141910350858815,1
"hs_flow.accumulation.max",0.219726184464557,0.10274454856024,2.13856781253684,0.0324706866386342,0.0183505696786607,0.421101799250453,1
"hs_ndvi.min.mean",0.175461024562195,0.0871560462289087,2.01318247160226,0.0440954365573178,0.00463831291862629,0.346283736205764,1
"hs_ndvi.range.mean",0.384051640456586,0.120523871344248,3.1865192859565,0.00143995887091464,0.147829193344521,0.620274087568651,1
"hs_slope.median",0.166696665442778,0.0789093063786998,2.11250957704242,0.0346427653974015,0.0120372668954895,0.321356063990066,1
"ws_bare.earth_mean",0.554931825203494,0.253622249116572,2.1880250141163,0.028667780291229,0.0578413512569678,1.05202229915002,1
