"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep"
"(Intercept)",1.53552055773712,0.0977973652854276,15.7010421830446,0,1.34384124399478,1.72719987147947,1
"ch_change.in.slope.over.width",-0.0295401711642764,0.0108227491029804,-2.72945172092565,0.00634397375598028,-0.0507523696198312,-0.00832797270872162,1
"ch_channel.width.over.valley.width",0.289662107899579,0.196578314682901,1.47352015082045,0.140610834395128,-0.095624309020489,0.674948524819646,1
"ch_slope.median",-0.389637200600185,0.172320088416786,-2.26112465574983,0.0237515390013949,-0.727378367709844,-0.0518960334905268,1
"ch_slope.over.width.central.diff",-0.0377414646878214,0.0148070301227416,-2.54888822234889,0.0108066931200321,-0.0667627104463947,-0.00872021892924815,1
"ch_stream.power",0.461727366678459,0.115561390032779,3.99551585999,6.45535351464499e-05,0.235231204210826,0.688223529146091,1
"ch_stream.power.central.diff",0.0991201025047666,0.0499202540124453,1.98556887310821,0.0470812155643328,0.00127820254128277,0.19696200246825,1
"hs_bare.earth.mean",-0.00561499209231063,0.01972774741948,-0.284624086719913,0.775932155660197,-0.0442806665305945,0.0330506823459732,1
"hs_curvature.median",-0.117786505158423,0.0480117762057144,-2.45328364136639,0.0141558668220141,-0.211887857355421,-0.0236851529614259,1
"hs_dnbr.median",-0.17425935319235,0.090022528649707,-1.93573048664766,0.0529007185254551,-0.350700267143001,0.00218156075830064,1
"hs_drainage_density",-0.00483437610300432,0.0101842827560835,-0.474689894103396,0.635008022111664,-0.0247952035133003,0.0151264513072917,1
"hs_eastness.median",-0.312155020874838,0.0935954103874053,-3.33515307623293,0.000852524556608447,-0.495598654352398,-0.128711387397278,1
"hs_flow.accumulation.max",-0.109112150609487,0.165184674383784,-0.660546452124123,0.508903219174925,-0.43286816319968,0.214643861980706,1
"hs_hillslope.length",0.199726486352411,0.13485837049421,1.48100919223984,0.138604123997274,-0.064591062829999,0.464044035534821,1
"hs_northness.median",-0.412808018265867,0.115581081782686,-3.57158811718015,0.000354823125645387,-0.639342775854109,-0.186273260677625,1
