"varcomp","proportion","bootstrap_rep"
"Covariates (PR-sq)",0,1
"tailup_de",0.000346194681202544,1
"taildown_de",0,1
"euclid_de",0.999651919686747,1
"nugget",1.88563205069646e-06,1
"Covariates (PR-sq)",0.0925104854688638,2
"tailup_de",0.907489514530526,2
"taildown_de",0,2
"euclid_de",6.09350538355243e-13,2
"nugget",7.87656210528986e-16,2
"Covariates (PR-sq)",0.270868480000649,3
"tailup_de",0.000138898397630067,3
"taildown_de",0,3
"euclid_de",0.728991714834243,3
"nugget",9.06767478291703e-07,3
"Covariates (PR-sq)",0,4
"tailup_de",0.999569745987601,4
"taildown_de",0,4
"euclid_de",0.000341864843528305,4
"nugget",8.8389168870946e-05,4
"Covariates (PR-sq)",0.017962497704615,5
"tailup_de",0.17419285259226,5
"taildown_de",0,5
"euclid_de",0.807789665572889,5
"nugget",5.49841302360232e-05,5
"Covariates (PR-sq)",0,6
"tailup_de",0.694396874671493,6
"taildown_de",0,6
"euclid_de",0.30550313829906,6
"nugget",9.99870294465666e-05,6
"Covariates (PR-sq)",0,7
"tailup_de",0.999978167988168,7
"taildown_de",0,7
"euclid_de",3.7966503854085e-08,7
"nugget",2.17940453284338e-05,7
"Covariates (PR-sq)",0.156954124387758,8
"tailup_de",0.444166150643252,8
"taildown_de",0,8
"euclid_de",0.39886180763622,8
"nugget",1.79173327689904e-05,8
"Covariates (PR-sq)",0.305646724359338,9
"tailup_de",0.0070514353110773,9
"taildown_de",0,9
"euclid_de",0.687297169739149,9
"nugget",4.67059043612589e-06,9
"Covariates (PR-sq)",0.34237003951526,10
"tailup_de",0.657598138723948,10
"taildown_de",0,10
"euclid_de",6.52355909721973e-12,10
"nugget",3.18217542679092e-05,10
