"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep"
"(Intercept)",297.617341654592,30.4383017072323,9.77772493738957,0,237.959366557853,357.275316751332,1
"ch_change.in.slope.over.width",-5.0961600612446,3.08506922385275,-1.65187867482608,0.0985592861432127,-11.1427846298089,0.950464507319738,1
"ch_channel.width.over.valley.width",-33.3720832634199,58.1891668143148,-0.573510244095988,0.566299264967579,-147.42075450987,80.6765879830305,1
"ch_slope.median",-146.128674064901,50.2885749101968,-2.90580264654252,0.0036631240889593,-244.692469722732,-47.5648784070712,1
"ch_slope.over.width.central.diff",-75.2631337095716,38.7115374900456,-1.94420419826841,0.051870831728027,-151.136352976233,0.610085557089732,1
"ch_stream.power",22.846896831609,30.1383232964135,0.758067945814614,0.448410307823097,-36.2231313837861,81.916925047004,1
"ch_stream.power.central.diff",98.0098977851654,23.004837148754,4.26040389468585,2.04057812769332e-05,52.9212455033983,143.098550066932,1
"hs_bare.earth.mean",4.24899523390563,6.18649023095085,0.686818385754174,0.492197182246636,-7.87630280946691,16.3742932772782,1
"hs_curvature.median",-22.7783027029638,11.8163403445732,-1.92769521177723,0.0538930480325615,-45.9379042073949,0.38129880146726,1
"hs_dnbr.median",-33.2832625570754,22.1129563423241,-1.50514757239273,0.132286140607827,-76.6238605797372,10.0573354655864,1
"hs_drainage_density",1.14662486275004,2.88564358277688,0.397354985069442,0.691105705491153,-4.50913263171178,6.80238235721186,1
"hs_eastness.median",-33.0978144296952,26.4142834643936,-1.25302715382422,0.21019582479448,-84.8688586973387,18.6732298379482,1
"hs_flow.accumulation.max",-22.3093585586507,42.538621557051,-0.52444949417861,0.599965939446355,-105.68352476245,61.0648076451484,1
"hs_hillslope.length",43.0538800796283,30.0707895455823,1.43175090279441,0.152215122876763,-15.8837844163966,101.991544575653,1
"hs_northness.median",44.5868109110729,33.2496434223361,1.34097109989218,0.179929835911643,-20.5812926955049,109.754914517651,1
"hs_slope.median",52.9293298229675,33.0867033431133,1.59971603317755,0.109661593385317,-11.9194170966956,117.77807674263,1
"(Intercept)",499.643948315132,75.5015198334417,6.61766742467382,3.64910324179846e-11,351.663688663549,647.624207966714,2
"ch_change.in.slope.over.width",3.81119188666657,4.46311600584979,0.853930725007205,0.393143374287315,-4.93635474362327,12.5587385169564,2
"ch_channel.width.over.valley.width",191.907985799842,74.2346403355869,2.58515411312425,0.00973354796543013,46.4107643368074,337.405207262877,2
"ch_slope.median",-99.0698506164793,81.465025006421,-1.21610286879149,0.223945737857097,-258.738365628719,60.5986643957607,2
"ch_slope.over.width.central.diff",-5.37906062267964,5.54339127785122,-0.970355573522625,0.33186928518379,-16.2439078794815,5.48578663412222,2
"ch_stream.power",27.6215640709732,51.5770257229361,0.535540072034242,0.592276455817503,-73.4675487756776,128.710676917624,2
"ch_stream.power.central.diff",22.0116736428295,20.3526475765133,1.08151401728346,0.279468528851099,-17.8787825971731,61.902129882832,2
"hs_bare.earth.mean",18.160411735181,8.22245052375755,2.20863739863307,0.0271998718875115,2.04470484395366,34.2761186264082,2
"hs_curvature.median",-44.9961021414667,14.9417013747008,-3.011444347138,0.0026000805976012,-74.2812987036328,-15.7109055793006,2
"hs_dnbr.median",-200.590387239859,34.473862344607,-5.81862238802027,5.93346061172895e-09,-268.157915843281,-133.022858636438,2
"hs_drainage_density",-2.23611460656758,6.94884074113335,-0.321796784509825,0.747606650430698,-15.8555921934936,11.3833629803584,2
"hs_eastness.median",-58.9166553126034,26.1739805834543,-2.25096275000094,0.0243878967650257,-110.216714588224,-7.61659603698235,2
"hs_flow.accumulation.max",-48.5995564286863,47.4502431287399,-1.02422144174959,0.305730693391063,-141.600324018686,44.401211161313,2
"hs_hillslope.length",39.4045763276661,37.4334707618145,1.05265623319819,0.292498574503353,-33.9636781818234,112.772830837156,2
"hs_northness.median",43.7947792074451,37.9285935253157,1.1546639391786,0.248228072081164,-30.5438980864326,118.133456501323,2
"hs_slope.median",109.796418232045,40.7999375024755,2.69109280437949,0.00712183801912269,29.8300101557076,189.762826308381,2
"(Intercept)",319.890209553339,37.7120307014582,8.48244455690289,0,245.975987594612,393.804431512066,3
"ch_change.in.slope.over.width",-6.58807593937896,4.10430996639569,-1.60516042728723,0.108458503780842,-14.6323756549033,1.4562237761454,3
"ch_channel.width.over.valley.width",-76.3987508458009,76.5292359428021,-0.998294964069696,0.318136348865939,-226.393297058061,73.5957953664594,3
"ch_slope.median",-167.033463578042,65.4024973044957,-2.55393097300829,0.0106514370225106,-295.220002793832,-38.846924362253,3
"ch_slope.over.width.central.diff",-60.3360659546066,57.5465704691383,-1.04847370508316,0.294420410969464,-173.125271507914,52.4531395987006,3
"ch_stream.power",64.7327164254537,40.0040351498538,1.61815467322152,0.105629268389873,-13.6737517045341,143.139184555442,3
"ch_stream.power.central.diff",90.6785060091369,33.0874310172885,2.74057257457542,0.00613322353446177,25.828332874298,155.528679143976,3
"hs_bare.earth.mean",11.774295432162,10.5265214456526,1.11853621283645,0.263338049227944,-8.85730748380563,32.4058983481295,3
"hs_curvature.median",-16.9198519657466,17.690134613179,-0.956456936915644,0.338841430792516,-51.5918786892427,17.7521747577496,3
"hs_dnbr.median",-9.04515819384395,29.507500510024,-0.306537593408537,0.759195361128647,-66.8787964672883,48.7884800796004,3
"hs_drainage_density",9.42876853573068,7.8467857156011,1.20160902533432,0.229515043048997,-5.95064886125083,24.8081859327122,3
"hs_eastness.median",-57.4665205090096,35.3412015001516,-1.62604886279158,0.103939261169306,-126.73400261968,11.8009616016605,3
"hs_flow.accumulation.max",-72.5993703639585,62.472972868121,-1.1620924542396,0.245197912177589,-195.044147192624,49.8454064647067,3
"hs_hillslope.length",103.347917051377,50.8925187405838,2.03070941680399,0.0422844805308038,3.60041323730297,203.095420865451,3
"hs_northness.median",-66.6487445912119,45.6324174144837,-1.46055695418971,0.144137066722697,-156.086639251098,22.7891500686746,3
"hs_slope.median",66.2608105201676,40.1110368163914,1.65193462396589,0.0985478788384491,-12.3553770225196,144.876998062855,3
