"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep"
"(Intercept)",-2.92312675912522,0.123174038971502,-23.7316790415676,0,-3.1645434393397,-2.68171007891074,1
"ch_central.slope.difference",-0.184957910909248,0.096157091388175,-1.92349735457986,0.0544176184083405,-0.373422346888198,0.00350652506970145,1
"ch_curvature.median",0.41914511405265,0.133475623201911,3.14023717588193,0.00168811104652566,0.157537699762866,0.680752528342435,1
"ch_stream.power",0.304388385291108,0.14225713754578,2.13970553985843,0.0323785710713831,0.0255695191576186,0.583207251424598,1
"ch_valley_width",-0.00110376134328785,0.157180061320014,-0.00702227327065752,0.994397082624452,-0.309171020618313,0.306963497931738,1
"hs_area",0.137975370091634,0.115650219847562,1.19304027500768,0.232853600181234,-0.0886948956137276,0.364645635796995,1
"hs_bare.earth.mean",-0.146310561506934,0.0364153092580647,-4.0178310849998,5.87362757193954e-05,-0.217683256138628,-0.0749378668752387,1
"hs_curvature.median",-0.0250632285579918,0.0389736929509043,-0.643080669557393,0.520171756816974,-0.101450263086287,0.0513238059703032,1
"hs_eastness.median",-0.329056552271016,0.120580899679669,-2.728927658901,0.00635406411670414,-0.565390772866604,-0.0927223316754273,1
"hs_extended.dnbr.median",-0.105297117712868,0.137712390946659,-0.764616146659263,0.444500151426377,-0.37520844419322,0.164614208767483,1
"hs_flow.accumulation.max",-0.470798920147006,0.146238777977531,-3.21938494466456,0.00128465902238273,-0.757421658126115,-0.184176182167897,1
"hs_ndvi.min",0.204152060844546,0.108039698486856,1.88960228234423,0.0588111717029516,-0.0076018570902584,0.41590597877935,1
"hs_ndvi.range",0.115525687948236,0.168818849675843,0.68431746911001,0.493774718252816,-0.215353177327897,0.446404553224369,1
"hs_northness.median",-0.323192496129939,0.125925618984008,-2.56653490161508,0.0102720287329017,-0.570002174069508,-0.0763828181903703,1
"hs_slope.median",0.148561924112838,0.112306185632244,1.32282939961398,0.185892117914409,-0.0715541549674304,0.368678003193107,1
"ws_bare.earth_mean",0.283829865139429,0.230511977894669,1.23130202487405,0.21820992485678,-0.167965309539215,0.735625039818073,1
"ws_dnbr.extended_mean",0.672387173696858,0.216436021299264,3.10663248040008,0.00189231496577946,0.248180366993157,1.09659398040056,1
"ws_Kw",0.11085461737004,0.200278368005023,0.553502699638833,0.579919232512627,-0.281683770802264,0.503393005542343,1
"ws_ndvi.mean_mean",-0.136680866110985,0.0910278877648637,-1.50152738316909,0.133219209581188,-0.315092247718872,0.0417305154969019,1
"(Intercept)",-2.86015756242081,0.490685250123341,-5.82890470357906,5.57923507393809e-09,-3.82188298040759,-1.89843214443403,2
"ch_central.slope.difference",-0.110500250603694,0.103654739104527,-1.06604147150729,0.286404895254671,-0.313659806075463,0.0926593048680742,2
"ch_curvature.median",0.349951163964506,0.128521198914404,2.72290615805395,0.00647104361414774,0.0980542428423669,0.601848085086645,2
"ch_stream.power",0.214853413257422,0.1583006264871,1.35724929221888,0.174702013329425,-0.0954101133874214,0.525116939902266,2
"ch_valley_width",-0.0588716003767727,0.164275704130594,-0.358370707880039,0.720065909629341,-0.380846064007694,0.263102863254149,2
"hs_area",0.025362186098346,0.114031205193982,0.222414435199572,0.823991275563225,-0.198134869195555,0.248859241392247,2
"hs_bare.earth.mean",-0.212875563581315,0.043754806887596,-4.8651926205087,1.14345390866966e-06,-0.298633409231508,-0.127117717931122,2
"hs_curvature.median",-0.0484406267825234,0.0563394342743605,-0.859799666191683,0.389899483322556,-0.158863888869631,0.0619826353045846,2
"hs_eastness.median",-0.0746118666230663,0.101170791855786,-0.737484260570206,0.460827911265941,-0.272902974947805,0.123679241701672,2
"hs_extended.dnbr.median",0.157473419012986,0.135075593233183,1.16581697139866,0.243688453964176,-0.107269878914434,0.422216716940406,2
"hs_flow.accumulation.max",-0.410608995769029,0.138036228049309,-2.97464659511234,0.00293326264228511,-0.681155031307433,-0.140062960230625,2
"hs_ndvi.min",-0.00689485972245531,0.119012988593401,-0.0579336743320603,0.953801459919333,-0.240156031057998,0.226366311613087,2
"hs_ndvi.range",0.0320350872284856,0.17352619410463,0.184612400414716,0.853533059007734,-0.308070003590895,0.372140178047866,2
"hs_northness.median",-0.0522288825970833,0.117537059303544,-0.444360977776381,0.656781621368471,-0.282597285680778,0.178139520486611,2
"hs_slope.median",-0.128646104804148,0.112543961239324,-1.14307425638398,0.253007761761108,-0.349228215510695,0.0919360059023988,2
"ws_bare.earth_mean",-0.473152926007565,0.457647831537237,-1.03387996927298,0.301192280327296,-1.3701261934234,0.423820341408274,2
"ws_dnbr.extended_mean",-0.655393581119645,0.424346977238374,-1.54447566796613,0.122473141407237,-1.4870983734553,0.176311211216007,2
"ws_Kw",0.304084566427094,0.18302984998743,1.66139329977038,0.09663448258893,-0.0546473476440382,0.662816480498225,2
"ws_ndvi.mean_mean",0.164509326090525,0.183210444545969,0.897925478529409,0.369225280291551,-0.194576546811147,0.523595198992196,2
"(Intercept)",-2.95589699683743,0.566468379330214,-5.21811473454608,1.80753489287255e-07,-4.06615461870542,-1.84563937496943,3
"ch_central.slope.difference",0.14694558938018,0.0893591705946582,1.64443770462843,0.100085822181267,-0.0281951666737204,0.322086345434081,3
"ch_curvature.median",0.273036619002472,0.12347879225289,2.21120253948776,0.0270218146161929,0.0310226333323041,0.51505060467264,3
"ch_stream.power",0.267573184873099,0.148934702878235,1.79658051281614,0.0724022403725002,-0.0243334688164157,0.559479838562614,3
"ch_valley_width",-0.104362621167133,0.136445824944675,-0.764864892051107,0.444352001546095,-0.371791523899554,0.163066281565287,3
"hs_area",0.0935112846328387,0.112014974841474,0.834810566758398,0.403824375390188,-0.126034031785611,0.313056601051288,3
"hs_bare.earth.mean",-0.188809748513873,0.0414216367277332,-4.55823968895606,5.15841479864498e-06,-0.269994664680932,-0.107624832346815,3
"hs_curvature.median",0.129241923150263,0.054871499045713,2.35535615753075,0.018504959878094,0.0216957612429415,0.236788085057584,3
"hs_eastness.median",-0.24191743345003,0.146114380573241,-1.65567162178652,0.097788337219292,-0.528296356996961,0.0444614900969012,3
"hs_extended.dnbr.median",-0.0843539395294571,0.137309189727729,-0.614335717053775,0.538993504981056,-0.353475006142183,0.184767127083269,3
"hs_flow.accumulation.max",-0.0968225655750344,0.130921054520697,-0.739549233921945,0.459573555138322,-0.353423117253605,0.159777986103536,3
"hs_ndvi.min",0.14670391657725,0.112498254285617,1.30405504964362,0.192214813493451,-0.0737886101461868,0.367196443300688,3
"hs_ndvi.range",-0.314008581231649,0.150521670971303,-2.08613536645839,0.036966362900875,-0.609025635228192,-0.0189915272351067,3
"hs_northness.median",0.0915321811032791,0.136104468695733,0.672514150199599,0.501256434902346,-0.175227675675318,0.358292037881876,3
"hs_slope.median",0.090709796212846,0.119220672374765,0.760856271030778,0.44674291987695,-0.142958427854343,0.324378020280035,3
"ws_bare.earth_mean",1.20533299615271,0.513125442136244,2.34900259697641,0.0188237755204048,0.199625610014475,2.21104038229094,3
"ws_dnbr.extended_mean",-0.107601371924107,0.453069254297411,-0.237494314397845,0.812273329503829,-0.995600792849451,0.780398049001238,3
"ws_Kw",0.408819899114039,0.21532805875065,1.89859092905051,0.0576182819985931,-0.0132153408981593,0.830855139126238,3
"ws_ndvi.mean_mean",0.490383099461878,0.183546275224083,2.67171370741897,0.00754650024075088,0.130639010526199,0.850127188397558,3
"(Intercept)",-2.99839512074495,0.536547228525343,-5.58831536412144,2.29282981489831e-08,-4.05000836465941,-1.9467818768305,4
"ch_central.slope.difference",0.0193646325676911,0.100586004320752,0.192518160935596,0.847336343611836,-0.177780313249773,0.216509578385156,4
"ch_curvature.median",-0.0898038125838872,0.140936444619045,-0.637193685612185,0.523998690183486,-0.36603416814634,0.186426542978566,4
"ch_stream.power",-0.285184373350619,0.149976593894023,-1.90152587111117,0.0572331671439401,-0.579133095906894,0.00876434920565622,4
"ch_valley_width",0.101416204499667,0.140970940247068,0.719412130769101,0.471887024716984,-0.174881761251335,0.377714170250669,4
"hs_area",0.209222472598472,0.112935591060931,1.85258226067629,0.0639422569943955,-0.0121272184536958,0.43057216365064,4
"hs_bare.earth.mean",-0.07094167951134,0.042814136978355,-1.65696857435676,0.0975258287748706,-0.15485584601808,0.0129724869954004,4
"hs_curvature.median",0.00535833197666028,0.0440090643569045,0.121755189640146,0.903092903317594,-0.0808978491561779,0.0916145131094984,4
"hs_eastness.median",-0.344588583844264,0.152575589561809,-2.25847781308864,0.0239158862890687,-0.643631244305374,-0.0455459233831537,4
"hs_extended.dnbr.median",-0.14680211888003,0.158308184691958,-0.927318566413248,0.353761157326732,-0.457080459334182,0.163476221574122,4
"hs_flow.accumulation.max",-0.111012973824577,0.148599835273372,-0.747059871367637,0.455027421561734,-0.40226329906897,0.180237351419816,4
"hs_ndvi.min",0.464893782533973,0.125648468257039,3.6999558290113,0.000215636995950508,0.218627310037552,0.711160255030395,4
"hs_ndvi.range",0.201284803093715,0.179112308051281,1.12379101851608,0.261101692587335,-0.14976886987464,0.55233847606207,4
"hs_northness.median",-0.036337567512388,0.136737983164864,-0.26574596663881,0.790434859546235,-0.304339089834165,0.231663954809389,4
"hs_slope.median",0.154261385667301,0.119538426270274,1.29047529301181,0.196885684816065,-0.0800296245910314,0.388552395925634,4
"ws_bare.earth_mean",1.19669017201684,0.485599782927736,2.46435483311351,0.0137260152054555,0.244932086578008,2.14844825745567,4
"ws_dnbr.extended_mean",0.90152846529564,0.480511849232592,1.87618362946811,0.060630069198949,-0.0402574533449805,1.84331438393626,4
"ws_Kw",0.33933209104321,0.16696264536335,2.03238329330938,0.0421148680700267,0.0120913193675112,0.666572862718909,4
"ws_ndvi.mean_mean",0.185378547207592,0.178953751651231,1.035901988626,0.300247869791659,-0.165364360927145,0.536121455342329,4
"(Intercept)",-2.88359494001615,0.537227422072975,-5.36754979648909,7.98134762725056e-08,-3.93654133878648,-1.83064854124583,5
"ch_central.slope.difference",0.0180608559568533,0.0975031843379095,0.185233498572325,0.853045895643778,-0.173041873723419,0.209163585637126,5
"ch_curvature.median",0.145131056590049,0.172831988952637,0.839723349071804,0.401063519294591,-0.193613417133543,0.483875530313641,5
"ch_stream.power",0.108373352139246,0.161669327879989,0.670339597253072,0.502641330307934,-0.208492707910328,0.425239412188821,5
"ch_valley_width",0.323914120289117,0.199500328586077,1.62362700144306,0.104455439119705,-0.0670993386434995,0.714927579221734,5
"hs_area",0.072217447544328,0.114916876580657,0.62843204317027,0.529720951427863,-0.153015491769594,0.29745038685825,5
"hs_bare.earth.mean",-0.153539221602875,0.0397946961020805,-3.8582835564071,0.000114186126391802,-0.231535392738669,-0.0755430504670807,5
"hs_curvature.median",-0.0296086477240422,0.0429054568649902,-0.690090489356894,0.490137283688317,-0.11370179791966,0.0544845024715754,5
"hs_eastness.median",-0.3769774699133,0.144307120849894,-2.61232756701886,0.00899280440966255,-0.65981422949176,-0.0941407103348388,5
"hs_extended.dnbr.median",0.138670961018685,0.132597454861112,1.04580409302679,0.295651491056583,-0.121215274950769,0.398557196988139,5
"hs_flow.accumulation.max",-0.12688686427523,0.129763149617652,-0.97783434394975,0.328156261956176,-0.381217964046309,0.12744423549585,5
"hs_ndvi.min",0.327710111632003,0.109850236028063,2.98324449251328,0.00285210060730989,0.112407605323775,0.54301261794023,5
"hs_ndvi.range",-0.290713554250494,0.157267454487349,-1.84852966049552,0.0645257576637845,-0.598952100985989,0.0175249924850022,5
"hs_northness.median",-0.203516359182268,0.140908916221967,-1.4443114363443,0.148651390253164,-0.479692760077896,0.0726600417133595,5
"hs_slope.median",0.117221006550866,0.10799049993568,1.08547517254466,0.277711254037226,-0.0944364839955415,0.328878497097274,5
"ws_bare.earth_mean",0.860058040513393,0.509482138513737,1.68810243872799,0.0913915664064355,-0.138508601739978,1.85862468276676,5
"ws_dnbr.extended_mean",-0.0257108897396399,0.465381572187296,-0.0552469012015206,0.955941764210414,-0.937842010295366,0.886420230816087,5
"ws_Kw",0.361320934741184,0.183026409736759,1.97414643745054,0.0483650943720511,0.00259576343746643,0.720046106044902,5
"ws_ndvi.mean_mean",0.42006459844447,0.188650723779933,2.2266789653799,0.0259687372216271,0.0503159741783873,0.789813222710552,5
"(Intercept)",-2.78938202237708,0.108469955160081,-25.7157110303999,0,-3.00197922789551,-2.57678481685864,6
"ch_central.slope.difference",-0.174106778071353,0.086674622533759,-2.00873996311366,0.0445647182031796,-0.343985916611125,-0.00422763953158198,6
"ch_curvature.median",0.202811619959968,0.134521293534782,1.50765439902293,0.131643002198714,-0.0608452705219451,0.466468510441882,6
"ch_stream.power",-0.102809380881099,0.130653566953637,-0.786885373880233,0.431348970246687,-0.358885666561921,0.153266904799723,6
"ch_valley_width",0.642582349564459,0.1337073053204,4.80588811527279,1.54066045121581e-06,0.380520846666575,0.904643852462343,6
"hs_area",0.30464411423668,0.109691618163055,2.77727796652457,0.00548162777412498,0.0896524932311715,0.519635735242188,6
"hs_bare.earth.mean",-0.0985065077954856,0.0328164355948312,-3.00174305984045,0.00268438644205338,-0.162825539662333,-0.0341874759286383,6
"hs_curvature.median",0.123824905839102,0.0439841200191668,2.81521844213647,0.00487440887907753,0.0376176147098484,0.210032196968357,6
"hs_eastness.median",-0.243968071324138,0.0942340455666333,-2.58895890394122,0.00962665824155917,-0.428663406752246,-0.0592727358960305,6
"hs_extended.dnbr.median",0.155945901917127,0.142882666697334,1.09142631168457,0.275085339936537,-0.124098978824689,0.435990782658943,6
"hs_flow.accumulation.max",0.206956842667382,0.120747138561664,1.7139689199483,0.0865344340658043,-0.0297032001497457,0.44361688548451,6
"hs_ndvi.min",0.285061982900929,0.0893656944591034,3.18983682302589,0.00142353146329066,0.109908440307675,0.460215525494182,6
"hs_ndvi.range",-0.242549467806519,0.143905121349816,-1.68548183366532,0.0918956468320899,-0.524598322843024,0.0394993872299864,6
"hs_northness.median",0.168096312406502,0.100713140293562,1.6690603819574,0.0951054138261864,-0.0292978153388095,0.365490440151813,6
"hs_slope.median",0.11016801755144,0.104837658000718,1.0508439395955,0.293330271381789,-0.0953100163534944,0.315646051456374,6
"ws_bare.earth_mean",0.234386435529616,0.201041877752046,1.16585876609597,0.243671552687667,-0.159648404248698,0.62842127530793,6
"ws_dnbr.extended_mean",0.68449557207749,0.193269712576157,3.54165980252994,0.000397617928074911,0.305693896125814,1.06329724802917,6
"ws_Kw",0.521429671581613,0.190397439352231,2.7386380476314,0.0061694253450435,0.14825754770259,0.894601795460635,6
"ws_ndvi.mean_mean",-0.112030146780669,0.0732486150733723,-1.52945071614596,0.126152747872597,-0.255594794241916,0.0315345006805787,6
"(Intercept)",-2.83906016685644,0.108965910902594,-26.0545719605311,0,-3.05262942776812,-2.62549090594476,7
"ch_central.slope.difference",-0.0808769988686725,0.0885187265448032,-0.913671061769479,0.360889714157584,-0.254370514853836,0.0926165171164913,7
"ch_curvature.median",0.149230486046185,0.134888543447482,1.10632439369684,0.268586137113435,-0.115146201037946,0.413607173130316,7
"ch_stream.power",-0.134195957251426,0.118354710772926,-1.13384550876807,0.256859357727135,-0.366166927767015,0.0977750132641629,7
"ch_valley_width",0.585948736473133,0.129783801544632,4.5148063895449,6.33746371336841e-06,0.33157715966896,0.840320313277305,7
"hs_area",0.200941513176106,0.11470957442536,1.75174142335308,0.0798182806100025,-0.0238851213795168,0.425768147731729,7
"hs_bare.earth.mean",-0.162179235873698,0.0409338284015156,-3.96198553145089,7.43290456848289e-05,-0.242408065290012,-0.0819504064573849,7
"hs_curvature.median",0.115173238238238,0.036024770316034,3.19705683694468,0.00138837566871541,0.0445659858674842,0.185780490608993,7
"hs_eastness.median",-0.103160002021027,0.10460904027858,-0.986148058966087,0.32406046323019,-0.308189953424343,0.10186994938229,7
"hs_extended.dnbr.median",0.0551065180058704,0.123699979644435,0.445485263330433,0.655969107190917,-0.18734098698556,0.297554022997301,7
"hs_flow.accumulation.max",0.128026860270794,0.120384081094401,1.06348662636217,0.287561326854737,-0.107921602986181,0.363975323527769,7
"hs_ndvi.min",0.279638440844794,0.089184731977838,3.1354967901264,0.00171563305858324,0.104839578197374,0.454437303492214,7
"hs_ndvi.range",-0.208601509911048,0.132465041043658,-1.57476650644978,0.115310350158021,-0.468228219567238,0.0510251997451422,7
"hs_northness.median",0.16753908117667,0.0925653621517911,1.80995436394377,0.0703028645075672,-0.0138856948567477,0.348963857210088,7
"hs_slope.median",-0.153364317454679,0.104974110305948,-1.4609727770752,0.144022912419187,-0.359109792963472,0.0523811580541141,7
"ws_bare.earth_mean",0.337582976940465,0.182239090043389,1.85241803424331,0.0639658176083202,-0.0195990761199302,0.69476503000086,7
"ws_dnbr.extended_mean",0.427210021207493,0.186077053453268,2.29587696752078,0.021682917027263,0.0625056980897524,0.791914344325234,7
"ws_Kw",0.479595329082787,0.164209698985443,2.92062729574398,0.00349327454153614,0.157750233159156,0.801440425006417,7
"ws_ndvi.mean_mean",-0.216021203544891,0.0757355621362023,-2.85230871009316,0.0043402926611662,-0.364460177680743,-0.0675822294090394,7
"(Intercept)",-3.055592423236,0.779838519539213,-3.91823736155208,8.91988483131545e-05,-4.5840478352899,-1.52713701118211,8
"ch_central.slope.difference",-0.135714719372447,0.0949676754711409,-1.42906224353874,0.152986344214031,-0.321847942991372,0.0504185042464766,8
"ch_curvature.median",0.364691952997366,0.138318479383398,2.63661048489765,0.00837389254575527,0.0935927150095602,0.635791190985171,8
"ch_stream.power",0.218249052483977,0.168028058111758,1.29888457283019,0.193983544770019,-0.111079889807273,0.547577994775227,8
"ch_valley_width",0.231486107162062,0.150641620744069,1.53666766208884,0.124374713973412,-0.0637660440690552,0.526738258393179,8
"hs_area",0.125960945571895,0.130600778774949,0.96447315822634,0.334808759377021,-0.130011877179889,0.381933768323679,8
"hs_bare.earth.mean",-0.174525762209021,0.0488067201507939,-3.57585516235887,0.000349084892953044,-0.270185175908103,-0.0788663485099398,8
"hs_curvature.median",0.033706767984486,0.065849122605799,0.511878771510276,0.608735856155505,-0.0953551407364424,0.162768676705414,8
"hs_eastness.median",-0.0373843208806801,0.127806460838188,-0.292507285120831,0.769898790613053,-0.287880381115057,0.213111739353697,8
"hs_extended.dnbr.median",0.342530129423155,0.137670249326608,2.48804757090646,0.0128446550664623,0.0727013990003532,0.612358859845957,8
"hs_flow.accumulation.max",0.0644029336140404,0.139121698616954,0.462925152972449,0.643418017447225,-0.208270585143225,0.337076452371306,8
"hs_ndvi.min",0.25050124728899,0.117100447605385,2.1391997418588,0.0324194950949388,0.0209885874089154,0.480013907169065,8
"hs_ndvi.range",-0.114398013286435,0.175819615162143,-0.650655577768929,0.515268844856339,-0.458998126779928,0.230202100207058,8
"hs_northness.median",0.00491087153149666,0.115392628024116,0.0425579312611748,0.966053931075623,-0.221254523477199,0.231076266540192,8
"hs_slope.median",0.00429114150213283,0.121424311984963,0.0353400520207538,0.971808586370098,-0.233696136835949,0.242278419840215,8
"ws_bare.earth_mean",-0.0462472168362019,0.588751897824834,-0.0785512828188987,0.937389538415625,-1.20017973240248,1.10768529873008,8
"ws_dnbr.extended_mean",-0.409391419734355,0.496473178417936,-0.824599268461842,0.409599136861376,-1.38246096872364,0.563678129254927,8
"ws_Kw",0.0929733800629773,0.177159000514068,0.524801899949725,0.599720910622227,-0.25425188048171,0.440198640607664,8
"ws_ndvi.mean_mean",0.709880881797901,0.201442490655498,3.52398781154827,0.000425103803273652,0.315060855157079,1.10470090843872,8
"(Intercept)",-3.05291434516621,0.754220718691949,-4.04777311137899,5.17072318995115e-05,-4.53115979019635,-1.57466890013607,9
"ch_central.slope.difference",-0.0272566624362669,0.100571250541334,-0.271018430113532,0.786376857376285,-0.224372691377435,0.169859366504901,9
"ch_curvature.median",0.341712023401099,0.150356833005058,2.27267372271404,0.02304584930871,0.0470180458816821,0.636406000920516,9
"ch_stream.power",0.0607825317963227,0.165738216111087,0.366738180381902,0.713814324083798,-0.264058402643325,0.38562346623597,9
"ch_valley_width",0.118028926671755,0.158500255449268,0.744660797783592,0.456476803734365,-0.192625865549209,0.42868371889272,9
"hs_area",0.0523298279682972,0.118696579089778,0.440870565685948,0.659306703741604,-0.180311192135777,0.284970848072372,9
"hs_bare.earth.mean",-0.0413265286402859,0.0353787109949,-1.16811855147134,0.242758948204872,-0.110667528009741,0.0280144707291693,9
"hs_curvature.median",0.112440617165673,0.0587577089146409,1.91363174709584,0.0556672256169986,-0.00272237612111129,0.227603610452457,9
"hs_eastness.median",-0.0588141647366472,0.135019050213465,-0.435599010981503,0.663127688487821,-0.323446640381844,0.205818310908549,9
"hs_extended.dnbr.median",-0.311887051119061,0.159007142101826,-1.96146567378296,0.0498247254661848,-0.623535322923282,-0.000238779314839788,9
"hs_flow.accumulation.max",0.0860808517433364,0.156384737794049,0.550442792292818,0.58201570477348,-0.220427602064739,0.392589305551412,9
"hs_ndvi.min",0.207377542445941,0.113673557791488,1.82432525624239,0.0681029143511078,-0.0154185368199088,0.43017362171179,9
"hs_ndvi.range",-0.256105415827654,0.158849052908738,-1.61225648587777,0.106906138071207,-0.567443838507078,0.0552330068517705,9
"hs_northness.median",-0.18497212620606,0.133405156571709,-1.38654405091629,0.165580838962545,-0.446441428438538,0.0764971760264171,9
"hs_slope.median",0.168455434906278,0.112173458610004,1.50174058100456,0.133164119103564,-0.0514005039906236,0.388311373803179,9
"ws_bare.earth_mean",1.17468879048502,0.479811458500766,2.44822996548579,0.0143559995276255,0.234275612453882,2.11510196851615,9
"ws_dnbr.extended_mean",0.498419297863193,0.440248045447723,1.13213290329617,0.257578563542644,-0.364451015478496,1.36128961120488,9
"ws_Kw",0.285096379055781,0.212344309648045,1.34261369908297,0.179397092206919,-0.131090820176408,0.701283578287969,9
"ws_ndvi.mean_mean",0.740431335130164,0.203025434276862,3.64698806219743,0.00026533224626446,0.342508796001911,1.13835387425842,9
"(Intercept)",-3.09481389011378,0.427052180800659,-7.24692210753136,4.2632564145606e-13,-3.93182078400236,-2.2578069962252,10
"ch_central.slope.difference",-0.157132423507294,0.0943183426223252,-1.66597948117571,0.0957175013501494,-0.34199297812856,0.0277281311139724,10
"ch_curvature.median",0.214004719764147,0.135793937753988,1.57595194088745,0.115036879319522,-0.0521465075525428,0.480155947080838,10
"ch_stream.power",0.0467996515163662,0.151352944761764,0.30920872791759,0.757162755098086,-0.24984666917077,0.343445972203503,10
"ch_valley_width",0.213781315264127,0.144547945463913,1.47896474472893,0.13914973758335,-0.0695274518844017,0.497090082412656,10
"hs_area",0.0887973434927863,0.104177600066568,0.852365032752208,0.394011521507316,-0.115387000633504,0.292981687619076,10
"hs_bare.earth.mean",-0.133387175995902,0.038259525296345,-3.48637822771534,0.000489608231301508,-0.208374467642337,-0.0583998843494663,10
"hs_curvature.median",-0.0370151229825928,0.0500790607123764,-0.739133730865782,0.459825796319998,-0.135168278358445,0.0611380323932597,10
"hs_eastness.median",-0.298891548161651,0.117378680457923,-2.54638701845686,0.0108844439175018,-0.528949534412016,-0.0688335619112868,10
"hs_extended.dnbr.median",0.385809134601762,0.128366528782411,3.00552751765792,0.00265120605761804,0.134215361367813,0.637402907835711,10
"hs_flow.accumulation.max",-0.321309635952609,0.137776221321914,-2.33211241293859,0.0196947782107157,-0.59134606766958,-0.0512732042356385,10
"hs_ndvi.min",0.243901145168185,0.108063644515372,2.25701387605422,0.0240072077252294,0.0321002938799169,0.455701996456453,10
"hs_ndvi.range",-0.187706996469709,0.148619083137008,-1.26300736424721,0.206586533167713,-0.478995046833608,0.10358105389419,10
"hs_northness.median",-0.0370273742697318,0.116467335567564,-0.31792067783891,0.750545107084893,-0.265299157357498,0.191244408818034,10
"hs_slope.median",-0.122944002472079,0.0987567612831308,-1.24491731882139,0.213162144064564,-0.316503697816835,0.070615692872677,10
