"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep"
"(Intercept)",-1.17349387893753,0.15619623866474,-7.51294582359515,5.77315972805081e-14,-1.47963288124104,-0.867354876634014,1
"ch_change.in.slope.over.width",-0.000829401314835132,0.131330178845306,-0.00631539012683511,0.994961081217874,-0.258231821934838,0.256573019305168,1
"ch_channel.width.over.valley.width",-0.167877980719589,0.157525708657854,-1.06571798438451,0.286551145352928,-0.476622696328131,0.140866734888954,1
"ch_curvature.median",0.394914684292008,0.160791879354148,2.45606112621023,0.014046926190203,0.0797683917513685,0.710060976832647,1
"hs_area",-0.376319390609155,0.135132127746864,-2.78482546588843,0.00535565423418882,-0.641173494147274,-0.111465287071036,1
"hs_bare.earth.mean",-0.264202314134108,0.0976074124086989,-2.70678535179119,0.00679381681783231,-0.455509327079305,-0.0728953011889101,1
"hs_curvature.median",-0.191734484811711,0.152702271797842,-1.25560990386274,0.209257438832737,-0.491025437892928,0.107556468269507,1
"hs_extended.dnbr.median",-0.307252607487425,0.185947612620819,-1.65236113094912,0.0984609542367203,-0.671703231235435,0.0571980162605852,1
"hs_flow.accumulation.max",0.103183696983862,0.172343232110955,0.598710467014055,0.549365976052483,-0.234602830932838,0.440970224900561,1
"hs_ndvi.min",-0.797242761898263,0.129349396076743,-6.16348267621799,7.11621650495431e-10,-1.05076291963068,-0.543722604165841,1
"hs_northness.median",-0.298131207927534,0.165577397602808,-1.80055498059403,0.0717730503747294,-0.622656943882906,0.0263945280278382,1
"hs_slope.median",-0.25342699192501,0.187960044394636,-1.34830246897006,0.177561118358734,-0.621821909471047,0.114967925621027,1
"ws_flow.accum_max",0.39951723077244,0.165838673618715,2.40907155161517,0.0159931621259115,0.0744794032358655,0.724555058309014,1
"ws_ndvi.mean_mean",0.0170418285962402,0.0972944414156727,0.17515726847572,0.860956060005211,-0.17365177247442,0.207735429666901,1
"ws_ndvi.min_mean",0.862652743049799,0.15228138174003,5.66486022908888,1.47144427753432e-08,0.564186719323344,1.16111876677625,1
"ws_slope.eastness_mean",-0.109486517283608,0.232622471914662,-0.470661825499702,0.637882249473837,-0.565418184231026,0.34644514966381,1
"(Intercept)",-1.20078433634647,0.356127569836619,-3.37178145712605,0.000746836848724008,-1.89878154712802,-0.502787125564929,2
"ch_change.in.slope.over.width",0.0176614424633765,0.12612311395454,0.140033352409476,0.888633638594866,-0.229535318505562,0.264858203432315,2
"ch_channel.width.over.valley.width",-0.133337700749492,0.186327613876119,-0.715608910433119,0.474232870110843,-0.498533113271971,0.231857711772987,2
"ch_curvature.median",0.580181818056782,0.159099246554225,3.6466660315644,0.000265664845044755,0.268353024843043,0.892010611270522,2
