"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep"
"(Intercept)",-3.02180760645816,0.692670142490775,-4.36254924399084,1.28555637421979e-05,-4.37941613890631,-1.66419907401001,2
"ch_change.in.slope.over.width",-0.127806151780484,0.0815265603076628,-1.56766275061983,0.116959859153906,-0.287595273766936,0.0319829702059677,2
"ch_channel.width.over.valley.width",-0.0679592009055281,0.0904516613340666,-0.751331704727161,0.452453053109763,-0.245241199462113,0.109322797651057,2
"ch_curvature.median",0.247352569678127,0.0995677607242899,2.48426366003213,0.0129819649427911,0.0522033446372175,0.442501794719037,2
"hs_area",-0.0556350779929189,0.0754170201399154,-0.737699234068164,0.460697237666215,-0.203449721288485,0.0921795653026473,2
"hs_bare.earth.mean",-0.093029851021449,0.0296741639362555,-3.13504539576215,0.00171827519460299,-0.151190143607847,-0.0348695584350509,2
"hs_curvature.median",-0.0435068111002769,0.0374434233230741,-1.16193465338054,0.245262009638416,-0.116894572271389,0.0298809500708354,2
"hs_extended.dnbr.median",-0.273893563291116,0.0877977591777878,-3.11959628418865,0.00181099062562251,-0.445974009202901,-0.101813117379331,2
"hs_flow.accumulation.max",-0.0456050754594165,0.0970633956940939,-0.469848341213468,0.638463374145143,-0.235845835237001,0.144635684318168,2
"hs_ndvi.min",0.278657044295194,0.0746916701415227,3.73076467251577,0.000190899476050221,0.132264060872664,0.425050027717724,2
"hs_northness.median",-0.0693876747982475,0.0813983896056866,-0.852445301858895,0.393966985581468,-0.228925586824953,0.0901502372284577,2
"hs_slope.median",0.282849232989399,0.0626994489814427,4.51119168643914,6.44644316150078e-06,0.159960571135265,0.405737894843534,2
"ws_flow.accum_max",0.274092366308025,0.104981934565312,2.61085269044556,0.00903167886115175,0.0683315555326726,0.479853177083377,2
"ws_ndvi.mean_mean",0.640010767618404,0.152407658122632,4.19933470208847,2.67700371037183e-05,0.341297246729952,0.938724288506856,2
"ws_ndvi.min_mean",-0.556072792614034,0.194664226392665,-2.856574127248,0.00428239995384527,-0.937607665422009,-0.174537919806059,2
"ws_slope.eastness_mean",0.420890561566629,0.143557165895529,2.9318673083371,0.00336930671530333,0.139523686688749,0.702257436444508,2
"(Intercept)",-2.94035775190142,0.681998662155643,-4.31138346020741,1.62236274554584e-05,-4.27705056723098,-1.60366493657186,5
"ch_change.in.slope.over.width",-0.147622328152779,0.0579031530419084,-2.54946959530744,0.0107886918079931,-0.26111042270623,-0.0341342335993277,5
"ch_channel.width.over.valley.width",-0.314517903127382,0.107507488895043,-2.92554413055296,0.00343854402327071,-0.525228709430006,-0.103807096824757,5
