rid,binaryID
120,110000000
121,11000000
122,1100000
123,110000
124,11000
125,1100
126,110
127,11
135,110101101
136,11010110
137,1101011
138,110101
139,11010
140,1101
144,11000001110
145,1100000111
146,110000011
147,11000001
149,110000001
152,110000100
153,11000010
154,1100001
155,1100000111011
156,110000011101
158,11000001111
159,110001100
160,11000110
161,1100011
162,110001
164,110001101
167,1101011011
168,110000101
181,11000111
182,11000011
183,1100001001
214,11010111
220,11011
223,11001
230,111
128,1
