"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep"
"(Intercept)",-1.20879702341825,0.784189498961022,-1.54146035495221,0.123204784598062,-2.74578019843637,0.328186151599862,1
"ch_central.slope.difference",0.224064074618813,0.328627487069621,0.681817813283963,0.495354159052391,-0.420033964367546,0.868162113605172,1
"ch_channel.width.over.valley.width",-2.0641436498383,0.878551732318481,-2.3494844684798,0.0187994283998276,-3.7860734037378,-0.342213895938802,1
"ch_stream.power",0.918241141608705,1.0550069380586,0.870365026507245,0.384100952963218,-1.14953446042604,2.98601674364345,1
"hs_bare.earth.mean",-0.195234889136486,0.543958511074741,-0.358915037014028,0.719658650212083,-1.26137397992701,0.870904201654039,1
"hs_curvature.median",-0.124254452756856,0.339731144996929,-0.365743484477936,0.714556494957216,-0.790115261377391,0.54160635586368,1
"hs_extended.dnbr.median",-0.774615828749162,0.568612978642618,-1.36229009509827,0.173106352270852,-1.88907678803074,0.339845130532412,1
"hs_flow.accumulation.max",-0.243777945219091,1.21292761178546,-0.200983094828095,0.840711792727279,-2.62107238017276,2.13351648973458,1
"hs_ndvi.min",0.563966152081169,1.70027238599591,0.331691649365249,0.740122106889837,-2.76850648837879,3.89643879254113,1
"hs_northness.median",-0.215753674394377,0.876225085612101,-0.246230880554691,0.805503512072263,-1.93312328454462,1.50161593575587,1
"hs_slope.median",1.10032855718136,0.89287376078323,1.23234504754193,0.217820218997832,-0.649671856694607,2.85032897105732,1
"hs_storm.accum.30.min",-0.118761262667032,1.29479984486553,-0.0917217152426871,0.926919143847799,-2.65652232579153,2.41899980045746,1
"(Intercept)",-2.87980477575293,0.49845607747603,-5.77744942008741,7.58415108492727e-09,-3.85676073548106,-1.90284881602481,2
"ch_central.slope.difference",-0.607540288418838,0.344744986324031,-1.76228897451696,0.0780204857554043,-1.28322804546469,0.0681474686270157,2
"ch_channel.width.over.valley.width",-0.771357614390138,0.392946119742792,-1.96301114996387,0.0496448784664318,-1.54151785695077,-0.00119737182950153,2
"ch_stream.power",-0.310555801612148,0.53619266700298,-0.579186961559886,0.562463027542359,-1.36147411771247,0.740362514488172,2
"hs_bare.earth.mean",-1.08003471983327,0.380525692263784,-2.838270166222,0.0045358772332067,-1.82585137186246,-0.334218067804082,2
"hs_curvature.median",-0.0820125667229996,0.11326361012702,-0.724085755619356,0.469013089022092,-0.304005163330945,0.139980029884946,2
"hs_extended.dnbr.median",0.546603854037408,0.384530050641877,1.42148540309136,0.155175694143729,-0.207061196194033,1.30026890426885,2
"hs_flow.accumulation.max",-0.780675734812507,0.857603145941217,-0.910299523161984,0.362664569959151,-2.46154701388554,0.900195544260525,2
"hs_ndvi.min",-1.03950075525419,0.663980247114742,-1.56555975839829,0.117451717116508,-2.34087812604509,0.261876615536709,2
"hs_northness.median",0.256660054498722,0.39476399738665,0.650160744641912,0.515588394883783,-0.517063162772175,1.03038327176962,2
"hs_slope.median",-0.379939332747961,0.536497023504875,-0.708185350714268,0.478830162141713,-1.43145417663045,0.671575511134533,2
"hs_storm.accum.30.min",-2.53011803077753,0.989759638822815,-2.55629541914516,0.0105793259723084,-4.47001127622162,-0.590224785333439,2
"(Intercept)",-0.796590234412535,0.592504088377022,-1.34444681486425,0.17880394394068,-1.95787690832424,0.364696439499166,3
"ch_central.slope.difference",-0.168218136155498,0.576714394589984,-0.291683609310797,0.770528542407335,-1.29855757891769,0.962121306606692,3
"ch_channel.width.over.valley.width",0.513525796371934,0.702087081842076,0.731427496179803,0.464518075456811,-0.862539598049359,1.88959119079323,3
"ch_stream.power",0.00742201953619476,0.479438494158272,0.0154806500242023,0.987648721688189,-0.932260161816136,0.947104200888526,3
"hs_bare.earth.mean",0.341927807162961,0.454237119245677,0.752751795649767,0.451599078559781,-0.548360586999792,1.23221620132571,3
"hs_curvature.median",-0.255072418167625,0.105869971255412,-2.40929902164856,0.0159831965146426,-0.462573748872524,-0.0475710874627266,3
"hs_extended.dnbr.median",-0.954109679623462,0.474294494536998,-2.01163979471205,0.044257921297723,-1.88370980698161,-0.0245095522653161,3
"hs_flow.accumulation.max",-0.138913385207143,0.70014295506453,-0.198407174138229,0.84272650487046,-1.51116836116307,1.23334159074878,3
"hs_ndvi.min",-0.294015673256007,0.671883147419527,-0.437599416483686,0.661676694273112,-1.6108824440177,1.02285109750568,3
"hs_northness.median",0.17377240560383,0.393180332125857,0.441966170241205,0.65851368638041,-0.596846884792347,0.944391696000007,3
"hs_slope.median",0.724599793236763,0.468901473377056,1.54531353467105,0.122270443232671,-0.194430206880032,1.64362979335356,3
"hs_storm.accum.30.min",1.49280871473247,1.13527937494149,1.31492630596712,0.188534670821312,-0.732297972543994,3.71791540200893,3
"(Intercept)",0.65510980996536,0.642652628625844,1.01938400433552,0.308020697034391,-0.604466196711288,1.91468581664201,4
"ch_central.slope.difference",0.389074080677059,0.248209616394169,1.56752218680839,0.116992684374294,-0.0974078280720154,0.875555989426133,4
"ch_channel.width.over.valley.width",-1.25311452249382,0.469365442536054,-2.66980567577164,0.00758951564763133,-2.17305388545219,-0.333175159535453,4
"ch_stream.power",1.7954354989751,0.646684411994432,2.77637046088342,0.00549695349167623,0.527957342102554,3.06291365584765,4
"hs_bare.earth.mean",0.273370156125551,0.198470647499057,1.37738330362856,0.168393772164395,-0.115625164960945,0.662365477212047,4
"hs_curvature.median",-0.567331814164962,0.126084226321841,-4.49962561309451,6.80732454316768e-06,-0.814452356774368,-0.320211271555557,4
"hs_extended.dnbr.median",-0.456024509270802,0.253957147702711,-1.79567503177598,0.0725462150703511,-0.953771372384634,0.0417223538430295,4
"hs_flow.accumulation.max",1.65287668313642,0.714088831821111,2.31466536022018,0.0206312528903729,0.253288291004764,3.05246507526808,4
"hs_ndvi.min",3.1741578508944,1.09641572252892,2.89503131492233,0.00379120709690306,1.02522252265426,5.32309317913453,4
"hs_northness.median",-0.000199123819636493,0.360159690275726,-0.000552876473999771,0.999558868419838,-0.70609914544316,0.705700897803887,4
"hs_slope.median",2.07577757901686,0.577910624650838,3.59186609568047,0.000328318545862016,0.943093568418178,3.20846158961555,4
"hs_storm.accum.30.min",2.05385131039891,0.715872642175981,2.8690177405802,0.00411748703393022,0.650766714216462,3.45693590658136,4
"(Intercept)",-0.731813442364375,0.626858367598439,-1.16743028440065,0.24303664700004,-1.96043326626488,0.496806381536135,5
"ch_central.slope.difference",-0.454564762367245,0.554530833870416,-0.819728560798964,0.412370864474868,-1.54142522507022,0.632295700335733,5
"ch_channel.width.over.valley.width",-1.58704708938875,0.88499686528335,-1.79327989922385,0.0729281798271297,-3.32160907177496,0.147514892997463,5
"ch_stream.power",-1.09751375015575,1.0942144363716,-1.00301523510793,0.315853510523645,-3.24213463680789,1.04710713649638,5
"hs_bare.earth.mean",0.351553585155192,0.345742349890026,1.01680799377633,0.309244778615501,-0.326088968559504,1.02919613886989,5
"hs_curvature.median",0.117200741528277,0.214317294509274,0.546856201206879,0.584477528261687,-0.302853436973963,0.537254920030517,5
"hs_extended.dnbr.median",0.401558791963049,0.656724726873664,0.61145678780007,0.540897217547038,-0.885598020466236,1.68871560439233,5
"hs_flow.accumulation.max",-0.0411251158331448,0.640246887095769,-0.0642332148145114,0.948784530395856,-1.29598595575473,1.21373572408844,5
"hs_ndvi.min",-1.687907396787,1.14535108874942,-1.47370305347156,0.140561560367357,-3.9327542803896,0.556939486815602,5
"hs_northness.median",-0.0237129918859289,0.773263673229355,-0.0306661139102748,0.975535815627402,-1.53928194196861,1.49185595819676,5
"hs_slope.median",0.45133317803425,0.660624365134746,0.683191843737391,0.494485625843977,-0.843466784939489,1.74613314100799,5
"hs_storm.accum.30.min",0.292746129611889,1.48190118879973,0.197547671750638,0.843398979705314,-2.61172682908266,3.19721908830644,5
"(Intercept)",-1.12727430044548,0.571224888048715,-1.97343344807019,0.0484461999603971,-2.24685450809389,-0.00769409279707811,6
"ch_central.slope.difference",-0.139239724559356,0.509766984103214,-0.273143865533597,0.784742628459614,-1.13836465390926,0.859885204790546,6
"ch_channel.width.over.valley.width",-1.19453659734045,0.784898106817653,-1.52190021477268,0.128034085365544,-2.73290861823672,0.343835423555819,6
"ch_stream.power",-0.90426030217937,1.14484509259469,-0.789853848375193,0.429613126908273,-3.14811545154239,1.33959484718364,6
"hs_bare.earth.mean",-0.261643061948923,0.277710287802039,-0.942143929991642,0.346118955896796,-0.805945224177173,0.282659100279327,6
"hs_curvature.median",-0.551364380936324,0.204178521134335,-2.70040344044595,0.006925543731088,-0.95154692877627,-0.151181833096377,6
"hs_extended.dnbr.median",0.269420520183235,0.8607854864935,0.312993799745333,0.754285372750771,-1.41768803175881,1.95652907212528,6
"hs_flow.accumulation.max",0.0183159115449349,0.669563145862027,0.0273550174589645,0.97817657567669,-1.29400373971998,1.33063556280985,6
"hs_ndvi.min",-1.23635015144072,0.951216497167087,-1.29975684307706,0.19368432126273,-3.10070022738855,0.62799992450712,6
"hs_northness.median",-0.304851344882167,0.43779935273731,-0.696326623089104,0.486224304007135,-1.16292230870224,0.553219618937908,6
"hs_slope.median",0.790413066087906,0.429393633868912,1.84076568384619,0.0656559036578048,-0.0511829914859389,1.63200912366175,6
"hs_storm.accum.30.min",0.473190372809294,0.63318654364651,0.747315901699678,0.454872895973964,-0.767832448233264,1.71421319385185,6
"(Intercept)",-0.374229973931881,0.709902757288346,-0.527156670529564,0.598084795374731,-1.76561381074272,1.01715386287896,7
"ch_central.slope.difference",-0.821239344398087,0.533210886124239,-1.54017737778658,0.123517122593121,-1.86631347736628,0.22383478857011,7
"ch_channel.width.over.valley.width",-1.42716420233117,0.531204307608191,-2.68665781111064,0.00721708467646587,-2.46830551367576,-0.386022890986575,7
"ch_stream.power",0.397983742250505,0.72031561331068,0.552513002489716,0.580596928481381,-1.01380891734031,1.80977640184132,7
"hs_bare.earth.mean",0.152003206546063,0.214399359438979,0.708972297976127,0.478341667797326,-0.268211816262794,0.572218229354919,7
"hs_curvature.median",-0.48180627395726,0.155138300403843,-3.10565651875173,0.0018985711187538,-0.785871755371548,-0.177740792542971,7
"hs_extended.dnbr.median",0.980625410942613,0.647957590098775,1.51340986806425,0.13017557994359,-0.289348129160352,2.25059895104558,7
"hs_flow.accumulation.max",1.33354250829695,0.831303550410267,1.60415832175722,0.108679159014478,-0.29578251072745,2.96286752732135,7
