"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep"
"(Intercept)",5.8807796485605,1.37777381606613,4.26832008271977,1.96950586253131e-05,3.18039259022858,8.58116670689242,1
"ch_central.slope.difference",2.93591248093186,1.69621539723261,1.73086064760515,0.0834766218464422,-0.388608607666353,6.26043356953007,1
"ch_channel.width.over.valley.width",-4.01652249556388,1.60912287300619,-2.49609433993077,0.0125569200981219,-7.17034537335563,-0.862699617772135,1
"ch_stream.power",-1.79246299972493,1.68589820894642,-1.06320950470972,0.287686953035994,-5.09676277086049,1.51183677141063,1
"hs_bare.earth.mean",-0.220664634018937,0.87089741808561,-0.253376149057828,0.799977556732371,-1.92759220769565,1.48626293965778,1
"hs_curvature.median",-0.647186889130283,0.286228870879926,-2.26108179493109,0.0237541924836668,-1.2081851673905,-0.0861886108700625,1
"hs_extended.dnbr.median",0.312720791090491,1.13575649008426,0.275341407969671,0.783053954450754,-1.91332102468228,2.53876260686326,1
"hs_flow.accumulation.max",2.7113938927481,1.46569230701401,1.84990661394129,0.0643270104631235,-0.161310241416792,5.58409802691299,1
"hs_ndvi.min",-0.889472308689818,1.55486479715793,-0.572057654347596,0.567282915946355,-3.93695131194854,2.15800669456891,1
"hs_northness.median",-0.132963393225586,1.35956864104443,-0.0977982201203483,0.922092520747948,-2.79766896418272,2.53174217773155,1
"hs_slope.median",3.32211259742124,1.32942395472036,2.49891134098004,0.012457547311431,0.716489525984535,5.92773566885795,1
"hs_storm.accum.30.min",-5.39162101536567,3.16379138305046,-1.7041645173732,0.0883503560949785,-11.5925381807427,0.809296150011395,1
"(Intercept)",2.34058442729072,3.9581812997911,0.59132825154175,0.554300503705782,-5.41730836457977,10.0984772191612,2
"ch_central.slope.difference",-3.45128470339034,1.46975224098717,-2.34820849878226,0.018863958434391,-6.33194616192223,-0.570623244858457,2
"ch_channel.width.over.valley.width",-6.76938658248946,3.7265469815756,-1.81653058876165,0.0692890200731133,-14.0732844530741,0.534511288095153,2
"ch_stream.power",-9.90124143647404,2.26391057848135,-4.37351259832703,1.22263185635685e-05,-14.3384246345167,-5.46405823843135,2
"hs_bare.earth.mean",-4.36916776414703,2.0222952888348,-2.16049940296526,0.0307340297763055,-8.33279369636826,-0.4055418319258,2
"hs_curvature.median",0.455923894026232,1.26230083907564,0.361184814200152,0.717961293515114,-2.01814028821671,2.92998807626918,2
"hs_extended.dnbr.median",-3.67280267874878,1.9533804945295,-1.88022901274717,0.060076873150118,-7.50135809612964,0.155752738632077,2
"hs_flow.accumulation.max",0.467697577042679,1.17194793303035,0.399077095373458,0.689836398600946,-1.82927816345296,2.76467331753832,2
"hs_ndvi.min",0.00917268927837611,3.76895362516944,0.00243374957365355,0.998058150707295,-7.37784067545539,7.39618605401215,2
"hs_northness.median",-1.66807062786509,1.32550778731742,-1.25843894983141,0.208233053069854,-4.26601815223461,0.929876896504427,2
"hs_slope.median",4.60901227022536,1.62791824559881,2.83123079594822,0.00463692486670819,1.41835113907606,7.79967340137467,2
"hs_storm.accum.30.min",-16.1532135100997,5.32256943173341,-3.03485256834668,0.00240653294648641,-26.585257901511,-5.72116911868836,2
"(Intercept)",7.38901299596755,2.47623223055656,2.98397416235342,0.00284530797411442,2.53568700671941,12.2423389852157,3
"ch_central.slope.difference",1.80422256028287,1.18114739979467,1.52751685403237,0.126632539496337,-0.510783803747819,4.11922892431356,3
"ch_channel.width.over.valley.width",-9.16463469242717,2.99012857547241,-3.06496341582209,0.00217696624463271,-15.0251790094972,-3.30409037535718,3
"ch_stream.power",-2.53026177696257,2.34038402478149,-1.08113102387067,0.279638834923087,-7.11733017552719,2.05680662160204,3
"hs_bare.earth.mean",-1.55622293685542,1.44333930633513,-1.0782100439064,0.280940030660296,-4.3851159947433,1.27267012103245,3
"hs_curvature.median",-1.18967469786251,0.658992785899902,-1.8052924452548,0.0710289312138228,-2.48127682429803,0.101927428573016,3
"hs_extended.dnbr.median",0.90310376642092,1.50116099477085,0.601603538572341,0.54743807288443,-2.03911771832627,3.84532525116811,3
"hs_flow.accumulation.max",8.35832839304311,2.5715096418573,3.25035856642024,0.00115259583532867,3.31826210910531,13.3983946769809,3
"hs_ndvi.min",5.81034582278767,2.52846118359018,2.29797707020264,0.0215630942150404,0.854652966643404,10.7660386789319,3
"hs_northness.median",-3.31418165408891,1.51718010592154,-2.18443521712002,0.0289302827767011,-6.2878000197558,-0.340563288422019,3
"hs_slope.median",10.0629284399282,1.75855612841816,5.72226742002249,1.0511168380134e-08,6.61622176343636,13.50963511642,3
"hs_storm.accum.30.min",-2.3403482727553,3.48476475708084,-0.671594335887336,0.501841985144714,-9.17036169122823,4.48966514571762,3
"(Intercept)",3.22381806468677,2.46036994316655,1.31029810116183,0.190095009588271,-1.59841841256451,8.04605454193806,4
"ch_central.slope.difference",-2.36453107631361,1.13903183112045,-2.07591307960872,0.0379019907883444,-4.59699244255439,-0.13206971007282,4
"ch_channel.width.over.valley.width",1.19332032948834,2.5663953583547,0.464979148907659,0.641946388605763,-3.83672214297764,6.22336280195431,4
"ch_stream.power",-2.18366567244541,2.09664664714538,-1.04150390597219,0.297641741344358,-6.29301758915701,1.92568624426619,4
