"varcomp","proportion","bootstrap_rep"
"Covariates (PR-sq)",0.144575793004497,1
"tailup_de",0.855219894366139,1
"taildown_de",0,1
"euclid_de",4.45003225589673e-31,1
"nugget",7.86976993605341e-05,1
"1 | as.factor(ch_watershed)",0.00012561493000421,1
"Covariates (PR-sq)",0.899839251462353,2
"tailup_de",8.63347441593178e-05,2
"taildown_de",0,2
"euclid_de",2.2872371020637e-14,2
"nugget",8.62793883427794e-09,2
"1 | as.factor(ch_watershed)",0.100074405165526,2
"Covariates (PR-sq)",0.998240831254169,3
"tailup_de",0.00175875200948914,3
"taildown_de",0,3
"euclid_de",4.10696148813438e-22,3
"nugget",2.84419035508787e-16,3
"1 | as.factor(ch_watershed)",4.16736341954519e-07,3
"Covariates (PR-sq)",0,4
"tailup_de",0.996810106972749,4
"taildown_de",0,4
"euclid_de",0.00316661822809348,4
"nugget",2.32747991577249e-05,4
"1 | as.factor(ch_watershed)",3.61651116197386e-19,4
"Covariates (PR-sq)",0.0791543605093927,5
"tailup_de",0.920797613234418,5
"taildown_de",0,5
"euclid_de",5.97242856845437e-11,5
"nugget",4.80261964555316e-05,5
"1 | as.factor(ch_watershed)",9.68815934071974e-15,5
"Covariates (PR-sq)",0.969926442975136,6
"tailup_de",1.41642737632131e-07,6
"taildown_de",0,6
"euclid_de",1.98851724623754e-16,6
"nugget",4.23374036932428e-12,6
"1 | as.factor(ch_watershed)",0.0300734153778925,6
"Covariates (PR-sq)",0.966019676040146,7
"tailup_de",4.85392055267991e-08,7
"taildown_de",0,7
"euclid_de",4.46889014546766e-11,7
"nugget",3.65201868145072e-12,7
"1 | as.factor(ch_watershed)",0.0339802753723073,7
"Covariates (PR-sq)",0.997923582325082,8
"tailup_de",0.00207357784421179,8
"taildown_de",0,8
"euclid_de",1.19699622190376e-07,8
"nugget",4.63748634338297e-10,8
"1 | as.factor(ch_watershed)",2.71966733578249e-06,8
"Covariates (PR-sq)",0.953170304116507,9
"tailup_de",0.0468271790437953,9
"taildown_de",0,9
"euclid_de",2.72884970707792e-43,9
"nugget",2.51683969777608e-06,9
"1 | as.factor(ch_watershed)",9.7429294737024e-22,9
"Covariates (PR-sq)",0.986876112799482,10
"tailup_de",0.0126126538656377,10
"taildown_de",0,10
"euclid_de",2.82843010676368e-08,10
"nugget",3.09565742490687e-07,10
"1 | as.factor(ch_watershed)",0.000510895484836598,10
