"varcomp","proportion","bootstrap_rep"
"Covariates (PR-sq)",0,1
"tailup_de",0.000410921131335232,1
"taildown_de",0,1
"euclid_de",0.999589078868665,1
"nugget",5.39688559706052e-43,1
"Covariates (PR-sq)",0.263455307163624,2
"tailup_de",0.000152689920352775,2
"taildown_de",0,2
"euclid_de",0.736391917968993,2
"nugget",8.49470303275447e-08,2
"Covariates (PR-sq)",0.20824866980796,3
"tailup_de",0.00283140575459715,3
"taildown_de",0,3
"euclid_de",0.629724152278566,3
"nugget",0.159195772158877,3
"Covariates (PR-sq)",0,4
"tailup_de",0.999904756007349,4
"taildown_de",0,4
"euclid_de",9.52438310488729e-05,4
"nugget",1.61602028072945e-10,4
"Covariates (PR-sq)",0,5
"tailup_de",0.955853036402479,5
"taildown_de",0,5
"euclid_de",0.0441469576811923,5
"nugget",5.91632924686801e-09,5
"Covariates (PR-sq)",0.211821633704306,6
"tailup_de",0.78785087498746,6
"taildown_de",0,6
"euclid_de",0.00032744300006384,6
"nugget",4.83081699228771e-08,6
"Covariates (PR-sq)",0.298317735068456,7
"tailup_de",0.699850846450897,7
"taildown_de",0,7
"euclid_de",0.00179823141858936,7
"nugget",3.31870620570179e-05,7
"Covariates (PR-sq)",0,8
"tailup_de",0.999894946754197,8
"taildown_de",0,8
"euclid_de",0.000105053245803335,8
"nugget",1.96734904611397e-17,8
"Covariates (PR-sq)",0.656556034272503,9
"tailup_de",0.343438132090475,9
"taildown_de",0,9
"euclid_de",1.2341068732835e-11,9
"nugget",5.83362468093182e-06,9
"Covariates (PR-sq)",0.390863073162984,10
"tailup_de",0.609133590456951,10
"taildown_de",0,10
"euclid_de",3.33637997529392e-06,10
"nugget",8.89636728483911e-14,10
