"pointid","xcoord","ycoord"
1,413806.616547935,4448301.31416819
2,413956.116536936,4448292.81416881
3,413398.616577953,4448434.3141584
4,413073.616601865,4448242.31417253
5,413719.616554336,4448721.31413729
6,413128.616597818,4448756.31413471
7,413052.61660341,4448587.31414715
8,413417.616576555,4448774.31413339
9,411126.616745114,4447904.3141974
10,411573.616712226,4448526.31415163
11,411728.616700822,4449154.31410543
12,411476.616719363,4449088.31411029
13,411760.616698468,4449216.31410087
14,412606.616636224,4449170.31410425
15,412637.616633943,4449201.31410197
16,411641.616707223,4449230.31409984
17,412615.616635562,4449545.31407666
18,412432.616649026,4449616.31407144
19,413092.616600467,4448813.31413052
20,413244.616589284,4448809.31413081
21,412834.616619449,4448944.31412088
22,413848.616544845,4449014.31411573
23,413667.616558162,4449374.31408924
24,414334.616509088,4449566.31407512
25,413461.616573318,4449528.31407791
26,412713.616628352,4449446.31408395
27,412637.616633943,4449563.31407534
28,412515.616642919,4449672.31406732
29,412220.616664624,4449789.31405871
30,412255.616662049,4449939.31404767
31,412083.616674704,4449941.31404753
32,411144.61674379,4449833.31405547
33,411370.616727162,4450066.31403833
34,412075.616675292,4449966.31404569
35,411344.616729075,4450078.31403745
36,411953.616684268,4450353.31401721
37,411775.616697364,4450611.31399823
38,411625.616708401,4450939.3139741
39,410934.61675924,4448432.31415855
40,410597.616784035,4449274.3140966
41,410707.616775942,4449476.31408174
42,410544.616787934,4449459.31408299
43,410922.616760123,4449776.31405967
44,410903.616761521,4449778.31405952
45,411142.616743937,4449830.31405569
46,411058.616750117,4450720.31399021
47,411279.616733857,4451061.31396512
48,410517.616789921,4450877.31397866
49,410793.616769614,4451364.31394283
50,409672.616852091,4449414.3140863
51,409551.616860994,4450572.3140011
52,409012.61690065,4449894.31405098
53,410374.616800442,4450319.31401972
54,409626.616855476,4450726.31398977
55,409929.616833183,4451308.31394695
56,409439.616869234,4451316.31394636
57,409190.616887554,4451227.31395291
58,410191.616813906,4451705.31391774
59,409106.616893734,4451802.31391061
60,409719.616848633,4451858.31390649
61,412391.616652043,4450789.31398514
62,411899.616688241,4450806.31398389
63,412422.616649762,4450721.31399014
64,411818.616694201,4450926.31397506
65,411879.616689713,4451145.31395894
66,412284.616659915,4451394.31394062
67,411812.616694642,4451563.31392819
68,412308.616658149,4451422.31393856
69,410716.61677528,4451465.3139354
70,410591.616784476,4452048.31389251
71,410727.61677447,4452072.31389074
72,410718.616775133,4452098.31388883
73,410425.61679669,4452194.31388176
74,410389.616799338,4452246.31387794
75,410409.616797867,4452408.31386602
76,410392.616799118,4452576.31385366
77,410585.616784918,4452662.31384733
78,411488.61671848,4452040.31389309
79,412502.616643876,4452054.31389206
80,411504.616717303,4452054.31389206
81,411562.616713036,4452067.31389111
82,411605.616709872,4452175.31388316
83,411911.616687358,4452336.31387132
84,412129.616671319,4453049.31381886
