"varcomp","proportion","bootstrap_rep"
"Covariates (PR-sq)",0.351704468356033,1
"tailup_de",7.91002137654406e-05,1
"taildown_de",0,1
"euclid_de",0.123529074903816,1
"nugget",0,1
"1 | as.factor(ch_watershed)",0.524687356526385,1
"Covariates (PR-sq)",0.376863308601532,2
"tailup_de",2.62854285142282e-12,2
"taildown_de",0,2
"euclid_de",0.000317958582798915,2
"nugget",1.90364778266788e-45,2
"1 | as.factor(ch_watershed)",0.62281873281304,2
"Covariates (PR-sq)",0.225240060179862,3
"tailup_de",0.774759939820138,3
"taildown_de",0,3
"euclid_de",7.22691180278084e-24,3
"nugget",7.47008056672418e-34,3
"1 | as.factor(ch_watershed)",3.50596978872176e-43,3
"Covariates (PR-sq)",0.318865614983782,4
"tailup_de",0.000170499333700313,4
"taildown_de",0,4
"euclid_de",1.20006947020829e-06,4
"nugget",4.78375349024351e-13,4
"1 | as.factor(ch_watershed)",0.680962685612569,4
"Covariates (PR-sq)",0.382365989751331,5
"tailup_de",4.05803366492367e-70,5
"taildown_de",0,5
"euclid_de",0.617634006898532,5
"nugget",3.19457622852205e-41,5
"1 | as.factor(ch_watershed)",3.35013619176895e-09,5
"Covariates (PR-sq)",0.319180297287681,6
"tailup_de",0.0105803732854773,6
"taildown_de",0,6
"euclid_de",0.000834768901902511,6
"nugget",1.26357289226658e-06,6
"1 | as.factor(ch_watershed)",0.669403296952046,6
"Covariates (PR-sq)",0.364257353356317,7
"tailup_de",3.29275376933587e-251,7
"taildown_de",0,7
"euclid_de",0.635742646643683,7
"nugget",6.52532594607367e-259,7
"1 | as.factor(ch_watershed)",1.69491260519064e-50,7
"Covariates (PR-sq)",0.479255525897354,8
"tailup_de",1.16025025411334e-09,8
"taildown_de",0,8
"euclid_de",0.000393839780173161,8
"nugget",1.02640217604565e-18,8
"1 | as.factor(ch_watershed)",0.520350633162222,8
"Covariates (PR-sq)",0.565986919267842,9
"tailup_de",1.23079327014547e-17,9
"taildown_de",0,9
"euclid_de",1.47854198631321e-55,9
"nugget",1.72098124783718e-47,9
"1 | as.factor(ch_watershed)",0.434013080732158,9
"Covariates (PR-sq)",0.30065254728682,10
"tailup_de",4.44122239898901e-09,10
"taildown_de",0,10
"euclid_de",1.10517056709724e-71,10
"nugget",5.08359459135293e-173,10
"1 | as.factor(ch_watershed)",0.699347448271957,10
"Covariates (PR-sq)",0.297323356999921,11
"tailup_de",4.51486444087727e-08,11
"taildown_de",0,11
"euclid_de",0.702676595553095,11
"nugget",1.44433636755564e-19,11
"1 | as.factor(ch_watershed)",2.2983397876998e-09,11
"Covariates (PR-sq)",0.376168106020957,12
"tailup_de",1.79836155112769e-10,12
"taildown_de",0,12
"euclid_de",2.0992818070566e-05,12
"nugget",1.29194873936847e-07,12
"1 | as.factor(ch_watershed)",0.623810771786262,12
"Covariates (PR-sq)",0.43408978839378,13
"tailup_de",3.68482338829288e-21,13
"taildown_de",0,13
"euclid_de",5.55882596043794e-07,13
"nugget",0.565909655324855,13
"1 | as.factor(ch_watershed)",3.98768863525688e-10,13
"Covariates (PR-sq)",0.222381430799774,14
"tailup_de",2.92636911591776e-11,14
"taildown_de",0,14
"euclid_de",0.0345010998320234,14
"nugget",3.37586025271952e-06,14
"1 | as.factor(ch_watershed)",0.743114093478687,14
"Covariates (PR-sq)",0.312027591154511,15
"tailup_de",5.75412532824839e-19,15
"taildown_de",0,15
"euclid_de",0.687972408845489,15
"nugget",1.45729638735227e-16,15
"1 | as.factor(ch_watershed)",2.87481141824533e-20,15
"Covariates (PR-sq)",0.451664728849394,16
"tailup_de",2.86099126335946e-05,16
"taildown_de",0,16
"euclid_de",1.23903307827608e-07,16
"nugget",2.1944123880929e-13,16
"1 | as.factor(ch_watershed)",0.548306537334445,16
"Covariates (PR-sq)",0.540655313600859,17
"tailup_de",8.20586523730633e-25,17
"taildown_de",0,17
"euclid_de",3.42102892220336e-11,17
"nugget",0.459342671494593,17
"1 | as.factor(ch_watershed)",2.01487033772608e-06,17
"Covariates (PR-sq)",0.502364641552452,18
"tailup_de",3.29828447362091e-44,18
"taildown_de",0,18
"euclid_de",0.497635329668295,18
"nugget",2.87792533874833e-08,18
"1 | as.factor(ch_watershed)",1.17983279063018e-23,18
"Covariates (PR-sq)",0.382538733995976,19
"tailup_de",4.96792227176875e-35,19
"taildown_de",0,19
"euclid_de",1.16772945536692e-20,19
"nugget",0.617401511538078,19
"1 | as.factor(ch_watershed)",5.97544659454884e-05,19
"Covariates (PR-sq)",0.325493198187457,20
"tailup_de",9.90507339991515e-134,20
"taildown_de",0,20
"euclid_de",0.635250106729954,20
"nugget",0.0392566950825889,20
"1 | as.factor(ch_watershed)",1.69951977428002e-26,20
"Covariates (PR-sq)",0.218162648350962,21
"tailup_de",1.01023270815147e-34,21
"taildown_de",0,21
"euclid_de",1.01828028418982e-06,21
"nugget",0.781836333368753,21
"1 | as.factor(ch_watershed)",3.14673221266385e-16,21
"Covariates (PR-sq)",0.304664420392933,22
"tailup_de",7.90785786759502e-35,22
"taildown_de",0,22
"euclid_de",0.695335579607067,22
"nugget",8.44953085717486e-25,22
"1 | as.factor(ch_watershed)",1.88666043263121e-16,22
"Covariates (PR-sq)",0.443945921554714,23
"tailup_de",1.42195525397041e-10,23
"taildown_de",0,23
"euclid_de",5.29530047321243e-08,23
"nugget",1.52678827156692e-26,23
"1 | as.factor(ch_watershed)",0.556054025350086,23
"Covariates (PR-sq)",0.414043587184864,24
"tailup_de",7.45229413688221e-251,24
"taildown_de",0,24
"euclid_de",0.00326472236845761,24
"nugget",0.582691690446678,24
"1 | as.factor(ch_watershed)",3.71350950335846e-245,24
"Covariates (PR-sq)",0.377222743978327,25
"tailup_de",0.000320420738219508,25
"taildown_de",0,25
"euclid_de",1.48135264461908e-05,25
"nugget",3.23007560715441e-15,25
"1 | as.factor(ch_watershed)",0.622442021757004,25
"Covariates (PR-sq)",0.242138463885791,26
"tailup_de",0.559354869568161,26
"taildown_de",0,26
"euclid_de",3.05040611218705e-08,26
"nugget",0.000207169287212183,26
"1 | as.factor(ch_watershed)",0.198299466754775,26
"Covariates (PR-sq)",0.281525915139119,27
"tailup_de",9.38480831512399e-20,27
"taildown_de",0,27
"euclid_de",0.718474084860881,27
"nugget",6.95033016444375e-41,27
"1 | as.factor(ch_watershed)",5.93996422699559e-16,27
"Covariates (PR-sq)",0.326529863074459,28
"tailup_de",0.673470136925541,28
"taildown_de",0,28
"euclid_de",7.28258928323018e-24,28
"nugget",2.3227335041495e-28,28
"1 | as.factor(ch_watershed)",2.29625641238253e-146,28
"Covariates (PR-sq)",0.32867525376534,29
"tailup_de",1.06098189599897e-07,29
"taildown_de",0,29
"euclid_de",0.67129980062752,29
"nugget",1.81900544790223e-255,29
"1 | as.factor(ch_watershed)",2.48395089503446e-05,29
"Covariates (PR-sq)",0.284933814656949,30
"tailup_de",8.72212382272188e-11,30
"taildown_de",0,30
"euclid_de",0.00123142744154505,30
"nugget",4.58551807114891e-19,30
"1 | as.factor(ch_watershed)",0.713834757814285,30
"Covariates (PR-sq)",0.345543561290387,31
"tailup_de",2.60271598458129e-06,31
"taildown_de",0,31
"euclid_de",0.0279750602057682,31
"nugget",7.88821975801573e-08,31
"1 | as.factor(ch_watershed)",0.626478696905663,31
"Covariates (PR-sq)",0.16167101489737,32
"tailup_de",2.6503374498603e-09,32
"taildown_de",0,32
"euclid_de",1.19536992479131e-05,32
"nugget",1.64799589599189e-07,32
"1 | as.factor(ch_watershed)",0.838316863953455,32
"Covariates (PR-sq)",0.207359079144972,33
"tailup_de",7.29582527300533e-06,33
"taildown_de",0,33
"euclid_de",0.0610558089213774,33
"nugget",7.71710606046558e-11,33
"1 | as.factor(ch_watershed)",0.731577816031206,33
"Covariates (PR-sq)",0.34039344230679,34
"tailup_de",1.48895780255317e-160,34
"taildown_de",0,34
"euclid_de",0.000831838784943748,34
"nugget",0.658774718908266,34
"1 | as.factor(ch_watershed)",8.67731789783424e-33,34
"Covariates (PR-sq)",0.410491335710182,35
"tailup_de",1.49806019603324e-38,35
"taildown_de",0,35
"euclid_de",2.94020756859696e-52,35
"nugget",0.589504861437656,35
"1 | as.factor(ch_watershed)",3.802852161675e-06,35
"Covariates (PR-sq)",0.412726986900286,36
"tailup_de",6.17741307485839e-20,36
"taildown_de",0,36
"euclid_de",2.4928244937347e-11,36
"nugget",0.587267894879075,36
"1 | as.factor(ch_watershed)",5.11819571100849e-06,36
"Covariates (PR-sq)",0.499452807958203,37
"tailup_de",6.29555521608689e-11,37
"taildown_de",0,37
"euclid_de",3.9085735752872e-23,37
"nugget",4.68834999685319e-11,37
"1 | as.factor(ch_watershed)",0.500547191931958,37
"Covariates (PR-sq)",0.285608786417921,38
"tailup_de",6.90067186631795e-11,38
"taildown_de",0,38
"euclid_de",4.1979178079892e-08,38
"nugget",6.8775790814567e-08,38
"1 | as.factor(ch_watershed)",0.714391102758103,38
"Covariates (PR-sq)",0.365651173800097,39
"tailup_de",6.73730267948341e-11,39
"taildown_de",0,39
"euclid_de",0.000670931716620919,39
"nugget",3.78159679062248e-20,39
"1 | as.factor(ch_watershed)",0.633677894415909,39
"Covariates (PR-sq)",0.21665571537526,40
"tailup_de",1.84828576774834e-117,40
"taildown_de",0,40
"euclid_de",2.28595569144327e-64,40
"nugget",0.783328557750707,40
"1 | as.factor(ch_watershed)",1.57268740324651e-05,40
"Covariates (PR-sq)",0.525005599278049,41
"tailup_de",2.74152383539744e-31,41
"taildown_de",0,41
"euclid_de",0.474994400721951,41
"nugget",8.00359713015148e-148,41
"1 | as.factor(ch_watershed)",8.56866185579495e-17,41
"Covariates (PR-sq)",0.393937306746214,42
"tailup_de",0.00324351175051611,42
"taildown_de",0,42
"euclid_de",1.46139665771096e-08,42
"nugget",2.72756843771504e-10,42
