"n","p","npar","value","AIC","AICc","logLik","deviance","pseudo.r.squared","bootstrap_rep"
41,14,7,-241.458706471749,-199.458706471749,-150.82712752438,120.729353235874,4.24118621941284,0.583863820112822,1
41,14,7,-229.771153552731,-187.771153552731,-139.139574605362,114.885576776365,4.37551153911557,0.581739541004793,2
41,14,7,-226.980407644929,-184.980407644929,-136.34882869756,113.490203822464,4.97121009211312,0.44906405191337,3
41,14,7,-286.414367407407,-244.414367407407,-195.782788460039,143.207183703704,1.58013577456324,0.721057547506461,4
41,14,7,-223.08516162866,-181.08516162866,-132.453582681291,111.54258081433,2.03367020015225e-15,0.198097571463865,5
41,14,7,-234.937139304963,-192.937139304963,-144.305560357595,117.468569652482,2.80934300348714,0.583313742964282,6
41,14,7,-226.79503908199,-184.79503908199,-136.163460134621,113.397519540995,5.80474482752042,0.458926472896682,7
41,14,7,-281.240492100128,-239.240492100128,-190.60891315276,140.620246050064,2.2640592351824,0.729711359131112,8
41,14,7,-228.431086179936,-186.431086179936,-137.799507232567,114.215543089968,9.31011704658425e-15,0.624449380291676,9
41,14,7,-241.883367198236,-199.883367198236,-151.251788250868,120.941683599118,4.63128908268793,0.428608633575268,10
