"varcomp","proportion","bootstrap_rep"
"Covariates (PR-sq)",0.583863820112822,1
"tailup_de",5.73638553189744e-43,1
"taildown_de",0,1
"euclid_de",4.61348639447722e-18,1
"nugget",8.75286743302224e-05,1
"1 | as.factor(ch_watershed)",0.416048651212848,1
"Covariates (PR-sq)",0.581739541004793,2
"tailup_de",2.64734031529451e-18,2
"taildown_de",0,2
"euclid_de",0.418259699421637,2
"nugget",7.59573566323887e-07,2
"1 | as.factor(ch_watershed)",3.94509908894902e-15,2
"Covariates (PR-sq)",0.44906405191337,3
"tailup_de",2.09268192793815e-05,3
"taildown_de",0,3
"euclid_de",1.76073155937163e-52,3
"nugget",0.55091502126735,3
"1 | as.factor(ch_watershed)",3.78043423442249e-32,3
"Covariates (PR-sq)",0.721057547506461,4
"tailup_de",0.00870183913639183,4
"taildown_de",0,4
"euclid_de",6.1111100165646e-117,4
"nugget",1.91817271615756e-32,4
"1 | as.factor(ch_watershed)",0.270240613357147,4
"Covariates (PR-sq)",0.198097571463865,5
"tailup_de",1.75692068490505e-05,5
"taildown_de",0,5
"euclid_de",0.801790923928505,5
"nugget",7.53109213760962e-05,5
"1 | as.factor(ch_watershed)",1.86244794041809e-05,5
"Covariates (PR-sq)",0.583313742964282,6
"tailup_de",3.34738164516883e-09,6
"taildown_de",0,6
"euclid_de",0.000652423750506909,6
"nugget",1.36583871742767e-07,6
"1 | as.factor(ch_watershed)",0.416033693353958,6
"Covariates (PR-sq)",0.458926472896682,7
"tailup_de",1.16875432189183e-15,7
"taildown_de",0,7
"euclid_de",0.434900986990334,7
"nugget",0.106172540112983,7
"1 | as.factor(ch_watershed)",2.13436830999539e-16,7
"Covariates (PR-sq)",0.729711359131112,8
"tailup_de",0.270196659586456,8
"taildown_de",0,8
"euclid_de",5.41676847140708e-13,8
"nugget",3.193972950482e-25,8
"1 | as.factor(ch_watershed)",9.19812818908933e-05,8
"Covariates (PR-sq)",0.624449380291676,9
"tailup_de",3.73861592541174e-12,9
"taildown_de",0,9
"euclid_de",0.375550619704579,9
"nugget",6.21227986157398e-15,9
"1 | as.factor(ch_watershed)",5.43783914847915e-17,9
"Covariates (PR-sq)",0.428608633575268,10
"tailup_de",0.571391366422703,10
"taildown_de",0,10
"euclid_de",7.01674059579064e-39,10
"nugget",1.49551874332979e-84,10
"1 | as.factor(ch_watershed)",2.02898796606210e-12,10
