"n","p","npar","value","AIC","AICc","logLik","deviance","pseudo.r.squared","bootstrap_rep"
41,14,7,-285.76718263949,-243.76718263949,-195.135603692121,142.883591319745,0.637435360852109,0.949301981677114,1
41,14,7,-200.321103030246,-158.321103030246,-109.689524082878,100.160551515123,2.72131116201131,0.851244490224119,2
41,14,7,-190.581845954671,-148.581845954671,-99.9502670073025,95.2909229773355,1.69261444191584,0.898959930149262,3
41,14,7,-213.786170756933,-171.786170756933,-123.154591809564,106.893085378466,2.33426314150838,0.863026521968639,4
41,14,7,-228.174106548156,-186.174106548156,-137.542527600787,114.087053274078,1.88942142552697,0.866741679255637,5
41,14,7,-218.642819189835,-176.642819189835,-128.011240242466,109.321409594917,2.26430811119039,0.852001558857578,6
41,14,7,-221.262428036609,-179.262428036609,-130.630849089241,110.631214018305,2.93901701122646e-15,0.0711961745432647,7
41,14,7,-219.804284667768,-177.804284667768,-129.1727057204,109.902142333884,2.13645498034486,0.814588432300488,8
41,14,7,-226.978746471818,-184.978746471818,-136.34716752445,113.489373235909,2.1172201249214,0.824292032975469,9
41,14,7,-224.27412263948,-182.27412263948,-133.642543692112,112.13706131974,2.84625310013471,0.721953940214053,10
