"varcomp","proportion","bootstrap_rep"
"Covariates (PR-sq)",0.262931607052567,1
"tailup_de",0.000152103854137693,1
"taildown_de",0,1
"euclid_de",0.416158230980854,1
"nugget",3.66971187423374e-06,1
"1 | as.factor(ch_watershed)",0.320754388400567,1
"Covariates (PR-sq)",0.128576203553798,2
"tailup_de",0.000431927973666532,2
"taildown_de",0,2
"euclid_de",0.870917976663039,2
"nugget",1.21039537445473e-08,2
"1 | as.factor(ch_watershed)",7.38797055429509e-05,2
"Covariates (PR-sq)",0.507622336394516,3
"tailup_de",0.00864000879025692,3
"taildown_de",0,3
"euclid_de",0.00719383223995998,3
"nugget",1.59152062556442e-06,3
"1 | as.factor(ch_watershed)",0.476542231054642,3
"Covariates (PR-sq)",0.534342140145547,4
"tailup_de",0.442772460724775,4
"taildown_de",0,4
"euclid_de",1.57924207690659e-06,4
"nugget",4.42391813874351e-32,4
"1 | as.factor(ch_watershed)",0.0228838198876018,4
"Covariates (PR-sq)",0.608051987012454,5
"tailup_de",5.8796046232491e-06,5
"taildown_de",0,5
"euclid_de",0.00151474829601217,5
"nugget",2.64969409030178e-08,5
"1 | as.factor(ch_watershed)",0.390427358589969,5
"Covariates (PR-sq)",0.120671423168131,6
"tailup_de",6.35074873928162e-08,6
"taildown_de",0,6
"euclid_de",0.161771470879229,6
"nugget",1.12280812750587e-08,6
"1 | as.factor(ch_watershed)",0.717557031217071,6
"Covariates (PR-sq)",0,7
"tailup_de",1.38632401033308e-42,7
"taildown_de",0,7
"euclid_de",0.625384777406576,7
"nugget",4.83412151710292e-05,7
"1 | as.factor(ch_watershed)",0.374566881378253,7
"Covariates (PR-sq)",0,8
"tailup_de",0.444242933385668,8
"taildown_de",0,8
"euclid_de",6.08782028143095e-05,8
"nugget",3.15250964640639e-08,8
"1 | as.factor(ch_watershed)",0.555696156886421,8
"Covariates (PR-sq)",0,9
"tailup_de",1.03064841544595e-32,9
"taildown_de",0,9
"euclid_de",0.304028856215815,9
"nugget",2.30121195763386e-05,9
"1 | as.factor(ch_watershed)",0.695948131664609,9
"Covariates (PR-sq)",0.134489244583394,10
"tailup_de",0.474897647947725,10
"taildown_de",0,10
"euclid_de",0.198802344974003,10
"nugget",5.98558987567286e-05,10
"1 | as.factor(ch_watershed)",0.191750906596121,10
