"n","p","npar","value","AIC","AICc","logLik","deviance","pseudo.r.squared","bootstrap_rep"
41,15,6,279.457010797611,321.457010797611,370.08858974498,-139.728505398806,41.5103761388965,0.703764330533284,1
41,15,6,263.351441910363,305.351441910363,353.983020857731,-131.675720955181,41.5103738162937,0.696098407510668,2
41,15,6,251.180363737745,293.180363737745,341.811942685114,-125.590181868873,41.068546122384,0.719950303606876,3
41,15,6,285.245407142237,327.245407142237,375.876986089606,-142.622703571119,41.2669006752174,0.652103883363897,4
41,15,6,284.875136795491,326.875136795491,375.506715742859,-142.437568397745,40.8234018160629,0.726731494352151,5
41,15,6,261.439474500218,303.439474500218,352.071053447587,-130.719737250109,41.2486000827622,0.834119541792214,6
41,15,6,279.658883223678,321.658883223678,370.290462171046,-139.829441611839,40.782678793231,0.73215986112653,7
41,15,6,281.162620279861,323.162620279861,371.79419922723,-140.581310139931,40.3275779317804,0.59119996567767,8
41,15,6,276.883496935273,318.883496935273,367.515075882641,-138.441748467636,41.5203157330027,0.669270876520194,9
41,15,6,286.834353726167,328.834353726167,377.465932673535,-143.417176863083,40.0581785184922,0.684989666366457,10
