"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep"
"(Intercept)",-2.04845835081622,0.354729199706295,-5.77471026493528,7.70856134479914e-09,-2.74371480650527,-1.35320189512717,1
"ch_change.in.slope.over.width",-0.00591308303056223,0.012218673897614,-0.483938198212891,0.628429730224022,-0.0298612438087254,0.0180350777476009,1
"ch_channel.width.over.valley.width",0.205152640712003,0.0486349217745693,4.21821673041686,2.46242074268821e-05,0.109829945642925,0.300475335781082,1
"ch_curvature.median",0.153729278113998,0.0398539519672728,3.85731578740893,0.000114639016149054,0.0756169676165546,0.231841588611442,1
"ch_stream.power",0.340689116889405,0.0450566012892684,7.56135853883304,3.99680288865056e-14,0.252379801096658,0.428998432682152,1
"ch_stream.power.central.diff",3.6834421111032e-05,0.0206578919971125,0.00178306775522791,0.998577318521101,-0.0404518898897476,0.0405255587319697,1
"hs_area",0.0974975309703276,0.0328218178393238,2.97050978247512,0.00297305936506276,0.0331679500981188,0.161827111842536,1
"hs_aspect.eastness.median",-0.0671227773343088,0.0455298940699016,-1.4742572699874,0.140412335351997,-0.15635972993124,0.0221141752626221,1
"hs_curvature.median",-0.0490203547603055,0.0258680096849019,-1.89501841685627,0.0580899617999175,-0.0997207220944464,0.00168001257383546,1
"hs_extended.dnbr.median",-0.0780454545311139,0.0361383706215677,-2.15962848320936,0.0308014416040265,-0.148875359409347,-0.0072155496528809,1
"hs_flow.accumulation.max",-0.105715941300622,0.0285375235750581,-3.7044539279161,0.000211846605636223,-0.161648459715699,-0.0497834228855456,1
"hs_ndvi.range.mean",-0.263610770933968,0.0429451037225074,-6.1383195774146,8.33989544091196e-10,-0.347781627542419,-0.179439914325516,1
"hs_slope.median",-0.0660006906482933,0.0286347180898537,-2.30491847138805,0.021171139901621,-0.122123706811864,-0.00987767448472251,1
"hs_storm.accum.10.min.mean",0.520496027732069,0.30811860082366,1.68927168415241,0.091167377138679,-0.0834053328491775,1.12439738831331,1
"ws_bare.earth_mean",0.128249861012004,0.0285946290708407,4.48510315326268,7.2878668562204e-06,0.0722054178818744,0.184294304142134,1
"ws_ndvi.min_mean",0.217811575543497,0.141633573074361,1.53785271963125,0.124084629870403,-0.0597851266839712,0.495408277770966,1
"ws_slope.eastness_mean",0.199202134965754,0.408033717387041,0.4882001816943,0.625408055873389,-0.600529255590841,0.99893352552235,1
"(Intercept)",-1.98153945632099,0.307526145789032,-6.44348288252653,1.16762377544433e-10,-2.5842796263719,-1.37879928627007,2
"ch_change.in.slope.over.width",-0.0048372508915975,0.010877277693368,-0.444711537938103,0.656528230118157,-0.0261563234204397,0.0164818216372447,2
"ch_channel.width.over.valley.width",0.225870561736362,0.0444506855708814,5.08137408536,3.74714359097084e-07,0.13874881892932,0.312992304543404,2
"ch_curvature.median",0.0975615470560826,0.0360364265209458,2.707303594583,0.00678321942861237,0.0269314489435048,0.16819164516866,2
"ch_stream.power",0.34704378516157,0.046530549194916,7.45840724354674,8.74855743404623e-14,0.255845584558665,0.438241985764474,2
"ch_stream.power.central.diff",0.0214909886866288,0.0169482170253343,1.26803832252702,0.204784265428563,-0.0117269062851949,0.0547088836584525,2
"hs_area",0.0504965816045858,0.0305799794269493,1.65129547340652,0.0986782561425501,-0.00943907672021053,0.110432239929382,2
"hs_aspect.eastness.median",0.113172738026914,0.0461566644634399,2.45192626769114,0.0142093774608811,0.0227073380320724,0.203638138021756,2
"hs_curvature.median",-0.0289250558614798,0.0265460233372169,-1.08961916796508,0.275880935978737,-0.0809543055351846,0.0231041938122251,2
"hs_extended.dnbr.median",-0.0635702066016402,0.0364036318233796,-1.74626001356308,0.0807657807419906,-0.13492001388192,0.00777960067863992,2
"hs_flow.accumulation.max",-0.0526306878941633,0.0297599673219994,-1.76850623942915,0.0769763100386678,-0.110959152026371,0.0056977762380443,2
"hs_ndvi.range.mean",-0.113399284005605,0.0420714957054592,-2.69539463962748,0.00703053082246941,-0.195857900364037,-0.0309406676471737,2
"hs_slope.median",0.023848846679926,0.026139204175792,0.912378453434817,0.361569527968067,-0.0273830520891653,0.0750807454490174,2
"hs_storm.accum.10.min.mean",0.0315646115255395,0.289191373557429,0.109147832237365,0.913085236844178,-0.535240065286691,0.59836928833777,2
"ws_bare.earth_mean",0.121252679999326,0.0282791552534101,4.2877051634951,1.80528492090826e-05,0.0658265541894257,0.176678805809226,2
"ws_ndvi.min_mean",0.368141943555413,0.131013104383816,2.8099627536258,0.00495472336162495,0.111360977460347,0.624922909650479,2
"ws_slope.eastness_mean",0.767460973775808,0.37392131724478,2.05246649062644,0.0401243484186975,0.0345886589242633,1.50033328862735,2
"(Intercept)",-1.84846405177059,3.06799046716869,-0.602499933279278,0.546841407586165,-7.86161487233343,4.16468676879224,3
"ch_change.in.slope.over.width",0.000299634484235764,0.00959175882175638,0.0312387425292765,0.975079142910158,-0.0184998673548011,0.0190991363232726,3
"ch_channel.width.over.valley.width",0.236838961171854,0.0472275084502621,5.01485191456335,5.30743269999689e-07,0.144274745529779,0.329403176813929,3
"ch_curvature.median",0.0833852174218315,0.0354609935613378,2.35146308795882,0.0186997448624164,0.0138829471856026,0.15288748765806,3
