"pointid","xcoord","ycoord"
1,410273.616807873,4451774.31391267
2,410567.616786242,4452068.31389103
3,410580.616785286,4452067.31389111
4,410661.616779326,4451865.31390597
5,410679.616778002,4451508.31393224
6,410693.616776972,4451479.31393437
7,410711.616775648,4451469.31393511
8,410774.616771012,4451390.31394092
9,410793.616769614,4451364.31394283
10,410813.616768143,4451354.31394357
11,410915.616760638,4451268.31394989
12,411002.616754237,4451211.31395409
13,411043.616751221,4451182.31395622
14,411118.616745703,4451166.3139574
15,411194.616740111,4451158.31395799
16,411278.616733931,4451064.3139649
17,411408.616724366,4450998.31396976
18,411425.616723115,4450993.31397013
19,411459.616720614,4450955.31397292
20,411625.616708401,4450939.3139741
21,411744.616699645,4450943.31397381
22,411792.616696114,4450844.31398109
23,411765.6166981,4450832.31398197
24,411773.616697512,4450620.31399757
25,411843.616692361,4450315.31402001
26,411894.616688609,4450205.3140281
27,411897.616688388,4450194.31402891
28,411899.616688241,4450187.31402943
29,411943.616685004,4450129.31403369
30,412083.616674704,4449941.31404753
31,412108.616672864,4449907.31405003
32,412137.616670731,4449875.31405238
33,412151.6166697,4449859.31405356
34,411536.616714949,4450600.31399904
35,411525.616715758,4450648.31399551
36,411940.616685225,4449780.31405937
37,412341.616655721,4449782.31405922
38,412294.616659179,4449891.31405121
39,412291.6166594,4449901.31405047
40,412224.61666433,4449982.31404451
41,412193.61666661,4449988.31404407
42,412070.61667566,4449975.31404503
43,413145.616596568,4449861.31405341
44,412764.616624599,4449908.31404995
45,412692.616629897,4449991.31404385
46,412992.616607824,4449894.31405098
47,412318.616657414,4449901.31405047
48,412044.616677573,4449985.31404429
49,412996.61660753,4450003.31404296
50,412866.616617095,4450077.31403752
51,412963.616609958,4450055.31403914
52,412933.616612165,4450069.31403811
53,412871.616616727,4450095.3140362
54,412973.616609222,4450063.31403855
55,412918.616613269,4450109.31403517
56,412882.616615918,4450122.31403421
57,412197.616666316,4450024.31404142
58,412217.616664845,4449992.31404377
59,413051.616603484,4450148.3140323
60,412907.616614078,4450193.31402899
61,412062.616676249,4450203.31402825
62,412071.616675586,4450111.31403502
63,413108.61659929,4450220.314027
64,412992.616607824,4450282.31402244
65,412953.616610694,4450237.31402575
66,411751.61669913,4450221.31402693
67,411850.616691846,4450251.31402472
68,412947.616611135,4450246.31402509
69,413114.616598848,4450263.31402384
70,413043.616604072,4450278.31402273
71,413010.6166065,4450299.31402119
72,413074.616601791,4450266.31402361
73,411807.61669501,4450270.31402332
74,413555.616566402,4450291.31402178
75,413161.61659539,4450527.31400441
76,413145.616596568,4450510.31400566
77,413036.616604587,4450398.3140139
78,411824.616693759,4450305.31402075
79,412037.616678088,4450328.31401905
80,411994.616681252,4450297.31402133
81,411895.616688536,4450329.31401898
82,411951.616684415,4450379.3140153
83,411953.616684268,4450353.31401721
84,413348.616581632,4450403.31401354
85,413027.616605249,4450411.31401295
86,412624.6166349,4450415.31401265
87,412567.616639094,4450555.31400235
88,412542.616640933,4450592.31399963
89,412471.616646157,4450646.31399566
90,412422.616649762,4450721.31399014
91,412391.616652043,4450789.31398514
92,412352.616654912,4450786.31398536
93,412261.616661607,4450746.3139883
94,411923.616686475,4450737.31398896
95,411899.616688241,4450806.31398389
96,412361.61665425,4450440.31401081
97,411981.616682208,4450564.31400169
98,412508.616643434,4450452.31400993
99,413552.616566623,4450454.31400978
100,413368.616580161,4450705.31399132
101,413353.616581264,4450699.31399176
102,413321.616583619,4450679.31399323
103,413287.61658612,4450647.31399558
104,413216.616591344,4450603.31399882
105,413489.616571258,4450482.31400772
106,412638.61663387,4450489.31400721
107,413787.616549333,4450544.31400316
108,413691.616556396,4450614.31399801
109,413584.616564268,4450737.31398896
110,413542.616567359,4450759.31398734
111,413539.616567579,4450760.31398727
112,413407.616577291,4450694.31399213
113,413699.616555807,4450553.3140025
114,412012.616679927,4450571.31400118
115,413520.616568977,4450583.31400029
