Region,Watershed,Segment Interval,Independent Variable,Bias,MSPE,RMSPE,RAV
CPF,CPF,10m,sfm_deposition_logtrans,-0.0026225695413312,0.0007333610992154,0.027080640672175,0.256511820837045
CPF,CPF,10m,sfm_erosion_logtrans,-0.0065264301696523,0.0024309953875816,0.0493051253682779,0.399136701642474
CPF,CPF,10m,sfm_net change_logtrans,-0.0040964413807719,0.0033704849187631,0.0580558775557058,0.274770068392686
CPF,ME,10m,sfm_deposition_logtrans,0.000454628682342,0.000344215351376,0.0185530415667104,0.0002714521936492
CPF,ME,10m,sfm_erosion_logtrans,4.47305132468311e-05,0.0097051533079868,0.0985147365016366,0.0013005611734632
CPF,ME,10m,sfm_net change_logtrans,0.0043566566659035,0.0099909917064165,0.0999549483838421,0.0012612551587929
CPF,MM,10m,lidar_erosion_logtrans,0.0010845045226846,0.0018134799535584,0.0425849733304886,0.0006002541490426
CPF,MM,10m,sfm_deposition_logtrans,9.95765614325748e-05,0.0002877943323143,0.0169645021239753,0.000261362089112
CPF,MM,10m,sfm_erosion_logtrans,-0.0012457146371928,0.0174079341530425,0.131939130484638,0.0017140475260754
CPF,MM,10m,sfm_net change_logtrans,-0.000908079332351,0.019057380955357,0.138048473209076,0.0017853916176159
CPF,MW,10m,sfm_deposition_logtrans,0.0003175588769493,0.0012427805592682,0.0352530929035776,0.0005098812305993
CPF,MW,10m,sfm_erosion_logtrans,-0.046663871751859,0.0847781770634383,0.291166923024299,0.378999005975292
CPF,MW,10m,sfm_net change_logtrans,0.0008593915374291,0.0022399205139057,0.0473277985322134,0.0006831277763907
CPF,UE,10m,lidar_erosion_logtrans,0.0006646276099418,0.001459874405697,0.0382083028371721,0.0005437936321816
CPF,UE,10m,sfm_deposition_logtrans,0.0006007920004394,0.0006280867557643,0.0250616590784469,0.000361186115738
CPF,UE,10m,sfm_erosion_logtrans,0.0029030083810705,0.0030019886425924,0.054790406483183,0.0006998669419396
CPF,UE,10m,sfm_net change_logtrans,-0.0002420738991115,0.0021391783528745,0.046251252446551,0.000675578909761
CPF,UM,10m,sfm_deposition_logtrans,4.38913100856766e-05,0.0003384512689785,0.0183970451154143,0.0003017351202868
CPF,UM,10m,sfm_erosion_logtrans,-1.66050741183177e-05,0.0007235182438801,0.026898294441845,0.0004663088861734
CPF,UW,10m,lidar_erosion_logtrans,-6.45960768849032e-05,0.0001182346840584,0.0108735773349177,0.0001691979283016
CPF,UW,10m,sfm_deposition_logtrans,-0.0028988922406619,0.0034240313659082,0.058515223368866,0.057587826305868
CPF,UW,10m,sfm_erosion_logtrans,0.0003412388992899,0.0093714765837743,0.0968063871021659,0.0012832763228459
CPF,CPF,20m,lidar_erosion_logtrans,0.0030948657466737,0.0024544965299814,0.0495428756733136,0.0006027027270058
CPF,CPF,20m,sfm_deposition_logtrans,-0.0004928153440376,0.0035338909716699,0.0594465387694686,0.0071552361760654
CPF,CPF,20m,sfm_erosion_logtrans,-0.0121323195412537,0.0118055010763283,0.108653122717795,0.373006505914134
CPF,CPF,20m,sfm_net change_logtrans,0.004583989536473,0.0164055595844985,0.128084189439987,0.001503023114133
CPF,ME,20m,sfm_deposition_logtrans,0.0005392077881575,0.0015562477011581,0.0394493054585013,0.0005636883419029
CPF,ME,20m,sfm_erosion_logtrans,0.0047915628799485,0.0468289203279025,0.216399908336169,0.002475428600513
CPF,ME,20m,sfm_net change_logtrans,0.0050645708437757,0.0288631119404402,0.169891471064442,0.0020723176924474
CPF,MM,20m,lidar_erosion_logtrans,0.0003457382690205,0.0096968563899869,0.098472617462861,0.0014253155781073
CPF,MM,20m,sfm_deposition_logtrans,0.0002208262004692,0.0020613912765717,0.0454025470273608,0.0006979661113637
CPF,MM,20m,sfm_erosion_logtrans,0.0108866600843733,0.156653860596391,0.395795225585644,0.0038358295603658
CPF,MM,20m,sfm_net change_logtrans,0.0174327283083253,0.194247291019872,0.440734944178326,0.0040223461063286
CPF,MW,20m,sfm_deposition_logtrans,5.42735037663081e-06,0.00365807380194,0.060482012218014,0.0009304864287967
CPF,MW,20m,sfm_erosion_logtrans,0.209955326951516,12.0309790550367,3.46857017444316,0.0476048163949132
CPF,MW,20m,sfm_net change_logtrans,0.0004782026906086,0.0073252683253923,0.0855877814024429,0.0012539285352468
CPF,UE,20m,lidar_erosion_logtrans,-3.60139718433986e-05,0.003317691846898,0.0575994083901741,0.0008203132911904
CPF,UE,20m,sfm_deposition_logtrans,0.0008180487304883,0.0013743885960147,0.0370727473491616,0.0005420403095201
CPF,UE,20m,sfm_erosion_logtrans,0.0020630158713478,0.0088754796257315,0.0942097639617652,0.0012588766033439
CPF,UE,20m,sfm_net change_logtrans,3.07102072001163e-05,0.014071836626432,0.118624772397809,0.0015261022569946
CPF,UM,20m,lidar_erosion_logtrans,0.0005936908427742,0.0006577418072126,0.0256464774815704,0.0003758056885489
CPF,UM,20m,sfm_deposition_logtrans,0.0001200137770904,0.0010886320931421,0.032994425182781,0.0004842061823347
CPF,UM,20m,sfm_erosion_logtrans,-0.0005537054189762,0.0049196182180962,0.0701399901489606,0.0010002888381896
CPF,UM,20m,sfm_net change_logtrans,0.0018374083177722,0.0020612310888497,0.0454007829100967,0.0006602335679096
CPF,UW,20m,lidar_erosion_logtrans,-6.33242696406673e-05,0.0005029141349499,0.0224257471436277,0.0003448080558539
CPF,UW,20m,sfm_deposition_logtrans,-0.0097866303281681,0.0056865293617036,0.0754090801011633,0.575917316153038
CPF,UW,20m,sfm_erosion_logtrans,-0.0026792939899759,0.0003811045769929,0.0195218999329703,0.579429913392722
CPF,UW,20m,sfm_net change_logtrans,0.0030447104608112,0.0078427215374092,0.0885591414672093,0.0011505010138945
CPF,CPF,5m,sfm_deposition_logtrans,-0.0017397215265828,0.0001598137888226,0.0126417478547335,0.340586653228431
CPF,CPF,5m,sfm_erosion_logtrans,-0.111598470162646,0.372929661615694,0.610679671853987,0.779472388566594
CPF,ME,5m,sfm_deposition_logtrans,0.0004044651305212,0.0001768000617167,0.0132966184316456,0.0001823116737239
CPF,ME,5m,sfm_erosion_logtrans,-0.0003864623218893,0.0025987889041692,0.050978317980974,0.0006872921814319
CPF,MM,5m,lidar_erosion_logtrans,-3.77448124434248e-05,0.0005256180511266,0.0229263614890506,0.0003334857549923
CPF,MM,5m,sfm_deposition_logtrans,5.81354172230817e-05,7.36428708851264e-05,0.0085815424537274,0.0001295789854481
CPF,MM,5m,sfm_erosion_logtrans,-0.0001997618471983,0.0042593715362938,0.0652638608748657,0.0008829741813252
CPF,MM,5m,sfm_net change_logtrans,8.78647300387334e-05,0.0030165033680344,0.0549227035754286,0.0010798982670362
CPF,MW,5m,sfm_deposition_logtrans,2.35615408158214e-05,0.0003064600430223,0.0175060002005699,0.000789590931494
CPF,MW,5m,sfm_erosion_logtrans,-0.002503661727568,0.0005777254981296,0.0240359209960765,0.264348986458933
CPF,MW,5m,sfm_net change_logtrans,5.44801820529902e-05,0.0006770343161787,0.026019883093103,0.000362603319502
CPF,UE,5m,lidar_erosion_logtrans,0.0003193691487033,0.0003960153697868,0.0199001349188098,0.0002826075473053
CPF,UE,5m,sfm_deposition_logtrans,0.0002233711213607,0.0001874757365641,0.013692177933557,0.0002762810167122
CPF,UE,5m,sfm_erosion_logtrans,0.0027722382436086,0.0012182051994139,0.0349027964411732,0.0017208599996463
CPF,UE,5m,sfm_net change_logtrans,0.0010149326720535,0.0012751197955466,0.0357088195764947,0.0004027937032874
CPF,UM,5m,sfm_deposition_logtrans,9.76576662991014e-05,0.000115371818667,0.0107411274392909,0.0001652551626688
CPF,UM,5m,sfm_erosion_logtrans,-0.0381591563675305,0.028994164331563,0.1702767286847,2.37026036211749
CPF,UW,5m,sfm_deposition_logtrans,-0.006634504503692,0.002747774930983,0.052419222914719,0.302511819950437
CPF,UW,5m,sfm_erosion_logtrans,-0.0123351905518628,0.0145633103976182,0.120678541578933,0.284826472319895
ETF,ETF,10m,lidar_erosion_logtrans,0.0052874224199131,0.872880985623668,0.934280999284299,0.0336587949007466
ETF,ETF,10m,sfm_deposition_logtrans,0.0011956078825122,0.0029671370035001,0.0544714329121247,
ETF,ETF,10m,sfm_erosion_logtrans,0.0154860517297526,0.0199661600599807,0.141301663330552,0.0059247211696088
ETF,ETF,10m,sfm_net change_logtrans,0.0072413361773937,0.0121875038738101,0.110397028374002,0.0012765124817863
ETF,LM2,10m,lidar_erosion_logtrans,0.0065883342016227,0.314983564004484,0.561233965476506,0.0049804906341141
ETF,LM2,10m,sfm_deposition_logtrans,0.0001963856465723,0.0008941217918388,0.0299018693703062,0.0009832324184108
ETF,LM2,10m,sfm_erosion_logtrans,0.0128136566652985,0.0073547581324585,0.0857598864997998,0.0030571635010217
ETF,LM2,10m,sfm_net change_logtrans,0.0003233945598088,0.0007414422549458,0.0272294372866186,0.000395131456659
ETF,LPM,10m,lidar_erosion_logtrans,-0.197217649993915,0.875587952324816,0.93572856765454,0.4481178042906
ETF,LPM,10m,sfm_deposition_logtrans,0.0011300750086808,0.0117711807823375,0.108495072617781,0.0015653908139326
ETF,LPM,10m,sfm_erosion_logtrans,0.0027244400709514,0.0508041099322487,0.225397670645126,0.0024175868230186
ETF,LPM,10m,sfm_net change_logtrans,0.0007312931034247,0.0401374790191752,0.200343402734343,0.002352334330902
ETF,MM,10m,lidar_erosion_logtrans,-0.0034657315965783,0.373898352071125,0.611472282340847,0.0055988709002568
ETF,MM,10m,sfm_deposition_logtrans,0.0007070749633662,0.0011927392844654,0.0345360577435452,0.0004917989574645
ETF,MM,10m,sfm_erosion_logtrans,0.0003133545936571,0.0129656745914333,0.113866916140876,0.0014943282334063
ETF,MM,10m,sfm_net change_logtrans,0.0014531867229183,0.0130044426888238,0.114037023324988,0.0015036175511283
ETF,ETF,20m,lidar_erosion_logtrans,0.0305965951178635,2.20725164870578,1.48568221659471,0.0073647922232357
ETF,ETF,20m,sfm_deposition_logtrans,0.0074475839107487,0.0156124332097063,0.124949722727609,0.0013990049091124
ETF,ETF,20m,sfm_erosion_logtrans,0.0343178097343506,0.0988209807556692,0.314358045476284,0.0251043318700989
ETF,ETF,20m,sfm_net change_logtrans,0.0042202959775383,0.032032789394201,0.178977063877473,0.0021020462501565
ETF,LM2,20m,lidar_erosion_logtrans,0.0248071649895454,1.09732998939072,1.04753519720853,0.0068092979603687
ETF,LM2,20m,sfm_deposition_logtrans,0.0025510632328725,0.0061711997541457,0.0785569841207373,0.0010475698404511
ETF,LM2,20m,sfm_erosion_logtrans,-0.0084589982026939,0.0037479064826449,0.0612201476855857,0.416230739899467
ETF,LM2,20m,sfm_net change_logtrans,-0.0004963850663868,0.0015083116709138,0.0388369884377485,0.0005734956706733
ETF,LPM,20m,lidar_erosion_logtrans,-0.451012466403076,5.37052568412804,2.31743946719823,0.573180937311841
ETF,LPM,20m,sfm_deposition_logtrans,-0.0002878793669004,0.0357775508844152,0.189149546350012,0.0022873235715174
ETF,LPM,20m,sfm_erosion_logtrans,0.0073095421946795,0.165048392621441,0.406261483064099,0.0034801173267263
ETF,LPM,20m,sfm_net change_logtrans,-0.0032689346631489,0.153124211496813,0.391310888548751,0.0038181345376549
ETF,MM,20m,lidar_erosion_logtrans,-4.09762161301389e-05,1.53201338059823,1.23774528098403,0.0074718453753544
ETF,MM,20m,sfm_deposition_logtrans,-3.64296402951841e-05,0.0055137560329947,0.074254670108989,0.0010398800606288
ETF,MM,20m,sfm_erosion_logtrans,-0.0006440023777222,0.0358608873120554,0.189369710651031,0.0022658313158411
ETF,MM,20m,sfm_net change_logtrans,0.0011662213185358,0.036586803298054,0.191276771454492,0.0023521110687201
ETF,ETF,5m,lidar_erosion_logtrans,0.0149209068978548,0.559677957165695,0.748116272490911,0.015362826652411
ETF,ETF,5m,sfm_deposition_logtrans,0.001091250860643,0.000695111950021,0.0263649758206042,0.0003624310615971
ETF,ETF,5m,sfm_erosion_logtrans,0.0005307130790312,0.0042244769076753,0.0649959760883345,0.0059660201499355
ETF,ETF,5m,sfm_net change_logtrans,0.0034539385206105,0.0033090548174426,0.0575243845464044,0.0006508373113946
ETF,LM2,5m,lidar_erosion_logtrans,0.0119381493162505,0.111901929968649,0.334517458391411,0.0034033459630216
ETF,LM2,5m,sfm_deposition_logtrans,-0.0017445304248265,0.0001032665710047,0.0101620160895736,0.410610454299284
ETF,LM2,5m,sfm_erosion_logtrans,0.0001683846177059,0.0168219457468649,0.129699443895743,0.0015579666015873
ETF,LM2,5m,sfm_net change_logtrans,0.000331760650572,0.0001127578937996,0.0106187519888013,0.0001540345332939
ETF,LPM,5m,lidar_erosion_logtrans,-0.0724841816375989,0.312837964729523,0.559319197533504,0.455013324246558
ETF,LPM,5m,sfm_deposition_logtrans,-0.0042910283045362,0.0008792249282752,0.0296517272393235,0.366126629261432
ETF,LPM,5m,sfm_erosion_logtrans,0.0003020392679111,0.0141971674901058,0.119151867337888,0.0015004142266499
ETF,LPM,5m,sfm_net change_logtrans,0.0008256987613507,0.0076373552597403,0.0873919633589973,0.0011806286129356
ETF,MM,5m,lidar_erosion_logtrans,0.0022727948422962,0.135117046342331,0.367582706805327,0.0041879901560583
ETF,MM,5m,sfm_deposition_logtrans,0.0001404604438248,0.0002710906661496,0.0164648311910471,0.0002704366533867
ETF,MM,5m,sfm_erosion_logtrans,-0.0102458026194824,0.0034687061883221,0.0588957230053437,0.331067189838518
ETF,MM,5m,sfm_net change_logtrans,0.0003745269962685,0.002950997802854,0.0543230871992197,0.0008752157794164
