Region,Watershed,Segment Interval,Independent Variable,varcomp,proportion,source_file
CPF,CPF,10m,sfm_deposition_logtrans,Covariates (PR-sq),0.0245255542394107,CPF\Outputs\Segmented 10m\CPF sfm_deposition_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_deposition_logtrans,tailup_de,0.0242539575819208,CPF\Outputs\Segmented 10m\CPF sfm_deposition_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_deposition_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\CPF sfm_deposition_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_deposition_logtrans,euclid_de,0.950010839616302,CPF\Outputs\Segmented 10m\CPF sfm_deposition_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_deposition_logtrans,nugget,0.0001734360040789,CPF\Outputs\Segmented 10m\CPF sfm_deposition_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_deposition_logtrans,1 | as.factor(ch_watershed),0.0010362125582873,CPF\Outputs\Segmented 10m\CPF sfm_deposition_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_erosion_logtrans,Covariates (PR-sq),0.0503197628257029,CPF\Outputs\Segmented 10m\CPF sfm_erosion_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_erosion_logtrans,tailup_de,0.360698908976462,CPF\Outputs\Segmented 10m\CPF sfm_erosion_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_erosion_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\CPF sfm_erosion_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_erosion_logtrans,euclid_de,0.58717491681793,CPF\Outputs\Segmented 10m\CPF sfm_erosion_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_erosion_logtrans,nugget,4.22740185270302e-05,CPF\Outputs\Segmented 10m\CPF sfm_erosion_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_erosion_logtrans,1 | as.factor(ch_watershed),0.0017641373613785,CPF\Outputs\Segmented 10m\CPF sfm_erosion_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_net change_logtrans,Covariates (PR-sq),0.0199249106433912,CPF\Outputs\Segmented 10m\CPF sfm_net change_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_net change_logtrans,tailup_de,0.0905646884275119,CPF\Outputs\Segmented 10m\CPF sfm_net change_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_net change_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\CPF sfm_net change_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_net change_logtrans,euclid_de,0.886312901738053,CPF\Outputs\Segmented 10m\CPF sfm_net change_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_net change_logtrans,nugget,0.0031631456558977,CPF\Outputs\Segmented 10m\CPF sfm_net change_logtrans\varcomp_results.csv
CPF,CPF,10m,sfm_net change_logtrans,1 | as.factor(ch_watershed),3.43535351458825e-05,CPF\Outputs\Segmented 10m\CPF sfm_net change_logtrans\varcomp_results.csv
CPF,ME,10m,sfm_deposition_logtrans,Covariates (PR-sq),0.301500436753875,CPF\Outputs\Segmented 10m\ME sfm_deposition_logtrans\varcomp_results.csv
CPF,ME,10m,sfm_deposition_logtrans,tailup_de,1.3422942814392e-05,CPF\Outputs\Segmented 10m\ME sfm_deposition_logtrans\varcomp_results.csv
CPF,ME,10m,sfm_deposition_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\ME sfm_deposition_logtrans\varcomp_results.csv
CPF,ME,10m,sfm_deposition_logtrans,euclid_de,0.69526910253653,CPF\Outputs\Segmented 10m\ME sfm_deposition_logtrans\varcomp_results.csv
CPF,ME,10m,sfm_deposition_logtrans,nugget,0.0032170377667802,CPF\Outputs\Segmented 10m\ME sfm_deposition_logtrans\varcomp_results.csv
CPF,ME,10m,sfm_erosion_logtrans,Covariates (PR-sq),0.302993797309625,CPF\Outputs\Segmented 10m\ME sfm_erosion_logtrans\varcomp_results.csv
CPF,ME,10m,sfm_erosion_logtrans,tailup_de,0.697006200762087,CPF\Outputs\Segmented 10m\ME sfm_erosion_logtrans\varcomp_results.csv
CPF,ME,10m,sfm_erosion_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\ME sfm_erosion_logtrans\varcomp_results.csv
CPF,ME,10m,sfm_erosion_logtrans,euclid_de,1.92828817879652e-09,CPF\Outputs\Segmented 10m\ME sfm_erosion_logtrans\varcomp_results.csv
CPF,ME,10m,sfm_erosion_logtrans,nugget,2.82453258045673e-268,CPF\Outputs\Segmented 10m\ME sfm_erosion_logtrans\varcomp_results.csv
